sport,season,week,market,away,home,raw_nums,away_open,home_open,away_close,away_price,home_close,home_price,bets_away,bets_home,money_away,money_home,tickets,away_move,home_move,money_minus_bets_away
cfb,2026,1,spread,Duquesne,Air Force,+23.5|-23.5|+31.5|-110|-31.5|-105,23.5,-23.5,31.5,-110.0,-31.5,-105.0,90.0,10.0,7.0,93.0,3705.0,8.0,-8.0,-83.0
cfb,2026,1,spread,Ab Christian,Texas Tech,+41.5|-41.5|+44.5|-110|-44.5|-110,41.5,-41.5,44.5,-110.0,-44.5,-110.0,98.0,2.0,19.0,81.0,6830.0,3.0,-3.0,-79.0
cfb,2026,1,spread,Morgan State,Arizona St,+42.5|-42.5|+43.5|-105|-43.5|-110,42.5,-42.5,43.5,-105.0,-43.5,-110.0,98.0,2.0,24.0,76.0,2589.0,1.0,-1.0,-74.0
cfb,2026,1,spread,Long Island,Kansas,+40.5|-40.5|+44.5|-105|-43.5|-110,40.5,-40.5,44.5,-105.0,-43.5,-110.0,86.0,14.0,24.0,76.0,8295.0,4.0,-3.0,-62.0
cfb,2026,1,spread,UNH,Syracuse,+27.5|-27.5|+35.5|-110|-35.5|-104,27.5,-27.5,35.5,-110.0,-35.5,-104.0,94.0,6.0,37.0,63.0,5114.0,8.0,-8.0,-57.0
cfb,2026,1,spread,N Alabama,Arkansas,+40.5|-40.5|+40.5|-106|-40.5|-110,40.5,-40.5,40.5,-106.0,-40.5,-110.0,98.0,2.0,44.0,56.0,3190.0,0.0,0.0,-54.0
cfb,2026,1,spread,San Jose St,USC,+35.5|-35.5|+38.5|-110|-37.5|-110,35.5,-35.5,38.5,-110.0,-37.5,-110.0,75.0,25.0,23.0,77.0,46498.0,3.0,-2.0,-52.0
cfb,2026,1,spread,Texas St,Texas,+30.5|-30.5|+30.5|-110|-29.5|-110,30.5,-30.5,30.5,-110.0,-29.5,-110.0,86.0,14.0,39.0,61.0,33851.0,0.0,1.0,-47.0
cfb,2026,1,spread,Idaho,Utah,+35.5|-35.5|+37.5|-110|-38.5|-102,35.5,-35.5,37.5,-110.0,-38.5,-102.0,75.0,25.0,29.0,71.0,12056.0,2.0,-3.0,-46.0
cfb,2026,1,spread,Ohio,Nebraska,+23.5|-23.5|+23.5|-102|-24.5|-105,23.5,-23.5,23.5,-102.0,-24.5,-105.0,73.0,27.0,29.0,71.0,15615.0,0.0,-1.0,-44.0
cfb,2026,1,spread,TN State,Georgia,+48.5|-48.5|+49|-110|-49.5|+102,48.5,-48.5,49.0,-110.0,-49.5,102.0,96.0,4.0,53.0,47.0,16216.0,0.5,-1.0,-43.0
cfb,2026,1,spread,Lafayette,UConn,+21.5|-21.5|+21.5|-115|-21.5|-104,21.5,-21.5,21.5,-115.0,-21.5,-104.0,46.0,54.0,5.0,95.0,5871.0,0.0,0.0,-41.0
cfb,2026,1,spread,Coastal Car,West Virginia,+17.5|-17.5|+21|-105|-21.5|-105,17.5,-17.5,21.0,-105.0,-21.5,-105.0,66.0,34.0,26.0,74.0,37643.0,3.5,-4.0,-40.0
cfb,2026,1,spread,Akron,Wake Forest,+22.5|-22.5|+27.5|-105|-23.5|-115,22.5,-22.5,27.5,-105.0,-23.5,-115.0,55.0,45.0,17.0,83.0,21068.0,5.0,-1.0,-38.0
cfb,2026,1,spread,AR-Pine Bluff,Missouri,+50.5|-50.5|+55.5|+105|-55.5|-112,50.5,-50.5,55.5,105.0,-55.5,-112.0,70.0,30.0,32.0,68.0,9092.0,5.0,-5.0,-38.0
cfb,2026,1,spread,SE Missouri,Iowa State,+30.5|-30.5|+29.5|-102|-30.5|-110,30.5,-30.5,29.5,-102.0,-30.5,-110.0,90.0,10.0,52.0,48.0,3655.0,-1.0,0.0,-38.0
cfb,2026,1,spread,E. Kentucky,Jax State,+20.5|-20.5|+22.5|-105|-22.5|-110,20.5,-20.5,22.5,-105.0,-22.5,-110.0,37.0,63.0,2.0,98.0,4725.0,2.0,-2.0,-35.0
cfb,2026,1,spread,B-Cookman,UCF,+38.5|-38.5|+42.5|-105|-43.5|-105,38.5,-38.5,42.5,-105.0,-43.5,-105.0,90.0,10.0,60.0,40.0,6194.0,4.0,-5.0,-30.0
cfb,2026,1,spread,E. Carolina,Alabama,+25.5|-25.5|+27.5|+100|-28.5|+100,25.5,-25.5,27.5,100.0,-28.5,100.0,56.0,44.0,27.0,73.0,34926.0,2.0,-3.0,-29.0
cfb,2026,1,spread,Charleston So,GA Southern,+26.5|-26.5|+28.5|-110|-28.5|-105,26.5,-26.5,28.5,-110.0,-28.5,-105.0,76.0,24.0,47.0,53.0,1549.0,2.0,-2.0,-29.0
cfb,2026,1,spread,Wyoming,Colorado St,+4|-4|+3.5|-115|-2.5|-108,4.0,-4.0,3.5,-115.0,-2.5,-108.0,44.0,56.0,72.0,28.0,21613.0,-0.5,1.5,28.0
cfb,2026,1,spread,Boston Col,Cincinnati,+9.5|-9.5|+7.5|-110|-7.5|+100,9.5,-9.5,7.5,-110.0,-7.5,100.0,41.0,59.0,68.0,32.0,24390.0,-2.0,2.0,27.0
cfb,2026,1,spread,Fordham,ND State,+35.5|-35.5|+40.5|-105|-41.5|-105,35.5,-35.5,40.5,-105.0,-41.5,-105.0,98.0,2.0,71.0,29.0,2660.0,5.0,-6.0,-27.0
cfb,2026,1,spread,Tulane,Duke,+8.5|-8.5|+9.5|-110|-9.5|-110,8.5,-8.5,9.5,-110.0,-9.5,-110.0,35.0,65.0,62.0,38.0,24248.0,1.0,-1.0,27.0
cfb,2026,1,spread,FL Atlantic,Florida,+26|-26|+26.5|-105|-25.5|-110,26.0,-26.0,26.5,-105.0,-25.5,-110.0,56.0,44.0,30.0,70.0,11652.0,0.5,0.5,-26.0
cfb,2026,1,spread,C. Michigan,New Mexico,+12.5|-12.5|+11.5|-110|-11.5|-105,12.5,-12.5,11.5,-110.0,-11.5,-105.0,46.0,54.0,70.0,30.0,18281.0,-1.0,1.0,24.0
cfb,2026,1,spread,Boise State,Oregon,+24.5|-24.5|+24.5|-102|-24.5|-110,24.5,-24.5,24.5,-102.0,-24.5,-110.0,48.0,52.0,25.0,75.0,46190.0,0.0,0.0,-23.0
cfb,2026,1,spread,N. Illinois,Iowa,+29.5|-29.5|+30.5|-105|-31.5|-105,29.5,-29.5,30.5,-105.0,-31.5,-105.0,97.0,3.0,74.0,26.0,17720.0,1.0,-2.0,-23.0
cfb,2026,1,spread,Indiana St,Purdue,+32.5|-32.5|+35|-105|-35.5|-102,32.5,-32.5,35.0,-105.0,-35.5,-102.0,94.0,6.0,73.0,27.0,7088.0,2.5,-3.0,-21.0
cfb,2026,1,spread,Nicholls St,K State,+41.5|-41.5|+41.5|-110|-41.5|-105,41.5,-41.5,41.5,-110.0,-41.5,-105.0,98.0,2.0,78.0,22.0,2019.0,0.0,0.0,-20.0
cfb,2026,1,spread,Merrimack,Delaware,+30.5|-30.5|+31.5|-108|-31.5|-110,30.5,-30.5,31.5,-108.0,-31.5,-110.0,93.0,7.0,74.0,26.0,4200.0,1.0,-1.0,-19.0
cfb,2026,1,spread,Hawaii,Stanford,+3|-3|+4.5|-105|-4|-105,3.0,-3.0,4.5,-105.0,-4.0,-105.0,52.0,48.0,70.0,30.0,45852.0,1.5,-1.0,18.0
cfb,2026,1,spread,Marshall,Penn State,+23.5|-23.5|+23.5|-110|-23.5|-108,23.5,-23.5,23.5,-110.0,-23.5,-108.0,47.0,53.0,65.0,35.0,24269.0,0.0,0.0,18.0
cfb,2026,1,spread,North Texas,Indiana,+40.5|-40.5|+39.5|+100|-39.5|-110,40.5,-40.5,39.5,100.0,-39.5,-110.0,95.0,5.0,78.0,22.0,28479.0,-1.0,1.0,-17.0
cfb,2026,1,spread,Kent State,S. Carolina,+33.5|-33.5|+35.5|-105|-35.5|-105,33.5,-33.5,35.5,-105.0,-35.5,-105.0,96.0,4.0,79.0,21.0,14994.0,2.0,-2.0,-17.0
cfb,2026,1,spread,LA-Monroe,Mississippi St,+28.5|-28.5|+28.5|-110|-28.5|-105,28.5,-28.5,28.5,-110.0,-28.5,-105.0,96.0,4.0,80.0,20.0,10698.0,0.0,0.0,-16.0
cfb,2026,1,spread,W. Kentucky,Nevada,-4.5|+4.5|-1.5|-102|+2.5|-105,-4.5,4.5,-1.5,-102.0,2.5,-105.0,74.0,26.0,58.0,42.0,18402.0,3.0,-2.0,-16.0
