feature,family,delta,verdict
raw_twopct_l5_d_alwd,possession raw,-0.011392667310222251,helps
h_l3_top_min_share,usage concentration,-0.00843277649758395,helps
dm_exp_h_exp,dims exp,-0.007915431059950422,helps
d_l3_min_hhi,usage concentration,-0.007765844475298426,helps
raw_twopct_l10_sum_alwd,possession raw,-0.007168894402179796,helps
dm_arch_a_l3_def_eff,dims arch,-0.006550121890461754,helps
raw_oreb_l10_d_alwd,possession raw,-0.0064813054372077445,helps
d_l10_margin,other,-0.005637539364302337,helps
h_l3_min_hhi,usage concentration,-0.005364533938448315,helps
dm_arch_d_l3_pace,dims arch,-0.004428778621524422,helps
a_l3_min_hhi,usage concentration,-0.00411220903670758,helps
raw_trate_l5_sum_off,possession raw,-0.0037551072929682635,helps
dm_arch_a_l3_pace,dims arch,-0.003398192485555149,helps
dm_arch_a_l10_def_eff,dims arch,-0.003342532278123868,helps
sum_l5_adv_pace,team form/efficiency,-0.0032662875560334438,helps
h_abs_fresh_n,other,-0.003254704035770815,helps
a_abs_ret_max_min,other,-0.0032490043241346286,helps
d_l10_adv_rot_n,usage concentration,-0.0031351030947498132,helps
d_l3_top_min_share,usage concentration,-0.003035443084046783,helps
h_l10_adv_usage_percentage,usage concentration,-0.0029950790235751534,helps
dm_exp_d_exp,dims exp,-0.0029927491061426848,helps
raw_twopct_s2d_sum_alwd,possession raw,-0.0029015407672489013,helps
radj_sum_adj_tempo_pts,adj ratings,-0.002779507270453864,helps
a_l5_top_min_share,usage concentration,-0.0027648758920211423,helps
sum_form_margin,other,-0.0027561976578940927,helps
sum_abs_ret_n,other,-0.0027374258482844313,helps
sum_l5_adv_usage_percentage,usage concentration,-0.0027116967008763426,helps
sum_l3_ortg,team form/efficiency,-0.0026880969015708437,helps
h_abs_stale_n,other,-0.002682009423550667,helps
a_l5_adv_pace,team form/efficiency,-0.002622895495050538,helps
a_l5_efg,team form/efficiency,-0.002571391924147376,helps
a_abs_fresh_n,other,-0.002536219143793145,helps
net_twopct_s2d_d,matchup net,-0.002532185929929877,helps
dm_arch_d_l10_def_eff,dims arch,-0.0024259284559433204,helps
adj_net_three_pct_d,adj matchup net,-0.002417581586082106,helps
sum_s2d_ortg,team form/efficiency,-0.0023719230823495653,helps
d_l10_opp_score,other,-0.0023579821918679033,helps
h_l5_adv_pace,team form/efficiency,-0.002343693755931911,helps
sum_l3_adv_pace,team form/efficiency,-0.002308844989745084,helps
raw_oreb_l5_sum_off,possession raw,-0.002281083082201517,helps
dm_arch_d_l3_def_eff,dims arch,-0.002268996029422864,helps
h_form_ortg,team form/efficiency,-0.0022615411691586356,helps
net_trate_l5_sum,matchup net,-0.002175981755006982,helps
adj_net_off_eff_a,adj matchup net,-0.0021694572728493456,helps
adj_own_tov_rate_sum_def,adj own levels,-0.0021587887884304737,helps
d_l5_ortg,team form/efficiency,-0.0021431159782382804,helps
sum_l5_adv_usg_max,usage concentration,-0.002122749769538409,helps
sum_form3_h1_tot_share,other,-0.0020964026935700888,helps
radj_a_adj_tempo_pts,adj ratings,-0.002090272001917333,helps
dm_arch_sum_l3_def_eff,dims arch,-0.0020750721803170394,helps
raw_oreb_l10_d_off,possession raw,-0.0020733129647208574,helps
sum_abs_ret_max_ppg,other,-0.0020702266854734238,helps
a_s_ftr,team form/efficiency,-0.0020653417759399725,helps
raw_ftr_l5_d_off,possession raw,-0.0020595426801713716,helps
net_ftr_l5_h,matchup net,-0.002044289006712022,helps
a_form3_h1_tot_share,other,-0.0020318871198304173,helps
adj_net_off_eff_d,adj matchup net,-0.00201206922687747,helps
sum_abs_ret_max_min,other,-0.0019848099126992423,helps
adj_own_ftr_d_off,adj own levels,-0.0019819084447460604,helps
net_trate_s2d_sum,matchup net,-0.0019503971401503342,helps
h_l10_pts_hhi,usage concentration,-0.0019298661743521839,helps
d_s_pace,team form/efficiency,-0.001860620334908603,helps
h_s_d_p3_pct,other,-0.001845534518629918,helps
net_efg_l10_a,matchup net,-0.0017916903781837578,helps
adj_own_poss_sum_off,adj own levels,-0.0017885949067746765,helps
h_sched_road_run,other,-0.0017754497208250653,helps
a_l3_ortg,team form/efficiency,-0.0017753802714583402,helps
net_tov_l5_h,matchup net,-0.0017667191804580404,helps
sum_l3_top_min_share,usage concentration,-0.0017666452747649448,helps
sum_s2d_min_hhi,usage concentration,-0.0017504800451178697,helps
d_s2d_own_score,other,-0.0017348649158608635,helps
adj_own_off_eff_d_def,adj own levels,-0.0017169476412391828,helps
raw_tpct_l10_sum_off,possession raw,-0.0017107776458370587,helps
raw_tpct_l10_d_alwd,possession raw,-0.0016334819658685288,helps
a_abs_ret_max_ppg,other,-0.0016112424074785987,helps
raw_twopct_l5_d_off,possession raw,-0.0016108459313508234,helps
h_s_ftr,team form/efficiency,-0.0016009114037623426,helps
d_sched_road_run,other,-0.0015867208054567295,helps
d_s2d_top_min_share,usage concentration,-0.001566714476381301,helps
raw_trate_s2d_sum_alwd,possession raw,-0.001563498306882361,helps
a_s_d_ftr,team form/efficiency,-0.001553500800258707,helps
h_form3_ortg,team form/efficiency,-0.0014941699009770762,helps
dm_arch_h_l10_pace,dims arch,-0.0014923115132263376,helps
raw_twopct_l10_sum_off,possession raw,-0.0014878184457269115,helps
raw_eff_l10_sum_off,possession raw,-0.0014822674206215883,helps
raw_trate_l5_d_alwd,possession raw,-0.001480259658521193,helps
raw_ftr_l10_sum_off,possession raw,-0.0014685946568894375,helps
net_ftr_s2d_a,matchup net,-0.0014550332468166133,helps
raw_tov_s2d_d_alwd,possession raw,-0.0014524359260834384,helps
a_s_to_rate,other,-0.001446918477433667,helps
sum_l5_margin,other,-0.0014407136312893395,helps
radj_d_adj_net,adj ratings,-0.0014352154604322196,helps
a_sched_rest2,other,-0.0014183598606312222,helps
adj_net_oreb_pct_h,adj matchup net,-0.001399464929280185,helps
a_s2d_top_min_share,usage concentration,-0.0013855984908354721,helps
radj_a_adj_def,adj ratings,-0.0013771429757603968,helps
net_eff_l10_d,matchup net,-0.0013723109199000876,helps
net_twopct_s2d_h,matchup net,-0.0013587140873406339,helps
radj_gap,adj ratings,-0.0013543786376619719,helps
sum_form3_ortg,team form/efficiency,-0.0013492726581932322,helps
net_tpct_l5_a,matchup net,-0.0013454383027272964,helps
dm_arch_sum_l3_pace,dims arch,-0.0013369251136029743,helps
net_twopct_s2d_a,matchup net,-0.001335754288019199,helps
d_l3_adv_pace,team form/efficiency,-0.001328127521028694,helps
adj_net_three_rate_sum,adj matchup net,-0.0013089549591018038,helps
sum_s_d_p3a_rate,other,-0.001301413080541202,helps
raw_trate_l10_sum_alwd,possession raw,-0.0013006783481095308,helps
raw_ftr_s2d_sum_off,possession raw,-0.001292106835821808,helps
net_tpct_l5_sum,matchup net,-0.0012905343836216556,helps
raw_tov_l10_d_off,possession raw,-0.001283827010546423,helps
h_abs_ret_sum_min,other,-0.0012782547735860179,helps
net_ftr_l10_d,matchup net,-0.0012502568456858923,helps
adj_net_three_rate_h,adj matchup net,-0.0012358998687038271,helps
d_abs_n_regulars,other,-0.001229666437572104,helps
adj_net_oreb_pct_d,adj matchup net,-0.0012241272841413532,helps
a_l10_opp_score,other,-0.001223807125135411,helps
sum_l5_pts_hhi,usage concentration,-0.001214859879439869,helps
adj_net_poss_d,adj matchup net,-0.0012058215801606185,helps
radj_sum_adj_def,adj ratings,-0.0012030528287386593,helps
a_l10_margin,other,-0.0011750998184034038,helps
d_s_d_p3a_rate,other,-0.0011570151854727016,helps
sum_abs_n_regulars,other,-0.0011564478322959025,helps
raw_eff_s2d_d_alwd,possession raw,-0.0011482556017360216,helps
net_eff_l10_h,matchup net,-0.001145298703752165,helps
sum_abs_stale_max_ppg,other,-0.0011388901593147758,helps
a_form_total,other,-0.0011367114303822577,helps
adj_net_three_pct_h,adj matchup net,-0.0011265210384175208,helps
net_twopct_l5_d,matchup net,-0.0011226033411645725,helps
d_abs_fresh_n,other,-0.0011220779559470335,helps
sum_s_p3a_rate,other,-0.0011190340779304582,helps
raw_eff_s2d_sum_off,possession raw,-0.0011110469453570928,helps
net_trate_l5_a,matchup net,-0.0010999627288438617,helps
h_l5_min_hhi,usage concentration,-0.001099684621620719,helps
sum_s_oreb_pg,team form/efficiency,-0.001095215251064701,helps
a_s2d_adv_rot_n,usage concentration,-0.0010919482424934163,helps
sum_abs_stale_max_min,other,-0.0010865964345995508,helps
d_s2d_adv_usg_max,usage concentration,-0.001083891153759597,helps
a_abs_fresh_max_ppg,other,-0.0010754990428937738,helps
raw_tpct_l10_sum_alwd,possession raw,-0.0010745364420473133,helps
h_s2d_adv_usg_max,usage concentration,-0.0010637536186072557,helps
d_l5_top_min_share,usage concentration,-0.0010612202528382467,helps
a_l5_ortg,team form/efficiency,-0.0010607850426567977,helps
net_eff_s2d_d,matchup net,-0.001049744116779746,helps
sum_l5_own_score,other,-0.001048414688944313,helps
adj_own_two_pct_sum_def,adj own levels,-0.0010320323696067207,helps
