feature,family,delta,verdict
sum_s_d_ftr,team form/efficiency,-0.013040520851379564,helps
a_l5_top_min_share,usage concentration,-0.010173113680005001,helps
h_s_d_ftr,team form/efficiency,-0.009861171019369133,helps
sum_l5_adv_usg_max,usage concentration,-0.0074818605360758225,helps
d_l5_adv_rot_n,usage concentration,-0.007042986836489948,helps
d_s2d_efg,team form/efficiency,-0.006967300302743354,helps
sum_l10_min_hhi,usage concentration,-0.006548425215077258,helps
h_l5_adv_usg_max,usage concentration,-0.0061456451180519345,helps
a_l10_pts_hhi,usage concentration,-0.006134537316308877,helps
d_l10_adv_rot_n,usage concentration,-0.005896911682845923,helps
d_l5_top_min_share,usage concentration,-0.005779145554660442,helps
raw_eff_s2d_d_alwd,possession raw,-0.005578495947102399,helps
sum_l5_own_score,other,-0.005392544135495808,helps
h_s2d_pts_hhi,usage concentration,-0.004495165455056016,helps
raw_efg_s2d_sum_alwd,possession raw,-0.004481270656814057,helps
sum_s2d_adv_usage_percentage,usage concentration,-0.004458321634148471,helps
sum_l5_top_min_share,usage concentration,-0.004440761648670952,helps
a_l5_adv_rot_n,usage concentration,-0.004409721594193464,helps
raw_ftr_l10_d_off,possession raw,-0.0043298689979823085,helps
raw_tov_s2d_d_off,possession raw,-0.0041374518610206995,helps
h_l5_margin,other,-0.004093941454052216,helps
h_l10_min_hhi,usage concentration,-0.003930022297026617,helps
sum_form_margin,other,-0.0038130817930617233,helps
h_l5_own_score,other,-0.00372582515008317,helps
a_abs_ret_max_min,other,-0.00367167297443248,helps
raw_trate_s2d_sum_off,possession raw,-0.0036664416210359374,helps
dm_arch_d_l3_pace,dims arch,-0.0036638835115233442,helps
h_form3_p3_pct,other,-0.003310834522720227,helps
d_l10_pts_hhi,usage concentration,-0.0032104280349747327,helps
sum_s2d_adv_rot_n,usage concentration,-0.0032093498947820265,helps
d_l5_margin,other,-0.0031888759992534793,helps
sum_s_d_p3_pct,other,-0.003073953924186454,helps
sum_l10_adv_usg_max,usage concentration,-0.003024837545904685,helps
h_l3_adv_usg_max,usage concentration,-0.0030077370839172307,helps
net_twopct_l5_sum,matchup net,-0.0029866674816022426,helps
radj_d_adj_def,adj ratings,-0.0029768461028826243,helps
sum_l3_adv_usg_max,usage concentration,-0.0029687638557310825,helps
radj_h_adj_net,adj ratings,-0.0029683736820443896,helps
adj_own_efg_sum_def,adj own levels,-0.002875198534765158,helps
sum_s2d_margin,other,-0.002830549951760866,helps
net_trate_s2d_a,matchup net,-0.0027998266920588877,helps
a_l3_efg,team form/efficiency,-0.002709289656493974,helps
sum_l3_pts_hhi,usage concentration,-0.0026951034619415726,helps
sum_form3_ortg,team form/efficiency,-0.0025951157975643013,helps
net_trate_s2d_d,matchup net,-0.0025525321787228245,helps
d_sched_road_run,other,-0.0025313514656786773,helps
raw_tpct_s2d_sum_off,possession raw,-0.0025006001345204976,helps
raw_tov_s2d_sum_off,possession raw,-0.0024852890765259955,helps
sum_s2d_own_score,other,-0.002444410845881359,helps
net_efg_s2d_a,matchup net,-0.0023818083405976187,helps
h_sched_rest2,other,-0.0023778422679579803,helps
a_l10_adv_rot_n,usage concentration,-0.00235293319757951,helps
raw_oreb_l10_sum_off,possession raw,-0.0023254592837184673,helps
adj_net_three_pct_a,adj matchup net,-0.0022426614971959302,helps
dm_exp_sum_exp,dims exp,-0.0022372643163758588,helps
d_abs_ret_max_min,other,-0.0022087516919295086,helps
net_oreb_l10_sum,matchup net,-0.0021811592469196672,helps
sum_l5_adv_usage_percentage,usage concentration,-0.0021800885799658776,helps
a_s2d_min_hhi,usage concentration,-0.002143743866106787,helps
adj_own_oreb_pct_sum_off,adj own levels,-0.0021049349156109926,helps
raw_tpct_s2d_sum_alwd,possession raw,-0.0020568558935164655,helps
h_abs_stale_sum_min,other,-0.0019918217730331284,helps
sum_l5_margin,other,-0.001972518586965344,helps
d_l10_top_min_share,usage concentration,-0.0019541103079060845,helps
raw_tpct_s2d_d_off,possession raw,-0.0019423070073268794,helps
sum_sched_rest2,other,-0.0019285398064658038,helps
net_eff_l10_a,matchup net,-0.001927867561386104,helps
radj_sum_adj_net,adj ratings,-0.0019050504583631445,helps
radj_sum_adj_off,adj ratings,-0.001865045098025403,helps
raw_tov_l10_d_alwd,possession raw,-0.0018262980387340894,helps
adj_own_oreb_pct_sum_def,adj own levels,-0.0018033140496723082,helps
net_twopct_s2d_a,matchup net,-0.001802157248771516,helps
sum_abs_fresh_n,other,-0.0017941260644555451,helps
a_s2d_own_score,other,-0.0017933010263802285,helps
h_l5_total,other,-0.0017896617810015392,helps
