phase,feature,rule,market,disc_n,disc_roi,disc_z,val_n,val_roi,val_excess,val_z
all,a_l10_h1t,a_l10_h1t >= 121.9,fg_total_under,222,16.09712541103363,3.2644556,179,13.104085624217987,20.03731280565262,2.8088226
gp25,d_d3_opp,d_d3_opp >= 4.988,tt_home_under,257,13.796979188919067,2.4779391,512,5.325338244438171,11.14213764667511,2.6544857
gp25,h_l3_gtot,h_l3_gtot >= 240.3,tt_home_under,158,16.972704231739044,2.366329,295,6.934310495853424,12.751109898090363,2.3058758
gp25,gbr_dog,gbr_dog >= 1.658,fg_total_over,174,9.71333310008049,2.0998578,198,12.805934250354767,15.438774228096008,2.2764752
stretch,d_l10_opp,d_l10_opp >= 7.1,fg_ml_fav,229,6.243012845516205,2.3160162,213,6.9770097732543945,9.967269003391266,2.2598236
all,open_total_move,open_total_move <= -1.5,h1_spread_away,382,5.314752086997032,2.174417,782,4.507183283567429,7.680545747280121,2.2490015
all,d_l5_win,d_l5_win <= -0.4,fg_ml_fav,396,4.296499863266945,2.0602083,417,2.3140568286180496,7.230079174041748,2.2026076
all,a_d3_oum,a_d3_oum <= -8.414,tt_home_under,230,7.542595267295837,2.1842494,450,3.838932141661644,9.825491905212402,2.1943445
all,a_d5_margin,a_d5_margin <= -7.53,h1_spread_dog,125,9.889137744903564,2.1192522,263,10.418582707643509,12.740443646907806,2.163123
gp25,h_l5_gtot,h_l5_gtot >= 243.2,fg_total_under,176,11.720597743988037,2.1299436,158,9.962321817874908,16.407617926597595,2.1606338
gp25,d_s2d_cover,d_s2d_cover <= -0.08562,h1_spread_home,189,9.907305985689163,2.3686795,348,4.324087128043175,11.000275611877441,2.1507733
all,open_total_move,open_total_move >= 2,h1_spread_home,287,8.191875368356705,2.2087245,645,2.031433582305908,7.911673188209534,2.1059895
all,d_d3_oum,d_d3_oum >= 17.32,fg_total_under,215,8.333685994148254,2.0200276,232,6.1780765652656555,13.111303746700287,2.0924168
all,a_d3_win,a_d3_win <= -0.3178,fg_ml_away,238,15.827997028827667,2.3906434,233,14.066977798938751,18.159547448158264,2.0752738
gp25,a_l10_h1t,a_l10_h1t >= 122.1,fg_total_under,176,18.235844373703003,3.0354898,128,10.431887954473495,16.877183318138123,2.000378
stretch,a_l3_gtot_vs_line,a_l3_gtot_vs_line <= -9.667,tt_home_under,125,17.676818370819092,2.123688,197,4.222703725099564,13.21357786655426,1.9541796
stretch,gbr_dog,gbr_dog <= 0,tt_away_under,138,9.420306235551834,2.0988612,233,4.442199692130089,11.93370670080185,1.9159096
gp50,a_adj_net,a_adj_net >= 2.59,h1_spread_away,124,15.10213017463684,2.2000787,257,6.189003586769104,11.409136652946472,1.9152744
all,a_adj_off,a_adj_off <= 111.6,fg_total_over,721,4.863873869180679,2.5692325,540,5.706774443387985,7.850988209247589,1.9119852
gp50,gbr_h,gbr_h <= -0.2143,fg_spread_dog,195,6.715620309114456,2.1312203,192,1.458799373358488,12.81270980834961,1.8633221
all,a_adj_def,a_adj_def >= 116.5,fg_total_under,246,7.874821871519089,2.0853584,442,1.5139101073145866,8.447137475013733,1.8607115
postdl,d_l10_opp,d_l10_opp >= 7.1,fg_ml_fav,179,9.780839085578918,2.7653883,195,8.510937541723251,8.3139069378376,1.8570181
all,pair_l5_oum,pair_l5_oum <= -4.445,h1_spread_dog,222,7.471964508295059,2.4465334,444,5.956435576081276,8.278296887874603,1.8262123
gp50,t60_ml_away_price,t60_ml_away_price <= 1.714,fg_spread_away,299,9.819675981998444,2.0034554,322,1.9091250374913216,9.679444134235382,1.8204367
early,h_l3_cover,h_l3_cover >= 0.666667,fg_ml_home,180,18.85717660188675,2.8142009,171,13.029229640960693,13.853062689304352,1.8202274
all,a_d5_opp,a_d5_opp < 0,fg_spread_away,1082,1.2997192330658436,2.0353332,1135,-0.7145682349801064,5.028757452964783,1.7739831
all,open_total_move,open_total_move >= 1,h1_spread_home,450,7.507939636707306,2.6133714,972,-0.494881346821785,5.385357886552811,1.7597691
stretch,gbr_dog,gbr_dog <= 0.04,tt_away_under,161,9.027393162250519,2.2141933,259,2.8829680755734444,10.37447527050972,1.7560534
postdl,gbr_dog,gbr_dog >= 1.654,fg_total_over,176,10.636010766029358,2.2631402,199,12.239070236682892,11.798354983329773,1.7459133
all,pair_l5_oum,pair_l5_oum <= -2.475,h1_spread_dog,327,3.8987215608358383,2.2915797,682,4.036938026547432,6.358799338340759,1.7385454
veryLate,d_d3_h1m,d_d3_h1m <= -4.676,fg_ml_home,157,15.4433012008667,2.4531891,155,1.1027824133634567,14.023754000663757,1.7351863
gp25,h_l5_h1t,h_l5_h1t >= 120.8,fg_total_under,349,6.676837056875229,2.0121646,305,2.683376334607601,9.128672629594803,1.6701851
