key,family,phase,market,note,n,win,base_win,edge,roi,base_roi,z,seasons_pos,by_season,disc_roi,disc_n,val_roi,val_n,search_p,tier
rest_edge_home,context,all,fg_spread_home,,258,57.36434108527132,50.34609120521173,7.0182498800595905,9.53081162350744,-3.8500113709434873,2.2508405516035985,4,+7/+4/+15/+15,5.516454669943327,152,15.287248009750314,106,0.5225,TRACK
postdl_dead_home_fav,standings,postdl,fg_spread_fav,post trade-deadline sharpens the tanking signal,328,58.536585365853654,52.41801000555865,6.118575360295009,11.753943141348046,0.07031412728364284,2.21934287571994,3,+14/-1/+26/+9,6.317771811783793,167,17.392704706796682,161,0.545,TRACK
S9_both_done_over,standings,gp50,fg_total_over,neither team needs it -> nobody defends,467,56.102783725910065,51.0351966873706,5.067587038539467,7.108216853252489,-2.563142643408296,2.1898535424007775,3,-2/+17/+7/+3,10.780370072405477,193,4.521627176987792,274,0.59,TRACK
S9_dead_home_fav,standings,gp50,fg_spread_fav,CALIBRATION -- this is S9 exactly; the harness must reproduce it,328,58.536585365853654,52.650727650727646,5.885857715126008,11.753943141348046,0.5148460130207324,2.1354033897478257,3,+14/-1/+26/+9,6.317771811783793,167,17.392704706796682,161,0.6475,TRACK
gbr_dog_hi0.35,standings,gp25,fg_spread_fav,the underdog is the one that is out of it,1166,53.43053173241853,50.45574830932079,2.9747834230977377,2.0035781212430264,-3.6708074366681736,2.0298551427893,3,+6/-6/+3/+6,-1.0537471567570784,546,4.695996833804411,620,0.7825,TRACK
gbr_dog_hi0.2,standings,gp25,fg_spread_fav,the underdog is the one that is out of it,1595,52.85266457680251,50.45574830932079,2.396916267481719,0.8991007116011431,-3.6708074366681736,1.9119861607760225,2,+11/-3/-4/+3,2.3109264929740836,724,-0.2744490768190729,871,0.88,-
wk1_over,early_bias,all,fg_total_over,,372,55.376344086021504,50.70193285859613,4.674411227425368,5.729563961204211,-3.2059075332328733,1.805663442713694,4,+4/+1/+6/+13,2.2469054779677973,183,9.101661857671216,189,0.9275,WATCH
S9_dead_home_fav_veryLate,standings,veryLate,fg_spread_fav,,285,58.59649122807018,53.64635364635365,4.950137581716529,11.859712544164505,2.419143989773119,1.674032266203045,3,+9/-2/+37/+6,3.3037028756206883,146,20.846600397455127,139,0.965,-
form_hot_home_l3_ride,form,all,fg_spread_home,ride it,597,53.768844221105525,50.34609120521173,3.422753015893798,2.666470359001184,-3.8500113709434873,1.667448385980672,3,-8/+8/+3/+7,0.025425325818573718,294,5.229068510010053,303,0.9675,-
reg_h_d3_atsm_lo,regress,all,fg_spread_home,,694,53.31412103746398,50.34609120521173,2.9680298322522503,1.7958987500141779,-3.8500113709434873,1.5576351806470115,2,-3/+4/+10/-3,0.6022050620365133,353,3.0315992539910583,341,0.99,-
