name,fam,uni,market,n,win,base,edge,roi,base_roi,z,seasons,npos,why
R_hot3_h_fade_l3,regress,gp25,fg_spread_away,670,49.40298507462686,50.191120258747425,-0.7881351841205586,-5.651015150539266,-4.164956004099017,-0.40290800586712694,+1/-5/-9/-11,1,home team shooting over its own head from three -> fade it
R_hot3_a_fade_l3,regress,gp25,fg_spread_home,683,49.341142020497806,49.80887974125257,-0.4677377207547684,-5.7811064891362705,-4.882568053053189,-0.2459362449906991,-1/-18/-4/+1,1,away team shooting over its own head -> fade it
R_cold3_h_back_l3,regress,gp25,fg_spread_home,683,50.219619326500734,49.80887974125257,0.4107395852481599,-4.102903697760609,-4.882568053053189,0.21339957890907857,-3/-7/-6/+0,1,home team ice cold from three vs its own norm -> back it
R_both_hot3_under_l3,regress,gp25,fg_total_under,146,58.9041095890411,49.75124378109453,9.15286580794657,12.459065541257326,-5.010883048944268,2.211224703903153,+14/-17/+25/+37,3,both teams hot from three -> both regress -> under
R_both_cold3_over_l3,regress,gp25,fg_total_over,134,56.71641791044776,50.24875621890548,6.467661691542281,8.267792173484953,-4.071136726581404,1.4963761284945791,+40/-9/+13/+1,3,both teams cold from three -> both regress -> over
R_hot3_h_fade_LGCTRL_l3,regress,gp25,fg_spread_away,670,49.40298507462686,50.191120258747425,-0.7881351841205586,-5.652386514432235,-4.164956004099017,-0.40327981710543326,+2/-6/-8/-13,1,CONTROL: league-mean baseline instead of the team's own
R_luckyD_h_fade_l3,regress,gp25,fg_spread_away,679,48.15905743740795,50.191120258747425,-2.03206282133947,-8.056147835366692,-4.164956004099017,-1.062062144218698,-3/-2/-10/-16,0,home defence has been getting a lucky opponent three-point number -> fade
R_luckyD_a_fade_l3,regress,gp25,fg_spread_home,675,50.51851851851852,49.80887974125257,0.7096387772659474,-3.553164537914883,-4.882568053053189,0.3617297563748875,-1/-9/-6/+4,1,away defence riding a lucky opponent three-point number -> fade
R_bothluckyD_over_l3,regress,gp25,fg_total_over,132,53.03030303030303,50.24875621890548,2.7815468113975506,1.2432811172419689,-4.071136726581404,0.6396664511077226,-1/+12/-27/+11,2,both defences have been lucky -> both regress -> over
R_hot_and_lucky_h_l3,regress,gp25,fg_spread_away,131,40.458015267175576,50.191120258747425,-9.73310499157185,-22.770506368781255,-4.164956004099017,-2.2305428447487325,-5/-1/-47/-35,0,home team hot AND lucky -> the strongest fade
R_efg_hot_h_l3,regress,gp25,fg_spread_away,682,49.56011730205279,50.191120258747425,-0.6310029566946374,-5.362415544332133,-4.164956004099017,-0.3275559074418986,+8/-0/-16/-16,1,home eFG above its own norm -> fade
R_efgD_lucky_h_l3,regress,gp25,fg_spread_away,675,45.62962962962963,50.191120258747425,-4.561490629117793,-12.886062825067471,-4.164956004099017,-2.3733177810133474,-8/-1/-21/-22,0,home eFG allowed below its own norm -> fade
R_hot3_h_fade_l5,regress,gp25,fg_spread_away,678,47.78761061946903,50.191120258747425,-2.4035096392783952,-8.739149624579628,-4.164956004099017,-1.2475610044641852,-0/-10/-11/-16,0,home team shooting over its own head from three -> fade it
R_hot3_a_fade_l5,regress,gp25,fg_spread_home,687,47.45269286754003,49.80887974125257,-2.35618687371254,-9.397298598751268,-4.882568053053189,-1.239326483873679,-8/-12/-12/-6,0,away team shooting over its own head -> fade it
R_cold3_h_back_l5,regress,gp25,fg_spread_home,684,51.16959064327485,49.80887974125257,1.360710902022283,-2.2795740193361973,-4.882568053053189,0.7129790194266596,-6/-1/+1/-3,1,home team ice cold from three vs its own norm -> back it
R_both_hot3_under_l5,regress,gp25,fg_total_under,140,55.00000000000001,49.75124378109453,5.248756218905476,5.00601250601251,-5.010883048944268,1.2415436302870304,+9/-2/+1/+15,3,both teams hot from three -> both regress -> under
R_both_cold3_over_l5,regress,gp25,fg_total_over,130,51.53846153846153,50.24875621890548,1.289705319556056,-1.6208791208791158,-4.071136726581404,0.292680866769027,+12/-20/+13/-5,2,both teams cold from three -> both regress -> over
