market,cut,venue,n,win,roi,blind_roi,delta,mae_blend,mae_line,mae_model
player_assists,top100%,cons,35495,45.65150021129736,-6.201794511550815,-4.797830349258141,-1.4039641622926737,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top100%,best,35622,46.87412273314244,-11.282211975836887,-2.153497306871278,-9.128714668965609,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top100%,second,30054,46.519598056831036,-11.8014242828047,-3.6223953047253747,-8.179028978079325,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top25%,cons,8879,42.05428539249916,-5.96161809291425,-6.607499972752776,0.6458818798385257,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top25%,best,8906,43.79070289692342,-16.8925925148971,-4.22283947374107,-12.66975304115603,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top25%,second,7515,43.80572188955422,-16.69729696221139,-4.769320150097449,-11.92797681211394,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top10%,cons,3554,39.53292065278559,-8.364257738036123,-8.139681339800592,-0.22457639823553066,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top10%,best,3563,40.6679764243615,-21.17538729177042,-5.957353453003153,-15.218033838767267,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top10%,second,3009,41.110003323363244,-21.119703484674986,-7.504592254020004,-13.615111230654982,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top5%,cons,1780,38.59550561797753,-9.374657742093119,-8.190145572919524,-1.184512169173594,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top5%,best,1782,39.64646464646464,-22.740233084970853,-6.0401946874847585,-16.700038397486097,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_assists,top5%,second,1503,40.38589487691284,-22.112141909475575,-4.17799576075967,-17.934146148715904,1.5240209843023933,1.5341221716916513,1.5217165186233925
player_blocks,top100%,cons,29712,53.10985460420032,-4.561899336406988,-3.330219543037969,-1.2316797933690191,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top100%,best,29773,53.130353004399964,18.82171295389307,-2.452854708092856,21.274567661985927,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top100%,second,13306,51.01457988877198,5.972463301065613,-3.7816631924778146,9.754126493543428,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top25%,cons,7426,51.33315378400215,-1.469186806402661,-1.8347269500518726,0.3655401436492116,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top25%,best,7448,51.51047261009667,6.215874544243808,-0.5374438924640897,6.7533184367078976,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top25%,second,3327,50.375713856327025,-0.45021877189925164,-1.7914352024285902,1.3412164305293386,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top10%,cons,2970,49.831649831649834,-0.5313154101773143,-2.0729560001129252,1.541640589935611,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top10%,best,2978,50.03357958361316,-0.21849526223758398,-0.6221732010850977,0.4036779388475137,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top10%,second,1331,51.126972201352366,-0.5141564055012188,1.1154396116599206,-1.6295960171611394,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top5%,cons,1487,50.302622730329524,0.6957902472213201,-0.4500404330973827,1.1458306803187028,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top5%,best,1489,50.33579583613163,-0.305299353807704,1.663450133168033,-1.968749486975737,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_blocks,top5%,second,666,50.22522522522523,-1.9138008982569605,1.760760173425302,-3.6745610716822625,0.6233419030090721,0.6795922480099419,0.6105353732039336
player_points,top100%,cons,38542,49.774272222510504,-5.256409002299326,-4.19954685793452,-1.056862144364806,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top100%,best,38612,50.253807106598984,-5.504194594048274,-0.6653560371234924,-4.838838556924781,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top100%,second,37052,50.01349454820253,-6.057248121781212,-2.5692405333776884,-3.4880075884035238,4.922363348762911,4.915945819952347,4.970940114697909
