market,model,mode,cut,venue,n,win,roi,blind_roi,delta
player_assists,qreg,mkt,top100%,cons,43087,51.22658806600599,-4.629120752407326,-5.2400634803230135,0.6109427279156874
player_assists,qreg,mkt,top100%,best,43213,52.26667900863167,-2.1903463548520756,-2.603864918629507,0.41351856377743124
player_assists,qreg,mkt,top25%,cons,10772,51.92164871890086,-3.846472188570311,-5.653582512779037,1.8071103242087263
player_assists,qreg,mkt,top25%,best,10804,52.75823768974453,-1.7507359534446862,-3.0777857915775195,1.3270498381328333
player_assists,qreg,mkt,top10%,cons,4309,51.520074263170116,-4.091115029955386,-6.340473792093153,2.249358762137767
player_assists,qreg,mkt,top10%,best,4322,52.05923183711245,-2.3136897392705436,-4.1095976501854965,1.795907910914953
player_assists,qreg,mkt,top5%,cons,2155,51.693735498839914,-4.0789179735559875,-6.327422882177437,2.2485049086214497
player_assists,qreg,mkt,top5%,best,2161,52.33688107357705,-2.348646578111344,-4.476295914268229,2.1276493361568845
player_assists,qreg,abs,top100%,cons,43087,54.92375890639868,-4.910004118196198,-5.2400634803230135,0.3300593621268151
player_assists,qreg,abs,top100%,best,43213,55.34908476615833,-2.6654828257659267,-2.603864918629507,-0.06161790713641979
player_assists,qreg,abs,top25%,cons,10772,58.587077608614926,-4.251872803746127,-5.83288318222002,1.5810103784738931
player_assists,qreg,abs,top25%,best,10804,58.728248796741944,-2.7364238572535537,-3.693910367353807,0.9574865101002534
player_assists,qreg,abs,top10%,cons,4309,59.52657229055466,-3.874926756307514,-7.110807825944129,3.2358810696366156
player_assists,qreg,abs,top10%,best,4322,59.64831096714484,-2.5637697892186817,-4.873048608251216,2.3092788190325346
player_assists,qreg,abs,top5%,cons,2155,59.62877030162414,-4.0327086249526305,-7.832265973367713,3.7995573484150826
player_assists,qreg,abs,top5%,best,2161,59.69458583988894,-3.0045057600816607,-6.147139329482206,3.1426335694005454
player_assists,qreg,under,top100%,cons,43087,51.247476036855666,-5.2400634803230135,-5.2400634803230135,0.0
player_assists,qreg,under,top100%,best,43213,52.8151250781015,-2.603864918629507,-2.603864918629507,0.0
player_assists,qreg,under,top25%,cons,10772,53.07278128481248,-2.460150195460668,-5.2400634803230135,2.7799132848623453
player_assists,qreg,under,top25%,best,10804,54.26693817104776,0.33019866624702926,-2.603864918629507,2.934063584876536
player_assists,qreg,under,top10%,cons,4309,52.79647249941982,-2.6724591972269627,-5.2400634803230135,2.567604283096051
