target,block,alpha,phase,K,n,win,base,edge,roi
fg_spread,style,100.0,early  (<25 gp),1.5,766,51.7,51.15,0.55,-1.25
fg_spread,style,100.0,early  (<25 gp),2.5,556,51.62,51.15,0.47,-1.39
fg_spread,style,100.0,early  (<25 gp),3.5,376,51.06,51.15,-0.08,-2.46
fg_spread,style,100.0,mid    (25-49),1.5,695,49.21,49.59,-0.39,-6.0
fg_spread,style,100.0,mid    (25-49),2.5,462,47.4,49.59,-2.19,-9.44
fg_spread,style,100.0,mid    (25-49),3.5,273,46.52,49.59,-3.07,-11.12
fg_spread,style,100.0,late   (50+),1.5,906,50.33,50.1,0.23,-3.91
fg_spread,style,100.0,late   (50+),2.5,589,51.95,50.1,1.85,-0.82
fg_spread,style,100.0,late   (50+),3.5,355,51.27,50.1,1.17,-2.14
fg_spread,style,100.0,ALL regular,1.5,2367,50.44,50.28,0.16,-3.66
fg_spread,style,100.0,ALL regular,2.5,1607,50.53,50.28,0.25,-3.49
fg_spread,style,100.0,ALL regular,3.5,1004,49.9,50.28,-0.38,-4.7
fg_spread,style,300.0,early  (<25 gp),1.5,712,50.98,51.15,-0.17,-2.61
fg_spread,style,300.0,early  (<25 gp),2.5,502,50.6,51.15,-0.55,-3.34
fg_spread,style,300.0,early  (<25 gp),3.5,319,52.35,51.15,1.2,-0.03
fg_spread,style,300.0,mid    (25-49),1.5,647,49.46,49.32,0.14,-5.53
fg_spread,style,300.0,mid    (25-49),2.5,404,47.77,49.32,-1.55,-8.72
fg_spread,style,300.0,mid    (25-49),3.5,208,48.08,49.32,-1.25,-8.15
fg_spread,style,300.0,late   (50+),1.5,863,50.75,51.04,-0.28,-3.11
fg_spread,style,300.0,late   (50+),2.5,510,52.55,51.04,1.51,0.32
fg_spread,style,300.0,late   (50+),3.5,266,50.75,51.04,-0.28,-3.11
fg_spread,style,300.0,ALL regular,1.5,2222,50.45,50.58,-0.12,-3.65
fg_spread,style,300.0,ALL regular,2.5,1416,50.49,50.58,-0.08,-3.56
fg_spread,style,300.0,ALL regular,3.5,793,50.69,50.58,0.12,-3.19
fg_spread,style,1000.0,early  (<25 gp),1.5,629,51.03,52.21,-1.18,-2.52
fg_spread,style,1000.0,early  (<25 gp),2.5,390,52.31,52.21,0.1,-0.08
fg_spread,style,1000.0,early  (<25 gp),3.5,211,49.29,52.21,-2.92,-5.89
fg_spread,style,1000.0,mid    (25-49),1.5,562,49.47,48.87,0.59,-5.51
