cell,kind,n,win,roi,cons,per
O3 vs D2,tt_o,1258,54.531001589825124,2.480494628480321,3/3,55 56 52
O3 vs D4,tt_o,1088,53.76838235294118,1.1584718117288153,3/3,57 52 52
O3 vs D0,tt_o,997,53.36008024072216,0.5326194258109387,3/3,53 56 51
O4 vs D2,tt_o,1107,53.387533875338754,0.4385273143911316,2/3,49 58 53
O0 vs D4,tt_o,994,53.01810865191147,-0.13816946453963627,3/3,54 52 53
O0 vs D0,ats,1321,52.23315669947009,-0.2567003095801546,3/4,52 53 50 54
O2 vs D4,ats,1438,51.9471488178025,-0.8125014782272362,4/4,51 52 52 53
O2 vs D0,ats,1858,51.93756727664155,-0.827487512961097,4/4,52 52 54 50
O0 vs D2,tt_o,1026,52.63157894736842,-0.8928847039257856,3/3,51 55 51
O0 vs D3,tt_o,1037,52.3625843780135,-1.4409006262901398,2/3,50 53 54
P3 vs P0,ats,2802,51.53461812990721,-1.5748976341717718,3/4,49 52 52 53
O4 vs D3,tt_u,1208,52.235099337748345,-1.6607654426659384,2/3,52 48 56
O4 vs D0,tt_o,886,52.25733634311512,-1.7271511022836674,2/3,57 50 49
O3 vs D0,ats,1345,51.44981412639405,-1.7347451598245724,4/4,51 51 52 52
O0 vs D3,ats,1384,51.3728323699422,-1.8754549302590775,4/4,54 51 50 51
O2 vs D1,tt_u,1266,52.05371248025277,-2.032344474735781,3/3,52 52 51
O0 vs D1,tt_u,1021,52.007835455435846,-2.0675086080100797,3/3,53 51 52
O4 vs D2,ats,1481,51.11411208642809,-2.369990029103738,3/4,48 50 50 55
O0 vs D1,ats,1370,51.021897810218974,-2.5757382456263738,3/4,52 49 52 51
O3 vs D3,tt_o,1532,51.63185378590078,-2.787858521049681,2/3,51 55 50
O0 vs D4,ats,1365,50.84249084249084,-2.8996622470658115,2/4,47 52 50 53
O3 vs D3,ats,2019,50.81723625557206,-2.9434234531202286,3/4,53 50 53 47
O2 vs D1,ats,1711,50.73056691992986,-3.070827042664086,1/4,55 50 48 50
O2 vs D4,tt_o,1091,51.42071494042163,-3.220252581086132,2/3,54 50 51
O0 vs D0,tt_o,978,51.32924335378323,-3.220632569274351,1/3,50 48 55
O1 vs D4,ats,1663,50.51112447384245,-3.5292075254163344,3/4,51 53 47 51
O1 vs D2,ats,1900,50.473684210526315,-3.621069172630148,3/4,52 52 50 48
P3 vs P2,ats,1948,50.46201232032854,-3.631387217808377,2/4,49 51 52 50
O1 vs D0,tt_u,1199,51.209341117597994,-3.690604320966899,2/3,52 51 50
O2 vs D3,tt_o,1047,51.09837631327603,-3.937875479941577,2/3,53 51 50
P1 vs P3(tall+deep),ats,1729,50.260266049739734,-4.003955455074423,2/4,48 53 50 51
