coach,n_big_drives,tempo_big,tempo_neutral,tempo_delta,pass_big,pass_neutral,pass_delta,starter_share_q4,n_q4_dropbacks,pts_drive_big,expansion_med,n_big_games,go4_rate,n_go4,hammer
Jim Leonhard,10.0,29.416666666666664,28.166666666666664,1.25,0.2558139534883721,0.13636363636363635,0.11945031712473575,,8.0,4.5,26.0,2.0,1.0,2.0,1.3527409029813313
Mack Brown,10.0,22.625,19.871428571428574,2.7535714285714263,0.35135135135135137,0.40229885057471265,-0.05094749922336128,0.7,10.0,4.9,14.0,3.0,0.5,2.0,0.8119253758118864
Curt Cignetti,26.0,28.208333333333336,26.875,1.3333333333333357,0.33043478260869563,0.44660194174757284,-0.11616715913887721,0.14285714285714285,21.0,4.576923076923077,35.0,5.0,1.0,7.0,0.7726165883206091
Gus Malzahn,22.0,23.348484848484848,22.666666666666668,0.6818181818181799,0.36036036036036034,0.3870967741935484,-0.026736413833188033,0.21739130434782608,23.0,3.8181818181818183,26.5,4.0,0.5,6.0,0.6327623580793968
Matt Rhule,14.0,28.975,28.773809523809526,0.20119047619047592,0.4576271186440678,0.48484848484848486,-0.027221366204417063,0.0625,16.0,4.714285714285714,21.0,3.0,0.5,4.0,0.6200133092431517
Lane Kiffin,48.0,21.5,18.1,3.3999999999999986,0.445,0.4074074074074074,0.03759259259259262,0.29411764705882354,51.0,3.6041666666666665,25.0,9.0,0.8,5.0,0.581473467845627
Jeff Monken,12.0,33.29166666666667,31.833333333333336,1.4583333333333357,0.1267605633802817,0.12,0.006760563380281692,,5.0,4.333333333333333,12.0,4.0,0.875,8.0,0.5624675950347083
Neal Brown,18.0,26.214285714285715,25.75,0.4642857142857153,0.3978494623655914,0.4875,-0.08965053763440861,0.0,19.0,4.722222222222222,25.5,4.0,1.0,8.0,0.5510559056096535
Dan Lanning,28.0,29.089285714285715,27.666666666666668,1.4226190476190474,0.39705882352941174,0.475,-0.07794117647058824,0.05263157894736842,19.0,4.214285714285714,28.5,6.0,0.5714285714285714,7.0,0.5128613090546426
Pat Narduzzi,16.0,21.166666666666664,26.363636363636363,-5.196969696969699,0.5074626865671642,0.5740740740740741,-0.06661138750690987,0.0,33.0,3.8125,19.0,4.0,0.4,5.0,0.5037181249062466
Rich Rodriguez,11.0,24.333333333333332,20.183333333333334,4.149999999999999,0.24390243902439024,0.25,-0.0060975609756097615,,7.0,3.8181818181818183,21.0,2.0,0.75,4.0,0.47559421997476914
Mark Stoops,14.0,31.142857142857142,30.125,1.0178571428571423,0.49295774647887325,0.509090909090909,-0.01613316261203579,0.6666666666666666,27.0,3.642857142857143,7.0,5.0,,,0.44985754689927404
Kalen DeBoer,35.0,27.833333333333332,27.116666666666667,0.716666666666665,0.41420118343195267,0.4027777777777778,0.011423405654174879,0.275,40.0,3.7714285714285714,14.0,8.0,0.8888888888888888,9.0,0.419785166445349
Bryan Harsin,14.0,26.0,24.666666666666668,1.3333333333333321,0.2545454545454545,0.4142857142857143,-0.1597402597402598,,6.0,4.0,23.0,3.0,,,0.4098832054539735
Clay Helton,15.0,26.25,21.416666666666668,4.833333333333332,0.5454545454545454,0.5217391304347826,0.02371541501976282,0.7777777777777778,18.0,3.0,13.0,3.0,0.3333333333333333,3.0,0.40267177203615495
Mario Cristobal,28.0,28.76923076923077,28.181818181818183,0.5874125874125866,0.42028985507246375,0.4793388429752066,-0.05904898790274288,0.023809523809523808,42.0,4.678571428571429,17.0,7.0,0.5,6.0,0.3947775838429584
Jonathan Smith,17.0,29.1,29.333333333333332,-0.23333333333333073,0.42452830188679247,0.40625,0.01827830188679247,0.0,22.0,4.235294117647059,14.0,5.0,0.0,4.0,0.3824817218026741
Greg Schiano,22.0,26.714285714285715,28.833333333333332,-2.119047619047617,0.2661290322580645,0.3557692307692308,-0.08964019851116628,0.2631578947368421,19.0,3.8636363636363638,13.0,5.0,0.625,8.0,0.3623485026084004
Dave Aranda,31.0,25.61111111111111,26.791666666666664,-1.1805555555555536,0.3208955223880597,0.47435897435897434,-0.15346345197091465,0.42424242424242425,33.0,3.4193548387096775,19.0,6.0,0.8333333333333334,6.0,0.3565185049083236
Jedd Fisch,14.0,27.166666666666664,27.625,-0.4583333333333357,0.4266666666666667,0.5038759689922481,-0.07720930232558137,0.3684210526315789,19.0,3.9285714285714284,10.5,4.0,0.6666666666666666,3.0,0.3338106206631871
Brent Key,16.0,23.916666666666664,20.0,3.9166666666666643,0.41379310344827586,0.4666666666666667,-0.05287356321839082,0.21428571428571427,14.0,3.625,25.0,3.0,1.0,2.0,0.3183154186597161
Jim Mora,10.0,24.875,24.7,0.1750000000000007,0.45652173913043476,0.43859649122807015,0.017925247902364605,0.0,14.0,3.1,23.0,2.0,0.5,6.0,0.3032718761925528
Billy Napier,15.0,29.625,28.0,1.625,0.4307692307692308,0.38461538461538464,0.046153846153846156,0.2,20.0,3.1333333333333333,17.0,3.0,0.5,6.0,0.29484563754165855
