coach,n_big_drives,tempo_big,tempo_neutral,tempo_delta,pass_big,pass_neutral,pass_delta,starter_share_q4,n_q4_dropbacks,pts_drive_big,expansion_med,n_big_games,go4_rate,n_go4,hammer
Jedd Fisch,39.0,29.5,27.333333333333332,2.166666666666668,0.4470588235294118,0.4854014598540146,-0.03834263632460283,0.66,50.0,3.7435897435897436,10.0,13.0,0.4166666666666667,12.0,1.055860299833213
Curt Cignetti,100.0,29.25,27.333333333333332,1.9166666666666679,0.30045871559633025,0.4573002754820937,-0.15684155988576343,0.5833333333333334,72.0,4.16,14.0,26.0,0.75,20.0,1.0223379314608034
Jim Mora,33.0,26.0,27.4,-1.3999999999999986,0.40425531914893614,0.40458015267175573,-0.00032483352281958977,0.21212121212121213,33.0,3.303030303030303,13.5,8.0,0.6,10.0,0.9599505840609828
Gus Malzahn,68.0,24.875,24.666666666666668,0.20833333333333215,0.33214285714285713,0.377560106856634,-0.045417249713776864,0.42592592592592593,54.0,3.3676470588235294,11.0,15.0,0.5833333333333334,12.0,0.8407083711077664
Mack Brown,33.0,24.25,23.668181818181818,0.581818181818182,0.37272727272727274,0.4569640062597809,-0.08423673353250816,0.7419354838709677,31.0,3.0303030303030303,9.5,10.0,0.5454545454545454,11.0,0.8387264926918128
Lane Kiffin,86.0,22.428571428571427,21.125,1.303571428571427,0.4425770308123249,0.45159313725490197,-0.009016106442577054,0.4074074074074074,81.0,3.2209302325581395,12.0,20.0,0.8,10.0,0.8294111666138173
Clay Helton,26.0,25.6875,24.666666666666668,1.0208333333333321,0.5851063829787234,0.5570583262890956,0.028048056689627843,0.6896551724137931,29.0,2.6538461538461537,7.0,7.0,0.42857142857142855,7.0,0.7912111452274816
Greg Schiano,41.0,29.266666666666666,28.78333333333333,0.4833333333333343,0.24186046511627907,0.41563467492260064,-0.17377420980632158,0.5142857142857142,35.0,4.024390243902439,10.0,12.0,0.7142857142857143,14.0,0.7622360431286357
Mark Stoops,46.0,31.428571428571427,30.4,1.0285714285714285,0.39705882352941174,0.4098360655737705,-0.012777242044358761,0.5,62.0,3.282608695652174,7.0,17.0,0.75,12.0,0.7165921514161584
Dino Babers,26.0,23.833333333333336,26.25,-2.4166666666666643,0.2980769230769231,0.3801955990220049,-0.08211867594508182,,8.0,2.0,13.5,6.0,0.5714285714285714,7.0,0.6712750037206807
Mario Cristobal,73.0,29.5,28.13392857142857,1.3660714285714306,0.39759036144578314,0.48565279770444764,-0.0880624362586645,0.35714285714285715,84.0,3.7260273972602738,10.0,23.0,0.46153846153846156,13.0,0.6473551659353552
Jerry Kill,31.0,29.5,30.666666666666668,-1.1666666666666679,0.21875,0.40111940298507465,-0.18236940298507465,0.7,10.0,2.4193548387096775,14.0,7.0,0.25,4.0,0.6426811158748965
Mike Leach,29.0,26.375,26.0,0.375,0.7377049180327869,0.7197231833910035,0.01798173464178343,0.4626865671641791,67.0,2.8275862068965516,7.0,7.0,0.2222222222222222,9.0,0.6366582095021339
Jay Norvell,26.0,28.577380952380953,27.126984126984127,1.450396825396826,0.5959595959595959,0.4676898222940226,0.1282697736655733,0.37037037037037035,27.0,2.6538461538461537,3.5,8.0,0.05,20.0,0.5200582878840752
Brent Key,28.0,26.666666666666664,26.666666666666668,-3.552713678800501e-15,0.3867924528301887,0.39587073608617596,-0.009078283255987252,0.4444444444444444,27.0,2.6785714285714284,7.0,7.0,1.0,2.0,0.5132527869983117
Bob Chesney,49.0,32.6,26.708333333333336,5.891666666666666,0.27835051546391754,0.40064102564102566,-0.12229051017710812,0.782608695652174,23.0,2.9591836734693877,12.0,10.0,0.5,10.0,0.45940921308741256
Bronco Mendenhall,28.0,28.5,24.183333333333334,4.316666666666666,0.35353535353535354,0.5372945638432364,-0.18375921030788284,0.8,15.0,2.7142857142857144,13.5,6.0,0.3333333333333333,6.0,0.40906695612360916
Luke Fickell,51.0,26.9,25.75,1.1499999999999986,0.3858695652173913,0.47666411629686306,-0.09079455107947176,0.6341463414634146,41.0,2.6862745098039214,7.0,13.0,0.3888888888888889,18.0,0.4034757786465816
Clark Lea,32.0,28.375,30.333333333333332,-1.9583333333333321,0.4056603773584906,0.40132827324478176,0.004332104113708823,0.21428571428571427,14.0,2.65625,6.0,10.0,0.5,10.0,0.3973454945915113
Jimbo Fisher,45.0,28.666666666666668,27.25,1.4166666666666679,0.38341968911917096,0.4445797807551766,-0.061160091636005665,0.42857142857142855,56.0,2.488888888888889,11.0,10.0,0.5,8.0,0.3653846500488279
Brent Venables,68.0,26.96666666666667,21.857142857142858,5.109523809523811,0.37543859649122807,0.4493783303730018,-0.07393973388177372,0.6458333333333334,48.0,2.5,12.5,16.0,0.4666666666666667,15.0,0.3545489240931543
Matt Rhule,28.0,30.0,29.666666666666668,0.33333333333333215,0.4,0.423500611995104,-0.023500611995104004,0.3103448275862069,29.0,3.0714285714285716,4.5,8.0,0.4,5.0,0.3314963100167006
Marcus Freeman,80.0,31.0,28.30952380952381,2.69047619047619,0.34411764705882353,0.39268527430221367,-0.048567627243390143,0.323943661971831,71.0,3.325,7.0,29.0,0.7692307692307693,26.0,0.3147553073337175
Billy Napier,39.0,31.22222222222222,27.625,3.5972222222222214,0.3795180722891566,0.4497469269703543,-0.07022885468119766,0.3269230769230769,52.0,3.2051282051282053,10.5,12.0,0.5263157894736842,19.0,0.31377619110402577
Mike Houston,30.0,28.181818181818183,25.1,3.081818181818182,0.2878787878787879,0.4367816091954023,-0.14890282131661442,0.4,35.0,3.0,14.0,8.0,0.75,4.0,0.30729427897434036
Mike Norvell,67.0,30.625,26.6,4.024999999999999,0.27303754266211605,0.41434262948207173,-0.14130508681995568,0.1702127659574468,47.0,3.671641791044776,14.0,18.0,0.625,8.0,0.2679872866347485
Lincoln Riley,55.0,30.4,26.23611111111111,4.163888888888888,0.45652173913043476,0.5341614906832298,-0.07763975155279507,0.17391304347826086,69.0,3.709090909090909,10.0,17.0,0.4444444444444444,9.0,0.2549445333381602
Tyson Helton,65.0,27.0,23.58571428571429,3.414285714285711,0.5088967971530249,0.5910585141354372,-0.08216171698241226,0.4927536231884058,69.0,3.1384615384615384,6.5,22.0,0.5882352941176471,17.0,0.2495736898013688
Brian Kelly,57.0,29.625,26.708333333333336,2.9166666666666643,0.4185185185185185,0.5155440414507773,-0.09702552293225875,0.43859649122807015,57.0,3.192982456140351,7.0,16.0,0.5625,16.0,0.23455662266134958
Jim Harbaugh,79.0,31.825757575757574,29.25,2.5757575757575744,0.3163841807909605,0.38531073446327685,-0.06892655367231637,0.2261904761904762,84.0,3.2911392405063293,8.5,24.0,0.3333333333333333,21.0,0.22298047126211468
Jeff Monken,50.0,35.15384615384615,33.41428571428571,1.7395604395604423,0.08064516129032258,0.12663755458515283,-0.04599239329483025,0.07692307692307693,13.0,3.56,7.0,15.0,0.8076923076923077,26.0,0.2212676223707261
Nick Saban,73.0,28.857142857142858,26.428571428571427,2.4285714285714306,0.33819241982507287,0.4948216340621404,-0.15662921423706755,0.3088235294117647,68.0,3.2739726027397262,11.5,18.0,0.23529411764705882,17.0,0.22107554370039173
Josh Heupel,117.0,22.75,19.57777777777778,3.1722222222222207,0.3314917127071823,0.4839467501957713,-0.15245503748858902,0.14035087719298245,114.0,3.1452991452991452,17.0,27.0,0.5652173913043478,23.0,0.215731521863091
Ryan Day,140.0,30.5,26.666666666666668,3.833333333333332,0.3755795981452859,0.4899569583931133,-0.11437736024782741,0.34814814814814815,135.0,3.1285714285714286,11.0,35.0,0.5555555555555556,36.0,0.19050959186850988
Joey McGuire,65.0,26.354166666666664,23.0,3.3541666666666643,0.38461538461538464,0.5197792088316467,-0.1351638242162621,0.15384615384615385,39.0,2.953846153846154,17.0,15.0,0.3,10.0,0.19002945665395302
Dan Lanning,102.0,29.708333333333336,26.0,3.7083333333333357,0.3654708520179372,0.46830652790917693,-0.10283567589123971,0.4519230769230769,104.0,3.019607843137255,8.5,28.0,0.5925925925925926,27.0,0.17813493547529008
Neal Brown,33.0,28.833333333333332,28.333333333333332,0.5,0.33727810650887574,0.42714404662781014,-0.0898659401189344,0.11538461538461539,26.0,3.515151515151515,6.0,9.0,1.0,12.0,0.17027379598815112
Pat Narduzzi,68.0,26.7625,25.166666666666668,1.5958333333333314,0.4119601328903654,0.48822714681440443,-0.076267013924039,0.313953488372093,86.0,2.7941176470588234,8.0,18.0,0.5789473684210527,19.0,0.15601600854414713
Dabo Swinney,93.0,26.666666666666668,26.0,0.6666666666666679,0.4807692307692308,0.4749357326478149,0.00583349812141587,0.2796610169491525,118.0,2.225806451612903,7.0,22.0,0.6521739130434783,23.0,0.15025714162241727
Troy Calhoun,45.0,35.96363636363637,31.555555555555557,4.408080808080811,0.014354066985645933,0.09214285714285714,-0.0777887901572112,,1.0,3.088888888888889,7.0,16.0,0.84,25.0,0.14769559606962196
