school,coach,new_hc,hammer,tier
Miami (OH),Chuck Martin,False,-1.672,mercy
Texas Tech,Joey McGuire,False,0.19,mid
Utah State,Bronco Mendenhall,False,0.409,hammer
Army,Jeff Monken,False,0.221,mid
Colorado State,Jim Mora,True,0.96,hammer
Oklahoma State,Eric Morris,True,-0.252,mercy
UNLV,Dan Mullen,False,-0.613,mercy
James Madison,Billy Napier,True,0.314,hammer
Pittsburgh,Pat Narduzzi,False,0.156,mid
Maryland,Mike Locksley,False,-0.592,mercy
San Diego State,Sean Lewis,False,-0.418,mercy
Kansas,Lance Leipold,False,-0.243,mid
Vanderbilt,Clark Lea,False,0.397,hammer
SMU,Rhett Lashlee,False,-0.248,mid
Oregon,Dan Lanning,False,0.178,mid
Texas State,G.J. Kinne,False,-0.142,mid
LSU,Lane Kiffin,True,0.829,hammer
Navy,Brian Newberry,False,-0.133,mid
Florida State,Mike Norvell,False,0.268,mid
Charlotte,Tim Albin,False,-1.108,mercy
Clemson,Dabo Swinney,False,0.15,mid
Arkansas,Ryan Silverfield,True,0.144,mid
BYU,Kalani Sitake,False,-0.802,mercy
Georgia,Kirby Smart,False,0.047,mid
Florida,Jon Sumrall,True,0.094,mid
UTSA,Jeff Traylor,False,-1.062,mercy
Oklahoma,Brent Venables,False,0.355,hammer
Michigan,Kyle Whittingham,True,-0.25,mid
Rutgers,Greg Schiano,False,0.762,hammer
Cincinnati,Scott Satterfield,False,-0.089,mid
Texas,Steve Sarkisian,False,0.045,mid
West Virginia,Rich Rodriguez,False,-0.011,mid
USC,Lincoln Riley,False,0.255,mid
Nebraska,Matt Rhule,False,0.331,hammer
Old Dominion,Ricky Rahne,False,-0.617,mercy
Purdue,Barry Odom,False,0.032,mid
Georgia Tech,Brent Key,False,0.513,hammer
Liberty,Jamey Chadwell,False,-0.3,mercy
UCLA,Bob Chesney,True,0.459,hammer
Indiana,Curt Cignetti,False,1.022,hammer
Miami,Mario Cristobal,False,0.647,hammer
Boise State,Spencer Danielson,False,-0.39,mercy
Ohio State,Ryan Day,False,0.191,mid
Alabama,Kalen DeBoer,False,0.072,mid
Louisiana,Michael Desormeaux,False,-0.062,mid
UConn,Jason Candle,True,-0.291,mercy
Penn State,Matt Campbell,True,0.121,mid
Air Force,Troy Calhoun,False,0.148,mid
North Texas,Neal Brown,True,0.17,mid
Louisville,Jeff Brohm,False,-0.252,mid
Arizona,Brent Brennan,False,-0.361,mercy
Illinois,Bret Bielema,False,-0.629,mercy
South Carolina,Shane Beamer,False,-0.121,mid
Baylor,Dave Aranda,False,0.142,mid
Wake Forest,Jake Dickert,False,-0.068,mid
NC State,Dave Doeren,False,-0.455,mercy
Memphis,Charles Huff,True,-0.198,mid
Tennessee,Josh Heupel,False,0.216,mid
Western Kentucky,Tyson Helton,False,0.25,mid
Georgia Southern,Clay Helton,False,0.791,hammer
Auburn,Alex Golesh,True,-0.153,mid
Houston,Willie Fritz,False,-0.207,mid
Notre Dame,Marcus Freeman,False,0.315,hammer
Virginia Tech,James Franklin,True,-0.095,mid
Minnesota,P.J. Fleck,False,-0.226,mid
Washington,Jedd Fisch,False,1.056,hammer
Wisconsin,Luke Fickell,False,0.403,hammer
Iowa,Kirk Ferentz,False,-0.686,mercy
Texas A&M,Mike Elko,False,-0.652,mercy
TCU,Sonny Dykes,False,-0.738,mercy
Missouri,Eli Drinkwitz,False,0.105,mid
