team_a,team_b,name
Alabama,Auburn,Iron Bowl
Alabama,Tennessee,Third Saturday in October
Alabama,LSU,Alabama-LSU
Ole Miss,Mississippi State,Egg Bowl
Ole Miss,LSU,Magnolia Bowl
Georgia,Florida,World's Largest Outdoor Cocktail Party
Georgia,Auburn,Deep South's Oldest Rivalry
Georgia,Georgia Tech,Clean Old-Fashioned Hate
Florida,Florida State,Florida-Florida State
Florida,Tennessee,Florida-Tennessee
Texas,Oklahoma,Red River Rivalry
Texas,Texas A&M,Lone Star Showdown
Texas A&M,LSU,Texas A&M-LSU
Oklahoma,Oklahoma State,Bedlam
Michigan,Ohio State,The Game
Michigan,Michigan State,Paul Bunyan Trophy
Ohio State,Penn State,Ohio State-Penn State
Penn State,Michigan State,Land Grant Trophy
Notre Dame,USC,Notre Dame-USC
Notre Dame,Michigan,Notre Dame-Michigan
Notre Dame,Stanford,Notre Dame-Stanford
Notre Dame,Navy,Notre Dame-Navy
USC,UCLA,Victory Bell
Oregon,Oregon State,Civil War
Oregon,Washington,Oregon-Washington
Washington,Washington State,Apple Cup
Stanford,California,Big Game
Arizona,Arizona State,Territorial Cup
Utah,BYU,Holy War
Colorado,Colorado State,Rocky Mountain Showdown
Colorado,Nebraska,Colorado-Nebraska
Iowa,Iowa State,Cy-Hawk
Iowa,Minnesota,Floyd of Rosedale
Iowa,Nebraska,Heroes Game
Iowa,Wisconsin,Heartland Trophy
Wisconsin,Minnesota,Paul Bunyan's Axe
Minnesota,Michigan,Little Brown Jug
Indiana,Purdue,Old Oaken Bucket
Illinois,Northwestern,Land of Lincoln
Kansas,Kansas State,Sunflower Showdown
Kansas,Missouri,Border War
Missouri,Arkansas,Battle Line Rivalry
Arkansas,LSU,Golden Boot
Arkansas,Texas,Arkansas-Texas
Clemson,South Carolina,Palmetto Bowl
Clemson,Florida State,Clemson-Florida State
Clemson,Georgia Tech,Clemson-Georgia Tech
Florida State,Miami,Florida State-Miami
Miami,Virginia Tech,Miami-Virginia Tech
Virginia,Virginia Tech,Commonwealth Cup
North Carolina,NC State,Carolina-State
North Carolina,Duke,Victory Bell (Tobacco Road)
Duke,Wake Forest,Duke-Wake Forest
Pittsburgh,West Virginia,Backyard Brawl
Pittsburgh,Penn State,Pittsburgh-Penn State
Louisville,Kentucky,Governor's Cup
Kentucky,Tennessee,Kentucky-Tennessee
Tennessee,Vanderbilt,Tennessee-Vanderbilt
Auburn,Georgia Tech,Auburn-Georgia Tech
Texas Tech,Texas,Texas Tech-Texas
Baylor,TCU,Revivalry
TCU,SMU,Iron Skillet
Houston,Rice,Bayou Bucket
Boise State,Fresno State,Milk Can
Boise State,Nevada,Boise State-Nevada
Nevada,UNLV,Fremont Cannon
San Diego State,Fresno State,Old Oil Can
Utah State,BYU,Utah State-BYU
Army,Navy,Army-Navy
Air Force,Navy,Air Force-Navy
Air Force,Army,Air Force-Army
Cincinnati,Louisville,Keg of Nails
Cincinnati,Miami (OH),Victory Bell (Ohio)
Ohio,Miami (OH),Battle of the Bricks
Toledo,Bowling Green,Battle of I-75
Western Michigan,Central Michigan,Western-Central
Memphis,Tulane,Memphis-Tulane
Southern Miss,Memphis,Southern Miss-Memphis
Marshall,West Virginia,Friends of Coal Bowl
Appalachian State,Georgia Southern,Deeper Than Hate
Troy,South Alabama,Battle for the Belt
Louisiana,Louisiana Monroe,Battle on the Bayou
UTEP,New Mexico State,Battle of I-10
Wyoming,Colorado State,Border War (Bronze Boot)
Hawai'i,San Diego State,Hawai'i-San Diego State
Temple,Villanova,Temple-Villanova
Michigan State,Notre Dame,Megaphone Trophy
Tulsa,Oklahoma State,Tulsa-Oklahoma State
Iowa State,Kansas State,Farmageddon
Nebraska,Wisconsin,Freedom Trophy
Purdue,Illinois,Cannon
Northwestern,Michigan State,Northwestern-Michigan State
Alabama,Georgia,Alabama-Georgia
LSU,Florida,LSU-Florida
Mississippi State,Auburn,Mississippi State-Auburn
South Carolina,Georgia,South Carolina-Georgia
Oklahoma State,Texas,Oklahoma State-Texas
West Virginia,Virginia Tech,Black Diamond Trophy
