season,game_id,team,implied,anch_edge,fund_edge,tt_under,tt_over,pts,bet,homeTeam,awayTeam
2025,401754516,Stanford,24.5,5.229982451920456,7.670531769887276,0,1,20.0,OVER,Hawai'i,Stanford
2025,401762522,Boise State,33.75,-4.477400411142778,-8.023365726679828,1,0,7.0,UNDER,South Florida,Boise State
2025,401756848,Jacksonville State,16.0,2.6833508335872445,6.263808249339888,0,1,10.0,OVER,UCF,Jacksonville State
2025,401754373,NC State,37.25,-6.764395290692349,-8.937085916479898,1,0,24.0,UNDER,NC State,East Carolina
2025,401762789,Akron,21.5,2.2741519649830586,8.736478240232866,0,1,0.0,OVER,Akron,Wyoming
2025,401752793,Buffalo,13.25,4.858236687334614,8.754954570476716,0,1,10.0,OVER,Minnesota,Buffalo
2025,401762791,Miami (OH),11.5,4.132222868973784,10.929311373380663,0,1,0.0,OVER,Wisconsin,Miami (OH)
2025,401752802,Western Michigan,14.25,4.0473813417137166,8.109103886857628,0,1,6.0,OVER,Michigan State,Western Michigan
2025,401760358,Central Michigan,18.5,3.185243379465767,6.306487809911985,0,1,16.0,OVER,San José State,Central Michigan
2025,401752673,Mississippi State,37.0,-6.989034991174492,-9.919033825798412,1,0,34.0,UNDER,Southern Miss,Mississippi State
2025,401752797,Maryland,36.5,-4.2730184502950905,-6.680726815253212,1,0,39.0,UNDER,Maryland,Florida Atlantic
2025,401752797,Florida Atlantic,23.0,-3.502471083187867,0.21122921398966454,1,0,7.0,UNDER,Maryland,Florida Atlantic
2025,401752807,Nevada,5.5,4.478893379437741,8.284916288464732,0,1,11.0,OVER,Penn State,Nevada
2025,401752669,Marshall,6.5,2.9952299048994337,7.268278527497024,0,1,7.0,OVER,Georgia,Marshall
2025,401752678,Texas A&M,41.0,-7.821809360995644,-10.612444277887388,1,0,42.0,UNDER,Texas A&M,UTSA
2025,401752671,LSU,25.0,-3.808801481186986,-6.64710992652358,1,0,17.0,UNDER,Clemson,LSU
2025,401752672,Georgia State,14.0,-3.6561707581097878,0.29532643164384,1,0,7.0,UNDER,Ole Miss,Georgia State
2025,401761594,Texas State,35.25,-3.1264651179890777,-4.8074995011127655,1,0,52.0,UNDER,Texas State,Eastern Michigan
2025,401752805,Washington,37.25,-4.959336955149709,-6.704228785856401,1,0,38.0,UNDER,Washington,Colorado State
2025,401752805,Colorado State,14.75,3.9469791136423638,8.228579854300836,0,1,21.0,OVER,Washington,Colorado State
2025,401754522,Miami,24.0,3.108110753668406,6.359866581212831,0,1,27.0,OVER,Miami,Notre Dame
2025,401754522,Notre Dame,26.5,-6.1076946485609795,-8.531337364882699,1,0,24.0,UNDER,Miami,Notre Dame
2025,401752811,Penn State,47.625,-3.0373712536252313,-4.414686535847373,1,0,34.0,UNDER,Penn State,Florida International
2025,401752811,Florida International,5.875,7.22969217757859,12.867602687395713,0,1,0.0,OVER,Penn State,Florida International
2025,401754618,Syracuse,32.375,-5.080075190023347,-7.922398420482644,1,0,27.0,UNDER,Syracuse,UConn
2025,401756885,Texas Tech,53.875,-5.646990780546382,-11.387097623309273,1,0,62.0,UNDER,Texas Tech,Kent State
2025,401756885,Kent State,5.875,4.391741258444851,7.692779946758536,0,1,14.0,OVER,Texas Tech,Kent State
2025,401754524,NC State,27.75,-5.656801731347631,-7.252799447593691,1,0,35.0,UNDER,NC State,Virginia
2025,401752693,Texas,44.625,-4.795975454955219,-7.899383392611561,1,0,38.0,UNDER,Texas,San José State
2025,401752825,Illinois,25.875,3.8336198344590535,6.225166449250821,0,1,45.0,OVER,Duke,Illinois
2025,401752812,Indiana,43.5,-6.351556883203116,-5.4204619624459625,1,0,56.0,UNDER,Indiana,Kennesaw State
2025,401757227,Liberty,28.375,-4.802955871295936,-4.229727308136464,1,0,24.0,UNDER,Jacksonville State,Liberty
