feature,imp,std
off_predictive_pr,0.032189808722138905,0.008879313891241131
off_backup_qb,0.014314633947293265,0.011206147919925736
def_predictive_pr,0.012339356046616446,0.0031949592914017914
off_rush_epa_last3,0.007600085722262717,0.004049738854755496
off_off_stacked_box_s2d,0.005442703198099097,0.002148011341416984
is_home,0.005341268772286667,0.005139788626291492
def_injury_severity,0.0050541573702906906,0.0025380856370047396
def_l3_scoring_margin,0.004545355617939784,0.0026970025233222015
off_dline_listed,0.004506850131054963,0.0019641646501903937
off_last5_pr,0.0037988605152166955,0.0029583627564442583
def_def_dib_s2d,0.0035856654486877914,0.0009621075911478935
def_off_aggressiveness_s2d,0.0030088979145065807,0.001024843054640742
def_def_pass_epa_last3,0.002992755512924128,0.0011652655532884883
off_cover_streak,0.002935546881144191,0.002370358101593498
def_dline_listed,0.0028759031219541377,0.0014978652117126423
def_starters_out,0.002514315162731018,0.0020032509689982287
def_l3_sec_per_play,0.002444979511156342,0.0016661275097674222
def_rush_epa_last3,0.0022201093184953,0.002515811435439698
sep_rush_sr,0.002188577900504951,0.0017004140180485018
anet_ed_pass,0.002184482082690553,0.0015892416279095502
def_def_rush_epa_s2d,0.002153789512086934,0.0012715784004314057
def_rush_epa_s2d,0.002134069524921878,0.0017185371885017385
off_def_rush_epa_s2d,0.002047064341555216,0.001498494258982256
off_off_non_pa_epa_s2d,0.002031201056393783,0.0007849154142817686
def_def_rush_epa_last3,0.0019527180601482507,0.00409304004804484
sep_pass_epa,0.0019413303045523246,0.001541236786938925
proe_prod,0.0018215961254997692,0.0012617202475765615
def_def_pass_epa_s2d,0.0017892224432226821,0.00045182479473400433
off_off_rush_success_rate_last3,0.0017343583050702272,0.0005269922121050004
to_rate_sum,0.0016372767967130163,0.0008584691581850477
off_def_td_pct_per_drive_allowed_s2d,0.001606876246255684,0.0008096591175673565
anet_expl_rush,0.0015583935464068333,0.0009928771025764056
sep_ed_rush,0.001533133677368137,0.0009304603255208485
def_3rddown_conv,0.0015330522884542176,0.0012343134879636555
off_def_pass_epa_s2d,0.0015081245669401832,0.00029338965162968605
sep_tdpd,0.0014886493319110406,0.00033260753184269565
def_off_shotgun_rate_s2d,0.0014814322470611207,0.0006914865868088329
off_l3_to_margin,0.0014108700326925794,0.0013285442254925858
off_def_early_down_pass_epa_allowed_s2d,0.001389419674353487,0.000750771808886768
sep_ppd,0.001378706104805749,0.000829403953773745
def_pass_edge_last3,0.001372892585254526,0.001107824429768289
env_pass_sr,0.0013485155198952326,0.0009799813267630279
hnet_rush_epa,0.0013414503178458491,0.0006304878236018881
off_injury_severity,0.001309231607751382,0.000998672161277092
env_tdpd,0.0013038500763510763,0.0010086268395802951
hnet_pass_epa,0.0012960478528109888,0.001298996295621599
ref_fav_cover_pct,0.001282565271033298,0.0006437954076159994
def_opps_redzone_scoring_perc,0.0012577530017930049,0.0010849322594376682
off_rush_edge_last3,0.0012519539962684068,0.0017006032855311358
def_def_explosive_rush_allowed_s2d,0.0012446840375118563,0.0004180077526321491
def_last5_pr,0.001193608126632073,0.002452552711667084
off_def_rush_epa_allowed_neutral_s2d,0.0011849976453118805,0.0006108227551583058
off_off_explosive_pass_rate_s2d,0.0011744431581206082,0.00044212089640499245
off_off_passer_rating_s2d,0.0011537628830126767,0.0006230332408648881
env_ppd,0.0011412828199554692,0.0013939849382643438
proe_sum,0.0011262888937925374,0.0008920422907061593
def_rush_edge_s2d,0.001108325310710545,0.0005064291723353442
def_off_oop_rate_s2d,0.0010906082239959592,0.001616913940125621
off_last_points,0.0010851209354121095,0.0005231632832807762
def_off_early_down_pass_epa_s2d,0.0010430851189543234,0.0008321685395626468
off_off_shotgun_rate_s2d,0.00103607388125444,0.0011759559979315512
def_def_pressure_rate_s2d,0.0010207925368199478,0.0005424003274359366
def_off_motion_rate_s2d,0.0009828295070739123,0.0010812741428081914
expl_pass_sum,0.000981293677476014,0.000552229808331354
off_off_throwaway_rate_s2d,0.0009702898857180786,0.0005572142074689707
off_off_pa_epa_s2d,0.000966243131546718,8.140521919650801e-05
env_rush_epa,0.0009573730533408486,0.0012678684663148963
off_rush_epa_s2d,0.0009151882222944163,0.0012886156595478015
def_def_td_pct_per_drive_allowed_s2d,0.0009143822898730836,0.0009309325258434932
def_off_rush_sr_s2d,0.0008980876047774755,0.000823697226093857
def_def_pa_epa_allowed_s2d,0.0008965198822539211,0.002639483884771738
kick_hour_et,0.0008786483925167232,0.00022142726091858755
off_off_3andout_s2d,0.0008608555635234216,0.0005390573721007442
hnet_3out,0.0008138650581393181,0.0002683441183189004
off_opps_redzone_scoring_perc,0.0008100592573033527,0.00045291162213052495
off_consecutive_home_away,0.0007829104683423794,0.0011535553494724097
def_off_pass_success_rate_last3,0.0007614552476223668,0.0003994603811245085
def_off_early_down_rush_epa_s2d,0.0007595038150212785,0.0004975561715882821
def_pass_epa_s2d,0.0007373020607986724,0.00037158597654406346
off_def_blitz_rate_s2d,0.0007315310335320513,0.0005341687364814325
off_win_streak,0.0007166507857616855,0.0014644964258330388
off_def_dib_s2d,0.0007163657691726666,0.0006307641947559437
env_expl_rush,0.000712786848653213,0.0007249845017708319
def_off_td_pct_per_drive_s2d,0.0007000325472700464,0.0002110352983402268
env_ed_pass,0.0006523267532207111,0.0003892867523805899
off_off_non_motion_epa_s2d,0.0006226452377071867,0.0002813963483709489
off_off_intended_ay_s2d,0.0005779785507251667,0.0010481816220921337
off_off_no_huddle_s2d,0.0005765844726918435,0.0004925865776279519
def_off_ftn_no_huddle_s2d,0.0005531024747016611,0.0008993636380198905
def_off_non_pa_epa_s2d,0.0005248695818519611,0.0006950213560692252
def_off_pa_rate_s2d,0.0005175730894905195,0.0004610354002172314
def_pass_epa_last3,0.0005100628999587853,0.0008656121871038598
def_win_streak,0.0004991076946173623,0.00096064769657967
def_off_ryoe_last3,0.0004829944512288797,0.00126178221455606
def_l3_to_margin,0.00046679561187381593,0.0007982829365437223
off_l3_sec_per_play,0.00043865071925575094,0.0007244784690886955
hnet_expl_rush,0.0004283359307490686,0.0006800354818971788
sep_rush_epa,0.0004282861438483332,0.0003661873665057785
hnet_pass_sr,0.0003987581053143563,0.000502745311850282
off_def_rush_success_allowed_s2d,0.00039491861147906705,0.00025283742920157305
sep_pass_sr,0.0003943318629535231,0.0002357519662795303
off_def_explosive_pass_allowed_s2d,0.0003940661424397973,0.00029413540062409385
off_off_proe_s2d,0.0003881223670421763,0.00044857957607185916
off_def_early_down_rush_epa_allowed_s2d,0.00038324535345506393,0.0005797289745616206
env_ed_rush,0.00036060269459885496,0.0002663047745708181
def_off_pass_epa_neutral_s2d,0.0003600896840664669,0.0005891551496027781
off_3rddown_conv,0.0003526878176627557,0.0006268580958214836
def_def_pts_per_drive_allowed_s2d,0.00033160951771522563,0.00019037471442416004
def_secondary_listed,0.0003210181966128545,0.00018393932276526516
def_off_non_motion_epa_s2d,0.00031400691803948886,0.0003157859134441157
off_off_rz_td_rate_s2d,0.00031371083529672104,0.00021976343897252962
off_off_rpo_rate_s2d,0.00030637147647289976,0.00043971362571957435
off_starters_out,0.0003017673758046069,0.0001628972750507934
def_off_rz_td_rate_s2d,0.0002966308597486256,0.0006193789043164898
off_off_aggressiveness_s2d,0.0002952037413159747,0.0004903552288967875
hpass_x_adeppass,0.0002777227603237398,0.00034314906689035356
exp_home_ppd,0.00026973828835725745,0.00043227661005462383
off_off_screen_rate_s2d,0.0002633889968360004,0.0004277847610593713
off_off_td_pct_per_drive_s2d,0.00026219936851363813,0.0001272054069401741
def_last_allowed_points,0.00026147523820692077,0.000760044843410644
off_off_pass_epa_neutral_s2d,0.00025240459752233767,0.0017497518372271718
sep_expl_pass,0.0002484095709302192,0.0010669608727580605
def_off_three_and_out_rate_s2d,0.0002480325966778274,0.000152876793769477
off_off_ppd_s2d,0.00023356797732478895,0.0006121804669987746
off_off_drive_to_rate_s2d,0.00021942613012564393,0.0005994512748098349
off_off_motion_rate_s2d,0.00021138864412317826,0.0011869198767135408
def_def_rush_success_allowed_s2d,0.00020925816377801443,0.00012515763585563007
def_off_td_per_drive_s2d,0.0002056386193659554,0.00015626667906048824
def_off_no_huddle_rate_s2d,0.00020387280405076424,0.00022984829936184133
def_off_drives_seen,0.00019746384380190385,3.536149811320841e-05
off_off_pass_success_rate_last3,0.00018794044033458855,0.00032231234242214636
def_qb_out_or_doubtful,0.00017609309378145975,0.00031095968469764486
off_off_explosive_rush_rate_s2d,0.00016932651796619513,0.00028141587611080535
def_days_between_games,0.0001647593448499629,0.00030547737091077634
off_off_cpoe_s2d,0.00016410590015878413,6.821918877282649e-05
temp_f,0.0001611856969333969,0.00010599071978825093
def_off_passer_rating_s2d,0.00015957837963382905,0.00037742321299177894
off_off_ryoe_last3,0.0001573210122108204,0.0016778157825078604
ref_under_pct,0.00015254845681202944,0.0009964468450474797
off_off_rush_epa_neutral_s2d,0.00015144613744062508,0.0016750566131676933
def_off_3andout_s2d,0.00014817869174008625,7.050450093015371e-05
international_game,0.00014437575144450322,7.492367459725523e-05
hnet_ed_rush,0.00013092191640859952,0.0009815650961149177
def_oline_listed,0.000127621620482099,0.0002811114244097101
def_off_rush_success_rate_s2d,0.00012339755670942587,7.14097124768598e-05
def_def_pass_success_allowed_s2d,0.0001232475830481139,0.0006089722572456145
off_off_early_down_rush_epa_s2d,0.00011806525258912792,0.00032707399610391245
nv_wind,0.00011408548418276876,0.002550835043827864
def_off_drive_to_rate_s2d,0.00010008472762628174,0.0008945291208130693
off_off_no_huddle_rate_s2d,9.648505396848694e-05,0.0002376566578603412
off_off_rush_sr_s2d,9.36574097941012e-05,0.00021681162080106121
off_def_three_and_out_forced_s2d,9.273667499165583e-05,0.0028712313612884385
