feature,imp,std
away_def_explosive_rush_allowed_s2d,0.019718309859154938,0.017478413585902616
away_rush_epa_s2d,0.015492957746478886,0.016303995637732716
home_rush_epa_last3,0.012676056338028152,0.0028169014084507005
anet_3out,0.009859154929577462,0.009552577441021505
away_off_aggressiveness_s2d,0.008450704225352101,0.005269939981371741
away_off_ftn_no_huddle_s2d,0.008450704225352101,0.0028169014084507005
away_off_motion_epa_s2d,0.008450704225352101,0.0028169014084507005
env_rush_epa,0.007042253521126751,0.007714402218382611
home_redzone_scoring_perc,0.005633802816901412,0.009342605043254654
env_expl_pass,0.005633802816901401,0.0028169014084507005
conference_game,0.005633802816901401,0.0028169014084507005
away_rush_edge_s2d,0.005633802816901401,0.00526993998137174
home_last_allowed_points,0.004225352112676051,0.003449985553215739
home_def_blitz_rate_s2d,0.004225352112676051,0.003449985553215739
home_off_ryoe_last3,0.004225352112676051,0.007181717624778561
away_last_allowed_points,0.004225352112676051,0.003449985553215739
away_off_ryoe_s2d,0.004225352112676051,0.007181717624778561
away_off_rush_sr_s2d,0.004225352112676051,0.00718171762477856
sep_tdpd,0.004225352112676051,0.005633802816901401
temperature,0.004225352112676051,0.003449985553215739
away_rush_edge_last3,0.0028169014084507005,0.003449985553215739
home_opp_3rddown_conv,0.0028169014084507005,0.007181717624778561
away_off_screen_rate_s2d,0.0028169014084507005,0.003449985553215739
home_predictive_pr,0.0028169014084507005,0.007181717624778561
away_pass_edge_s2d,0.0028169014084507005,0.003449985553215739
hnet_ed_rush,0.0028169014084507005,0.003449985553215739
home_def_ed_pass_epa_allowed_s2d,0.0028169014084507005,0.005633802816901401
home_off_rz_td_rate_s2d,0.0028169014084507005,0.003449985553215739
home_def_rush_sr_allowed_s2d,0.0028169014084507005,0.003449985553215739
away_points_per_play,0.0014084507042253502,0.00526993998137174
proe_prod,0.0014084507042253502,0.006899971106431478
home_off_plays_per_game_s2d,0.0014084507042253502,0.0028169014084507005
home_team_id,0.0014084507042253502,0.00526993998137174
away_def_rush_sr_allowed_s2d,0.0014084507042253502,0.005269939981371741
home_starters_listed,0.0014084507042253502,0.0028169014084507005
home_def_rush_epa_last3,0.0014084507042253502,0.0028169014084507005
home_l3_to_margin,0.0014084507042253502,0.0028169014084507005
home_off_pass_success_rate_s2d,0.0,0.0
