season,week,home_ab,away_ab,open_spread,pred_margin,actual_margin,side,tier,p_cal,label,model_agrees,teased_line,win,push
2024,4,BAL,BUF,-1.75,-1.8871536598128156,25,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-7.75,0.0,False
2024,4,CAR,CIN,7.0,-0.807408129891715,-10,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,1.0,1.0,False
2024,4,CHI,LAR,-3.0,7.12816900886821,6,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,1.0,False
2024,4,GB,MIN,-2.5,2.417358215694331,-2,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.5,1.0,False
2024,4,IND,PIT,-1.0,0.6571015042987177,3,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.0,1.0,False
2024,4,LAC,KC,4.25,-6.313370319949026,-7,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),False,10.25,1.0,False
2024,4,LV,CLE,1.5,-2.465691888000097,4,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],False,7.5,1.0,False
2024,4,MIA,TEN,-1.5,4.757895970298849,-19,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-7.5,1.0,False
2024,4,NYG,DAL,6.5,-6.147518580444042,-5,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.5,1.0,False
2024,4,TB,PHI,2.25,2.680168821699803,17,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,8.25,1.0,False
2024,5,ATL,TB,-3.0,-2.828706490791104,6,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),True,-9.0,1.0,False
2024,5,CHI,CAR,-3.5,4.782113888762942,26,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.5,0.0,False
2024,5,CIN,BAL,1.0,-9.12969067356048,-3,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,7.0,1.0,False
2024,5,DEN,LV,-1.5,3.7584179556939343,16,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-7.5,0.0,False
2024,5,HOU,BUF,0.25,-4.233329777823929,3,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,6.25,1.0,False
2024,5,JAX,IND,-2.5,4.613247148423052,3,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-8.5,1.0,False
2024,5,KC,NO,-6.5,4.1365279120656115,13,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-0.5,1.0,False
2024,5,MIN,NYJ,1.0,6.01047504616158,6,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,7.0,1.0,False
2024,5,PIT,DAL,0.0,-2.4658989010809607,-3,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,6.0,1.0,False
2024,5,SF,ARI,-7.0,7.779466032281255,-1,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-1.0,0.0,False
2024,5,SEA,NYG,-6.0,10.387180349116017,-9,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,0.0,0.0,False
2024,5,WAS,CLE,-1.0,7.401339769594092,21,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,5.0,1.0,False
2024,6,BAL,WAS,-7.0,4.163436507858521,7,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-1.0,1.0,False
2024,6,CHI,JAX,-1.0,-2.2734364297091907,19,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.0,1.0,False
2024,6,DEN,LAC,2.5,-4.867890047907993,-7,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],False,8.5,1.0,False
2024,6,NE,HOU,6.5,-2.622586431635687,-20,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.5,1.0,False
2024,6,NO,TB,-2.5,-1.520433969854168,-24,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.5,1.0,False
2024,6,NYG,CIN,4.5,-4.9615843376041555,-10,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),False,10.5,1.0,False
2024,6,NYJ,BUF,1.5,0.46142072283155633,-3,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,7.5,1.0,False
2024,6,PHI,CLE,-6.5,7.599069476933969,4,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-0.5,1.0,False
2024,6,TEN,IND,1.0,4.1845059036463415,-3,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,7.0,1.0,False
2024,7,ARI,LAC,-0.25,2.069056823776976,2,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,5.75,1.0,False
2024,7,ATL,SEA,-2.5,-1.7064919544088648,-20,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.5,1.0,False
2024,7,CLE,CIN,4.5,-1.8335893464000352,-7,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),True,10.5,1.0,False
2024,7,GB,HOU,-2.5,3.336496528925558,2,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-8.5,1.0,False
2024,7,MIN,DET,-1.5,4.0508875699978555,-2,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-7.5,1.0,False
2024,7,NO,DEN,1.0,1.9774970869636992,-23,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,7.0,0.0,False
2024,7,NYG,PHI,4.0,-4.876750808089695,-25,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),False,10.0,0.0,False
2024,7,SF,KC,-1.5,8.13776402941824,-10,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-7.5,1.0,False
2024,7,TB,BAL,4.5,-4.545187608020995,-10,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),False,10.5,1.0,False
2024,8,CIN,PHI,-2.5,4.9080808110322875,-20,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-8.5,1.0,False
2024,8,HOU,IND,-6.0,6.7541670102981,3,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,0.0,1.0,False
2024,8,JAX,GB,4.0,-1.742612548290736,-3,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),True,10.0,1.0,False
2024,8,LAC,NO,-7.0,8.118018222434134,18,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-1.0,1.0,False
2024,8,MIA,ARI,-3.0,1.4157660686230547,-1,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),True,-9.0,1.0,False
2024,8,NE,NYJ,7.0,-5.3811483915650165,3,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,1.0,0.0,False
2024,8,SF,DAL,-7.0,1.6551617633136182,6,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-1.0,1.0,False
2024,8,TB,ATL,-2.0,-0.8608055537953723,-5,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.0,1.0,False
2024,8,WAS,CHI,-1.5,2.1808872386452918,3,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-7.5,1.0,False
2024,9,ARI,CHI,1.5,-0.7153634749882972,20,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,7.5,1.0,False
2024,9,ATL,DAL,-2.0,-0.18615786288042957,6,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.0,1.0,False
2024,9,CAR,NO,4.5,-7.808300466712084,1,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),False,10.5,1.0,False
2024,9,GB,DET,0.0,-3.6282319080863386,-10,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,6.0,0.0,False
2024,9,MIN,IND,-7.0,8.71493898314237,8,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-1.0,1.0,False
2024,9,NYJ,HOU,-1.0,-0.4833793866160889,8,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.0,1.0,False
