feature,n,pearson,spearman,q1_mean,q4_mean,q4_minus_q1
def_pass_epa_s2d,3428,-0.21383497204506438,-0.2062590924149052,2.5973773904916455,-2.619050652788068,-5.216428043279714
def_pass_epa_last3,3428,-0.13101804122207716,-0.12609917144784416,1.5580174917105167,-1.740194004063892,-3.2982114957744084
def_motion_epa_allowed_s2d,1764,-0.1276838939485246,-0.13175600231720766,1.829062925458589,-1.4939027997701468,-3.3229657252287357
cv_against,3428,0.12315643334343622,0.10369346569862385,-1.014571862077606,1.654848790876622,2.669420652954228
def_pts_per_drive_allowed_s2d,3428,-0.11872733988854763,-0.10457684163458009,1.2444080192786893,-1.2381991557292122,-2.4826071750079013
def_ppd_allowed_s2d,3428,-0.11838803696519629,-0.10403997382299104,1.2333422861009375,-1.2271334225514605,-2.460475708652398
def_td_pct_per_drive_allowed_s2d,3428,-0.11821734745902404,-0.10284501441986899,1.1195897851722292,-1.390489374503738,-2.5100791596759673
def_td_per_drive_allowed_s2d,3428,-0.11794705584570847,-0.10240673524200931,1.1224714535329903,-1.390489374503738,-2.5129608280367286
def_pass_sr_allowed_s2d,3428,-0.09602439060746532,-0.0770018930209608,0.8459182850331954,-0.6755772933325941,-1.5214955783657895
def_explosive_pass_allowed_s2d,3428,-0.09586662489468965,-0.08362795492737993,1.1124316265685739,-0.9235343801555949,-2.035966006724169
def_pass_success_allowed_s2d,3428,-0.09577232582409208,-0.076597741202091,0.8532535984945301,-0.6755772933325941,-1.5288308918271243
def_ed_pass_epa_allowed_s2d,3428,-0.09438613074364315,-0.08081339606162082,1.2343380366411874,-1.2287659871215981,-2.4631040237627855
def_early_down_pass_epa_allowed_s2d,3428,-0.09430442999347896,-0.08071458247157462,1.2228444543774768,-1.2287659871215981,-2.451610441499075
def_pass_epa_allowed_neutral_s2d,3428,-0.0864495966449755,-0.07841268078812991,1.3487820721829669,-0.865058286638038,-2.2138403588210047
def_rush_epa_s2d,3428,-0.07796201028490073,-0.07421158527155844,1.3635322048784664,-0.8424807188599541,-2.2060129237384203
def_rush_epa_last3,3428,-0.053409166338898376,-0.06183475318598903,1.0135703223276513,-0.8459292742942057,-1.859499596621857
def_pa_epa_allowed_s2d,1764,-0.05298877695566144,-0.05659468795498419,0.9526365649441195,-0.8217685565208785,-1.774405121464998
last1_for_resid,3428,0.04956245092432325,0.04652225046619037,-0.2727572159720655,0.6912757013096109,0.9640329172816764
def_pressure_rate_s2d,1764,0.045300348828394545,0.02698560326902069,-0.1522746459371107,0.27594511946621214,0.42821976540332285
def_blitz_rate_s2d,1764,-0.044798100340887236,-0.04823591493568831,1.6601145424645878,0.17825330426028616,-1.4818612382043017
def_early_down_rush_epa_allowed_s2d,3428,-0.043683995648535694,-0.04530060611431103,0.5858942337436689,-0.7688936684677912,-1.3547879022114602
def_ed_rush_epa_allowed_s2d,3428,-0.0434430301530182,-0.04493529753658986,0.574828500565917,-0.7688936684677912,-1.3437221690337082
trend_for_5,3172,0.042877496350021554,0.03969505104335587,-0.5372315080074418,0.5859335430110761,1.123165051018518
last5_against_resid,3172,0.03920012489334129,0.04514710131433657,-0.7704339787890616,0.39577312748759674,1.1662071062766584
off_rz_td_rate_s2d,3428,-0.033546571465418826,-0.028078660472648235,0.5260808110865753,-0.2369008802963588,-0.7629816913829341
last3_for_resid,3428,0.03310309071137758,0.031519876376309826,-0.7415967816577641,0.038580476339001094,0.7801772579967652
def_rush_epa_allowed_neutral_s2d,3428,-0.03145884516160715,-0.028952086468151114,0.162329470359769,-0.5279809527250472,-0.6903104230848162
off_screen_rate_s2d,1764,0.031122932719918648,0.029970299519171753,-0.036012311598862076,0.6048660326192392,0.6408783442181013
def_dib_s2d,1764,-0.028718861032701336,-0.02495145583193365,0.09075833605803485,-0.45594425952569223,-0.546702595583727
off_intended_ay_s2d,3428,-0.02813086839486783,-0.02301277360806409,0.3287423166168953,-0.28926784092041263,-0.6180101575373079
off_ftn_no_huddle_s2d,1764,0.028017205540222863,0.020201260211042446,-0.1654655822949457,0.7911320648454976,0.9565976471404433
off_shotgun_rate_s2d,1764,-0.02696374703558528,-0.03038547752127759,1.018076932893649,0.39866481408624577,-0.6194121188074032
off_td_pct_per_drive_s2d,3428,-0.02572222825130624,-0.02025681083242397,-0.06067502337122803,-0.6718572588819346,-0.6111822355107066
off_td_per_drive_s2d,3428,-0.025595063856635892,-0.02023131145910248,-0.06067502337122803,-0.6757662437127399,-0.6150912203415119
cv_for,3428,-0.024547670233909673,-0.018051786130335253,0.29104547080043,-0.3169992580538947,-0.6080447288543247
off_cpoe_s2d,3428,-0.023491663799243046,-0.014780613632741232,0.11324339752053063,-0.6080627529891196,-0.7213061505096502
off_pass_success_rate_s2d,3428,-0.023221027410832137,-0.02133578793000653,0.1912941837636846,-0.354421388560386,-0.5457155723240706
off_pass_sr_s2d,3428,-0.023074952648576653,-0.021265464619555193,0.1912941837636846,-0.354421388560386,-0.5457155723240706
off_throwaway_rate_s2d,1764,-0.02307324360338783,-0.01017632839083484,0.2882156843746744,0.0006576746641192976,-0.28755800971055506
off_early_down_success_rate_s2d,3428,-0.022156838152346463,-0.025100547006056257,-0.04406458874331354,-0.4130172387842784,-0.36895265004096484
off_proe_s2d,3428,-0.02211389958071681,-0.019263715398365588,-0.17186741656239804,-0.6337193770998787,-0.4618519605374807
off_pts_per_drive_s2d,3428,-0.021952652877496082,-0.01781670026142505,-0.15826711923042094,-0.49444544948584723,-0.3361783302554263
off_oop_rate_s2d,1764,-0.02182049398777066,-0.02124960640315201,0.6991116087612581,-0.2893779203147686,-0.9884895290760267
off_ppd_s2d,3428,-0.021670245117976286,-0.017769982168421097,-0.15826711923042094,-0.49444544948584723,-0.3361783302554263
off_ed_success_s2d,3428,-0.021569715603117733,-0.024941005812220134,-0.04406458874331354,-0.4141403426349202,-0.3700757538916067
trend_against_5,3172,-0.020975432268147735,-0.016956949753348338,-0.16666295771410347,-0.5065396630178645,-0.339876705303761
off_passer_rating_s2d,3428,-0.02024250363083539,-0.011125250085707182,-0.11170318513216727,-0.36199363202250556,-0.2502904468903383
off_drive_to_rate_s2d,3428,-0.020050399586345365,-0.01388361114264866,0.3921870678509685,-0.27717636083502145,-0.66936342868599
off_drive_turnover_rate_s2d,3428,-0.019971052808213666,-0.013834697713348804,0.3921870678509685,-0.27717636083502145,-0.66936342868599
DELTA_off_off_pass_sr,3428,0.0197517943835756,0.019909483414836,0.03120460706688322,0.3861013042119465,0.3548966971450633
off_ed_rush_epa_s2d,3428,0.019501724070726992,0.01873107700763649,-0.404379001445863,0.15392155803614344,0.5583005594820064
DELTA_off_off_pass_success_rate,3428,0.019353043912060226,0.01948585286723788,0.030093310739717553,0.3861013042119465,0.35600799347222895
off_early_down_rush_epa_s2d,3428,0.018850621259631876,0.018568267044406585,-0.404379001445863,0.15392155803614344,0.5583005594820064
DELTA_off_off_cpoe,3428,0.018818236179523707,0.022739878699251925,-0.4675443793449853,0.41186782560942176,0.8794122049544071
off_ryoe_last3,3428,0.01801251276787798,0.02109018382136647,-0.1707834193178887,0.16133125046593988,0.3321146697838286
off_ryoe_s2d,3428,0.01727154579042372,0.02173747722580604,-0.17075899452462348,0.34400208798390225,0.5147610825085257
def_rush_success_allowed_s2d,3428,-0.017143074753143694,-0.015101392909770668,0.06987248344037116,-0.26473248609345096,-0.3346049695338221
def_rush_sr_allowed_s2d,3428,-0.017127269517801854,-0.015102361804834217,0.07151585437027902,-0.26696410803044046,-0.3384799624007195
off_no_huddle_s2d,3428,0.01629297418336003,0.00784844707333653,-0.2409117111925617,0.1204250311495418,0.3613367423421035
off_three_and_out_rate_s2d,3428,-0.015995796495248488,-0.007643587965914633,0.1358270356115455,0.12805145010711275,-0.007775585504432747
off_plays_per_drive_s2d,3428,-0.01568841371382415,-0.011859223944723368,-0.14498008923704614,0.08345319687002269,0.2284332861070688
off_3andout_s2d,3428,-0.015526064251363655,-0.006981237132304777,0.13409530246980708,0.13941950639932293,0.005324203929515853
off_motion_epa_s2d,1764,0.015521713527171849,0.018059919489300268,0.10432099690803182,0.5502317267389085,0.4459107298308767
off_no_huddle_rate_s2d,3428,0.015344814399939363,0.006633498876507724,-0.2210155847139656,0.11899188630916245,0.34000747102312806
DELTA_def_def_pass_epa,3428,0.015327477355424758,0.012036569109252191,-0.42138077702298415,-0.21606112771533395,0.2053196493076502
off_plays_per_game_s2d,3428,-0.015279850563608683,-0.0095634920708112,-0.06932503707582192,-0.5152691636463055,-0.44594412657048355
sos_off_recent_shift,3428,0.014786066690304437,0.009251015753064556,-0.09629232801121751,0.3800233305773638,0.4763156585885813
last1_against_resid,3428,0.014723390769597135,0.013209613739288533,-0.4571200509583248,0.14677913332238843,0.6038991842807132
off_explosive_rush_rate_s2d,3428,0.014053379829764253,0.031076372926057846,-0.3456522489012618,0.10772161949933054,0.45337386840059235
off_explosive_rush_s2d,3428,0.013943678764505895,0.03103651559855043,-0.3456522489012618,0.10772161949933054,0.45337386840059235
off_ed_pass_epa_s2d,3428,-0.013311451900980195,-0.00846277186262808,0.10740640262832309,0.03288657635743722,-0.07451982627088587
off_early_down_pass_epa_s2d,3428,-0.01325751832769305,-0.008438714966098994,0.10740640262832309,0.03288657635743722,-0.07451982627088587
off_stacked_box_s2d,3428,0.01307039583523368,0.008558270452797728,0.07393154226878311,0.3461514736809072,0.2722199314121241
DELTA_off_off_ryoe,3428,0.012648004994969405,0.015448727921511867,0.12669406914668235,0.4047404156605472,0.27804634651386484
last5_for_resid,3172,0.01135343074073329,0.00018039111770425125,-0.13437725029048486,-0.15728034306540511,-0.022903092774920253
off_pace_s2d,3428,-0.01052455653486213,0.003826065668926558,-0.023233876297105684,-0.2070965369740979,-0.18386266067699222
off_explosive_pass_rate_s2d,3428,-0.010384304964416672,-0.007133757273582307,-0.13093980131606883,-0.26525182861816876,-0.13431202730209993
off_explosive_pass_s2d,3428,-0.010216761726754627,-0.0070726299011876085,-0.13093980131606883,-0.26525182861816876,-0.13431202730209993
off_pa_epa_s2d,1764,0.009731320867618859,0.01687424893771925,0.16717831044061554,0.7962451392117996,0.629066828771184
def_explosive_rush_allowed_s2d,3428,-0.007801123783944126,-0.012585650636600621,0.3756763654358493,0.23292542310811987,-0.14275094232772945
off_non_pa_epa_s2d,1764,0.006877545008772286,0.0037236426189859047,0.39976093375347826,0.6491624860817274,0.24940155232824918
def_three_and_out_forced_s2d,3428,-0.006742673581243301,-0.00031961729526924917,0.2742031888814801,0.27855891991642556,0.004355731034945465
off_pass_sr_last3,3428,0.006603334276624106,0.006766138614561913,0.35370718096840653,0.305428044912013,-0.04827913605639356
def_3andout_forced_s2d,3428,-0.006320666205840352,0.0003795508862337995,0.26302076958937587,0.27855891991642556,0.015538150327049693
off_cpoe_last3,3428,0.006204707942301454,0.008487890919793326,-0.27922799236236023,0.4864864148607388,0.765714407223099
off_pass_success_rate_last3,3428,0.006172049594755457,0.00618886841418784,0.36676090385557325,0.305428044912013,-0.061332858943560276
off_rpo_rate_s2d,1764,0.005750821408094006,-0.0024751236712951584,0.6398106746754102,0.9445360092108267,0.3047253345354165
off_rush_epa_neutral_s2d,3428,0.005637347389762859,0.012728099960396618,-0.3844819833275403,-0.16385948337410708,0.22062249995343322
off_time_to_throw_s2d,3428,0.00526205157273096,0.010635639571677012,-0.4470738457728678,-0.03546351662385704,0.41161032914901075
off_aggressiveness_s2d,3428,0.004947847998635449,-0.003500197718123179,0.012270640528504195,0.03758183217633883,0.025311191647834633
off_pass_epa_neutral_s2d,3428,-0.004937090135326583,-0.009431158096207553,0.04714474340911695,0.0711534231431381,0.024008679734021154
off_pa_rate_s2d,1764,0.003997717136992088,0.003472880957724395,-0.23506522187152343,0.26453459944988134,0.4995998213214048
DELTA_def_def_rush_epa,3428,-0.003866995144583771,-0.006975107495411453,-0.13222886908122497,-0.17358819385739385,-0.04135932477616888
sos_def_recent_shift,3428,0.003586581346889362,0.014474303545528564,-0.1970060401768771,0.05026798655655529,0.24727402673343238
off_non_motion_epa_s2d,1764,-0.0031988925397039014,-0.008675037119574519,0.1986470151775748,0.4578712202701271,0.2592242050925523
DELTA_off_off_rush_success_rate,3428,-0.0013476706007544551,-0.010031526640820874,0.4652026614528105,0.1670622721032567,-0.2981403893495538
off_rush_success_rate_last3,3428,-0.0012251828932863156,-0.004576005070104649,0.1259416909644778,0.02386205041432794,-0.10207964055014986
off_rush_sr_s2d,3428,0.0008440625991868459,-0.002167172646484654,-0.24141857241521816,-0.2371155529495065,0.004303019465711655
off_motion_rate_s2d,1764,-0.0005645945227007862,0.001540497306539217,0.1297763197054492,0.28855619193148924,0.15877987222604004
last3_against_resid,3428,-0.00018428176707607026,-0.0034544985894354625,-0.4739731760471093,-0.32778659401448373,0.14618658203262558
off_rush_efficiency_s2d,3428,0.00015563625073743758,0.01893433865832306,-0.24470781085009752,0.3313633547922467,0.5760711656423443
