feature,n,pearson,spearman,q1_mean,q4_mean,q4_minus_q1
cv_for,3428,0.12182253280351638,0.11806420590409675,-1.6747509953923359,1.241198828226936,2.915949823619272
off_non_pa_epa_s2d,1764,-0.09547450361265225,-0.07795378885941162,0.5632826665513424,-1.2490175070949485,-1.812300173646291
off_td_pct_per_drive_s2d,3428,-0.09228870107960992,-0.08031013962920143,0.9314820498116303,-1.6892543712633958,-2.6207364210750264
off_td_per_drive_s2d,3428,-0.09193644559338644,-0.08029274783669987,0.9314820498116303,-1.6976557714967677,-2.6291378213083982
off_pts_per_drive_s2d,3428,-0.09156416006292879,-0.08001440446368892,0.9423960595964688,-1.7208678516376728,-2.6632639112341416
off_ppd_s2d,3428,-0.09078602207054569,-0.0799608232165073,0.9423960595964688,-1.7208678516376728,-2.6632639112341416
off_non_motion_epa_s2d,1764,-0.09013503744978638,-0.06883311929395451,0.786282288385498,-1.0477825805491081,-1.8340648689346062
off_motion_epa_s2d,1764,-0.08657536818820924,-0.06776043643017116,0.9525714276164456,-1.2386054005059501,-2.191176828122396
off_pass_success_rate_last3,3428,-0.08270159970334993,-0.05920017843584111,0.40140874984111874,-1.5634058691225985,-1.9648146189637172
off_pass_sr_last3,3428,-0.08151483700557345,-0.058318945489945054,0.3666881232225523,-1.5634058691225985,-1.9300939923451508
off_rush_epa_neutral_s2d,3428,-0.07423549572140431,-0.07363380195944587,0.8283935005795771,-1.2340529342659858,-2.0624464348455627
off_early_down_success_rate_s2d,3428,-0.07380406634226382,-0.056785577791180514,0.23723798133196597,-1.1651930733571274,-1.4024310546890935
off_pass_epa_neutral_s2d,3428,-0.07290187408686406,-0.06599989841249355,0.25012322034459883,-1.3909460524571555,-1.6410692728017544
off_pass_success_rate_s2d,3428,-0.07275742689753621,-0.05774319025582919,0.14446952285120748,-1.3654018354923034,-1.5098713583435108
off_pass_sr_s2d,3428,-0.07235024322226966,-0.05765892496068104,0.14446952285120748,-1.3654018354923034,-1.5098713583435108
off_ed_success_s2d,3428,-0.072173190729083,-0.05650441553576325,0.23723798133196597,-1.1637199111634287,-1.4009578924953947
