season,team,head_coach,oc,dc,qb_coach,rb_coach,notes,head_coach_note,oc_note,dc_note
2022,ARI,Kliff Kingsbury,Kliff Kingsbury (HC calls plays),Vance Joseph,Cameron Turner,,,,hand-filled,
2022,ATL,Arthur Smith,Dave Ragone,Dean Pees,Charles London,Michael Pitre,,,,
2022,BAL,John Harbaugh,Greg Roman,Mike Macdonald,James Urban,Craig Ver Steeg,,,,
2022,BUF,Sean McDermott,Ken Dorsey,Leslie Frazier,Joe Brady,Kelly Skipper,,,,
2022,CAR,Matt Rhule / Steve Wilks (interim),Ben McAdoo,,Sean Ryan,,"fired head coach Matt Rhule, along with defensive coordinator Phil Snow | Interim defensive coordinator – Al Holcomb",hand-filled,,
2022,CHI,Matt Eberflus,Luke Getsy,Alan Williams,Andrew Janocko,David Walker,,,,
2022,CIN,Zac Taylor,Brian Callahan,Lou Anarumo,Dan Pitcher,Justin Hill,,,,
2022,CLE,Kevin Stefanski,Alex Van Pelt,Joe Woods,Drew Petzing,Stump Mitchell,,,,
2022,DAL,Mike McCarthy,Kellen Moore,Dan Quinn,Doug Nussmeier,Skip Peete,,,,
2022,DEN,Nathaniel Hackett / Jerry Rosburg (interim),Justin Outten,Ejiro Evero,Klint Kubiak,Tyrone Wheatley,,hand-filled,,
2022,DET,Dan Campbell,Ben Johnson,Aaron Glenn,Mark Brunell,Duce Staley,fired as offensive coordinator | named offensive coordinator,,,
2022,GB,Matt LaFleur,Adam Stenavich,Joe Barry,Tom Clements,Ben Sirmans,,,,
2022,HOU,Lovie Smith,Pep Hamilton,Lovie Smith (HC),Ted White,Danny Barrett,,,,hand-filled
2022,IND,Frank Reich / Jeff Saturday (interim),Marcus Brady / Parks Frazier,Gus Bradley,Scott Milanovich,Scottie Montgomery,Interim offensive coordinator – Parks Frazier,hand-filled,hand-filled,
2022,JAX,Doug Pederson,Press Taylor,Mike Caldwell,Mike McCoy,Bernie Parmalee,,,,
2022,KC,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Matt Nagy,Greg Lewis,,,,
2022,LV,Josh McDaniels,Mick Lombardi,Patrick Graham,Bo Hardegree,Kennedy Polamalu,named New England Patriots' offensive coordinator Josh McDaniels the team's new head coach | named Mick Lombardi offensive coordinator{{Cite web |title=Raiders Hire Mick Lombardi As OC |url=https://www,,,
2022,LAC,Brandon Staley,Joe Lombardi,Renaldo Hill,Shane Day,Derrick Foster,fired offensive coordinator Joe Lombardi and passing game coordinator & quarterbacks coach Shane Da,,,
2022,LA,Sean McVay,Liam Coen,Raheem Morris,Zac Robinson,Ra'Shaad Samples,"hired Rams offensive coordinator Kevin O'Connell as their new head coach | hired by the Vikings as offensive coordinator | named Rams secondary coach/passing game coordinator Ejiro Evero as defensive coordinator for new head coach Nathaniel Hackett's staff | hired as offensive coordinator, succeeding Kevin O'Connell",,,
2022,MIA,Mike McDaniel,Frank Smith,Josh Boyer,Darrell Bevell,Eric Studesville,,,,
2022,MIN,Kevin O'Connell,Wes Phillips,Ed Donatell,Chris O'Hara,Curtis Modkins,,,,
2022,NE,Bill Belichick,Matt Patricia (de facto),Bill Belichick / Steve Belichick,Joe Judge,Vinnie Sunseri,,,hand-filled,hand-filled
2022,NO,Dennis Allen,Pete Carmichael,Dennis Allen (HC) / Ryan Nielsen & Kris Richard (co-DC),Ronald Curry,Joel Thomas,,,,hand-filled
2022,NYG,Brian Daboll,Mike Kafka,Don Martindale,Shea Tierney,DeAndre Smith,hired Bills offensive coordinator Brian Daboll to become the 22nd head coach in franchise history,,,
2022,NYJ,Robert Saleh,Mike LaFleur,Jeff Ulbrich,Rob Calabrese,Taylor Embree,,,,
2022,PHI,Nick Sirianni,Shane Steichen,Jonathan Gannon,Brian Johnson,Jemal Singleton,,,,
2022,PIT,Mike Tomlin,Matt Canada,Teryl Austin,Mike Sullivan,Eddie Faulkner,,,,
2022,SF,Kyle Shanahan,Kyle Shanahan (HC calls plays),DeMeco Ryans,Brian Griese,Anthony Lynn,hired 49ers defensive coordinator Robert Saleh as head coach and the Wash | hired 49ers offensive coordinator Mike McDaniel as head coach,,hand-filled,
2022,SEA,Pete Carroll,Shane Waldron,Clint Hurtt,Dave Canales,Chad Morton,,,,
2022,TB,Todd Bowles,Byron Leftwich,Todd Bowles (HC),Clyde Christensen,Todd McNair,,,,hand-filled
2022,TEN,Mike Vrabel,Todd Downing,Shane Bowen,Pat O'Hara,Tony Dews,,,,
2022,WAS,Ron Rivera,Scott Turner,Jack Del Rio,Ken Zampese,Randy Jordan,,,,
2023,ARI,Jonathan Gannon,Drew Petzing,Nick Rallis,Israel Woolfork,Autry Denson,hired former Philadelphia Eagles' defensive coordinator Jonathan Gannon as the team's new head coach,,,
2023,ATL,Arthur Smith,Dave Ragone,Ryan Nielsen,,Michael Pitre,,,,
2023,BAL,John Harbaugh,Todd Monken,Mike Macdonald,Tee Martin,Willie Taggart,hired-offensive-coordinator |title=Todd Monken Hired As Offensive Coordinator |work=Baltimoreravens | Named Charlotte's Defensive Coordinator |work=Charlotte49ers,,,
2023,BUF,Sean McDermott,Ken Dorsey,"Sean McDermott (HC, Leslie Frazier on leave)",Joe Brady,Kelly Skipper,interim offensive coordinator |url=https://www | Interim offensive coordinator/quarterbacks – Joe Brady | fired offensive coordinator Ken Dorsey and named Joe Brady the | interim offensive coordinator,,fired after Week 10,hand-filled
2023,CAR,Frank Reich,Thomas Brown,Ejiro Evero,Josh McCown; fired on November 27,Duce Staley; fired on November 27,,fired on November 27,,
2023,CHI,Matt Eberflus,Luke Getsy,Alan Williams,Andrew Janocko,David Walker; fired on November 1,,,,resigned on September 20
2023,CIN,Zac Taylor,Brian Callahan,Lou Anarumo,Dan Pitcher,Justin Hill,,,,
2023,CLE,Kevin Stefanski,Alex Van Pelt,Jim Schwartz,Ashton Grant,Stump Mitchell,fired defensive coordinator Joe Woods after three seasons,,,
2023,DAL,Mike McCarthy,Brian Schottenheimer,Dan Quinn,Scott Tolzien,Jeff Blasko,,,,
2023,DEN,Sean Payton,Joe Lombardi,Vance Joseph,Davis Webb,Lou Ayeni,,,,
2023,DET,Dan Campbell,Ben Johnson,Aaron Glenn,Mark Brunell,Scottie Montgomery,,,,
2023,GB,Matt LaFleur,Adam Stenavich,Joe Barry,Tom Clements,Ben Sirmans,,,,
2023,HOU,DeMeco Ryans,Bobby Slowik,Matt Burke,Jerrod Johnson,Danny Barrett,hired San Francisco 49ers defensive coordinator and former player DeMeco Ryans as their new head coach,,,
2023,IND,Shane Steichen,Jim Bob Cooter,Gus Bradley,Cam Turner,DeAndre Smith,,,,
2023,JAX,Doug Pederson,Press Taylor,Mike Caldwell,Mike McCoy,Bernie Parmalee,,,,
2023,KC,Andy Reid,Matt Nagy,Steve Spagnuolo,David Girardi,Todd Pinkston,"Hired by Washington Commanders || Offensive coordinator || Matt Nagy || {{C | Promoted to offensive coordinator || Quarterbacks || David Girardi || <ref name=""Chiefs announce 2023 coachin",,,
2023,LV,Josh McDaniels,Mick Lombardi,Patrick Graham,Bo Hardegree,Kennedy Polamalu,Interim offensive coordinator/quarterbacks – Bo Hardegree,fired on October 31,fired on October 31,
2023,LAC,Brandon Staley,Kellen Moore,Derrick Ansley,Doug Nussmeier,Derrick Foster,"fired/|title=Chargers fire offensive coordinator Joe Lombardi|date=January 17, 2023|access-date=January 20, 2023|website=charger | Promoted to defensive coordinator || Tom Donatell",fired on December 15,,
2023,LA,Sean McVay,Mike LaFleur,Raheem Morris,Zac Robinson,Ron Gould,,,,
2023,MIA,Mike McDaniel,Frank Smith,Vic Fangio,Darrell Bevell,Eric Studesville,,,,
2023,MIN,Kevin O'Connell,Wes Phillips,Brian Flores,Chris O'Hara,Curtis Modkins,,,,
2023,NE,Bill Belichick,Bill O'Brien,Bill Belichick (HC) / Jerod Mayo,Bill O'Brien,Vinnie Sunseri,,,,hand-filled
2023,NO,Dennis Allen,Pete Carmichael,Joe Woods,Ronald Curry,Joel Thomas,,,,
2023,NYG,Brian Daboll,Mike Kafka,Don Martindale,Shea Tierney,Jeff Nixon,,,,
2023,NYJ,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,Rob Calabrese,Taylor Embree,"fired offensive coordinator Ken Dorsey the week before, performed much more effectively on offense as c",,,
2023,PHI,Nick Sirianni,Brian Johnson,Sean Desai,Alex Tanney,Jemal Singleton,"fired offensive coordinator Brian Johnson and defensive coordin | relieved of their duties as offensive and defensive coordinators, respectively",,,
2023,PIT,Mike Tomlin,Matt Canada,Teryl Austin,Mike Sullivan,Eddie Faulkner,Interim offensive coordinator/running backs – Eddie Faulkner,,fired after Week 11,
2023,SF,Kyle Shanahan,Kyle Shanahan (HC calls plays),Steve Wilks,Brian Griese,Bobby Turner,,,hand-filled,
2023,SEA,Pete Carroll,Shane Waldron,Clint Hurtt,Greg Olson,Chad Morton,hired him to be their offensive coordinator for one year,,,
2023,TB,Todd Bowles,Dave Canales,Todd Bowles (HC),Thad Lewis,Skip Peete,,,,hand-filled
2023,TEN,Mike Vrabel,Tim Kelly,Shane Bowen,Charles London,Justin Outten,"fired offensive coordinator Todd Downing, offensive line coach Keith | promoted to offensive coordinator, Charles London was hired as the quarterbacks coach from the Atlanta Falc",,,
2023,WAS,Ron Rivera,Eric Bieniemy,Ron Rivera,Tavita Pritchard,Randy Jordan,"replaced offensive coordinator Scott Turner, who joined the team in | fired defensive coordinator Jack Del Rio and defensive backs coach Brent Vieselmeyer",,,interim
2024,ARI,Jonathan Gannon,Drew Petzing,Nick Rallis,Israel Woolfork,Autry Denson,,,,
2024,ATL,Raheem Morris,Zac Robinson,Jimmy Lake,T. J. Yates,Michael Pitre,,,,
2024,BAL,John Harbaugh,Todd Monken,Zachary Orr,Tee Martin,Willie Taggart,Promoted to defensive coordinator || Mark DeLeone,,,
2024,BUF,Sean McDermott,Joe Brady,Bobby Babich,Ronald Curry,Kelly Skipper,,,,
2024,CAR,Dave Canales,Brad Idzik,Ejiro Evero,Will Harriger,Bernie Parmalee,hired former Seattle Seahawks Quarterback coach and Tampa Bay Buccaneers offensive coordinator Dave Canales as their new head coach,,,
2024,CHI,Matt Eberflus,Shane Waldron,Eric Washington,Kerry Joseph,Chad Morton,"fired offensive coordinator Luke Getsy and four others offensive assistants | hired as the new offensive coordinator,{{cite news |last1=Hajduk |first1=Gabby |title=Bears hire Shane Waldron as | named the defensive coordinator | Fired{{Cite web|title=Bears fire offensive coordinator Luke Getsy, four offensive assistants|url=https://www | fired offensive coordinator Shane Waldron, after only nine games, and appointed passing game coordinator Th | interim offensive coordinator | fired as Bears' offensive coordinator|url=https://www | interim head coach in franchise history, just 17 days after bei",fired on November 29,fired on November 10,
2024,CIN,Zac Taylor,Dan Pitcher,Lou Anarumo,Brad Kragthorpe,Justin Hill,,,,
2024,CLE,Kevin Stefanski,Ken Dorsey,Jim Schwartz,Ashton Grant,Duce Staley,fired offensive coordinator/quarterbacks coach Alex Van Pelt and running backs coach Stump Mitchell | hired Ken Dorsey as their offensive coordinator,,,
2024,DAL,Mike McCarthy,Brian Schottenheimer,Mike Zimmer,Scott Tolzien,Jeff Blasko,,,,
2024,DEN,Sean Payton,Joe Lombardi,Vance Joseph,Davis Webb,Lou Ayeni,,,,
2024,DET,Dan Campbell,Ben Johnson,Aaron Glenn,Mark Brunell,Scottie Montgomery,,,,
2024,GB,Matt LaFleur,Adam Stenavich,Jeff Hafley,Tom Clements,Ben Sirmans,,,,
2024,HOU,DeMeco Ryans,Bobby Slowik,Matt Burke,Jerrod Johnson,Danny Barrett,,,,
2024,IND,Shane Steichen,Jim Bob Cooter,Gus Bradley,Cameron Turner,DeAndre Smith,,,,
2024,JAX,Doug Pederson,Press Taylor,Ryan Nielsen,Mike McCoy,Vacant,,,,
2024,KC,Andy Reid,Matt Nagy,Steve Spagnuolo,David Girardi,Todd Pinkston,,,,
2024,LV,Antonio Pierce,Luke Getsy,Patrick Graham,,Cadillac Williams,Interim offensive coordinator - Scott Turner,,fired on November 5,
2024,LAC,Jim Harbaugh,Greg Roman,Jesse Minter,Shane Day,Kiel McDonald,,,,
2024,LA,Sean McVay,Mike LaFleur,Chris Shula,Dave Ragone,Ron Gould,Named Co-Defensive Coordinator / Run Game Coordinator / Defensive Line Coach |url=https://usctrojans,,,
2024,MIA,Mike McDaniel,Frank Smith,Anthony Weaver,Darrell Bevell,Eric Studesville,hired as the defensive coordinator for the eventual Super Bowl champion Philadelphia Eagles on January 27,,,
2024,MIN,Kevin O'Connell,Wes Phillips,Brian Flores,Josh McCown,Curtis Modkins,,,,
2024,NE,Jerod Mayo,Alex Van Pelt,DeMarcus Covington,T. C. McCartney,Taylor Embree,,,,
2024,NO,Dennis Allen,Klint Kubiak,Joe Woods,Andrew Janocko,Derrick Foster,,fired on November 4,,
2024,NYG,Brian Daboll,Mike Kafka,Shane Bowen,Shea Tierney,Joel Thomas,,,,
2024,NYJ,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich (then interim HC),,Tony Dews,fired Saleh and promoted defensive coordinator Jeff Ulbrich to be the interim head coach | Interim defensive coordinator/defensive backs/safeties – Marquand Manuel,fired on October 8,,hand-filled
2024,PHI,Nick Sirianni,Kellen Moore,Vic Fangio,Doug Nussmeier,Jemal Singleton,fired defensive coordinator Sean Desai after only one year in that role | relieved offensive coordinator Brian Johnson of his duties | named the team's new defensive coordinator | named Kellen Moore their new offensive coordinator,,,
2024,PIT,Mike Tomlin,Arthur Smith,Teryl Austin,Tom Arth,Eddie Faulkner,,,,
2024,SF,Kyle Shanahan,Kyle Shanahan (HC calls plays),Nick Sorensen,Brian Griese,Bobby Turner,,,hand-filled,
2024,SEA,Mike Macdonald,Ryan Grubb,Aden Durde,Charles London,Kennedy Polamalu,,,,
2024,TB,Todd Bowles,Liam Coen,Todd Bowles (HC),Thad Lewis,Skip Peete,,,,hand-filled
2024,TEN,Brian Callahan,Nick Holz,Dennard Wilson,Bo Hardegree,Randy Jordan,hired Cincinnati Bengals offensive coordinator Brian Callahan as their new head coach,,,
2024,WAS,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.,Tavita Pritchard,Anthony Lynn,"hired as general manager in January, who hired Dallas Cowboys defensive coordinator and former Atlanta Falcons head coach Dan Q",hand-filled,hand-filled,hand-filled
2025,ARI,Jonathan Gannon,Drew Petzing,Nick Rallis,Israel Woolfork,Autry Denson,,,,
2025,ATL,Raheem Morris,Zac Robinson,Jeff Ulbrich,D. J. Williams,Michael Pitre,,,,
2025,BAL,John Harbaugh,Todd Monken,Zachary Orr,Tee Martin,Willie Taggart,,,,
2025,BUF,Sean McDermott,Joe Brady,Bobby Babich,Ronald Curry,Kelly Skipper,,,,
2025,CAR,Dave Canales,Brad Idzik,Ejiro Evero,Will Harriger,Bernie Parmalee,,,,
2025,CHI,Ben Johnson,Declan Doyle,Dennis Allen,JT Barrett,Eric Bieniemy,promoted offensive coordinator Thomas Brown{{Cite web |title=B,,,
2025,CIN,Zac Taylor,Dan Pitcher,Al Golden,Brad Kragthorpe,Justin Hill,,,,
2025,CLE,Kevin Stefanski,Tommy Rees,Jim Schwartz,Bill Musgrave,Duce Staley,"fired offensive coordinator Ken Dorsey and offensive line coach Andy Dickerson, both after one seas | promoted from tight ends coach to be Cleveland Browns offensive coordinator |url=https://www",,,
2025,DAL,Brian Schottenheimer,Klayton Adams,Matt Eberflus,Steve Shimko,Derrick Foster,,,,
2025,DEN,Sean Payton,Joe Lombardi,Vance Joseph,Davis Webb,Lou Ayeni,fired offensive coordinator Joe Lombardi a couple days after the loss,,,
2025,DET,Dan Campbell,John Morton,Kelvin Sheppard,Mark Brunell,Tashard Choice,,,,
2025,GB,Matt LaFleur,Adam Stenavich,Jeff Hafley,Sean Mannion,Ben Sirmans,,,,
2025,HOU,DeMeco Ryans,Nick Caley,Matt Burke,Jerrod Johnson,Danny Barrett,hired as the Texans' new offensive coordinator,,,
2025,IND,Shane Steichen,Jim Bob Cooter,Lou Anarumo,Cameron Turner,DeAndre Smith,,,,
2025,JAX,Liam Coen,Grant Udinski,Anthony Campanile,Spencer Whipple,Chad Morton,,,,
2025,KC,Andy Reid,Matt Nagy,Steve Spagnuolo,David Girardi,Todd Pinkston,,,,
2025,LV,Pete Carroll,Chip Kelly,Patrick Graham,Greg Olson,Deland McCullough,named the new offensive coordinator on February 2 | fired Kelly as offensive coordinator | Interim offensive coordinator/quarterbacks – Greg Olson,,hand-filled,
2025,LAC,Jim Harbaugh,Greg Roman,Jesse Minter,Shane Day,Kiel McDonald,"fired offensive coordinator Greg Roman and lost defensive coordinator Jesse Minter, as he went to the Baltimore Ravens to be their head coac",,,
2025,LA,Sean McVay,Mike LaFleur,Chris Shula,Dave Ragone,Ron Gould,hired by the Houston Texans to serve as their offensive coordinator | hired former Rams defensive coordinator Raheem Morris as head coach,,,
2025,MIA,Mike McDaniel,Frank Smith,Anthony Weaver,Darrell Bevell,Eric Studesville,,,,
2025,MIN,Kevin O'Connell,Wes Phillips,Brian Flores,Josh McCown,Curtis Modkins,,,,
2025,NE,Mike Vrabel,Josh McDaniels,Terrell Williams,Ashton Grant,Tony Dews,,,,
2025,NO,Kellen Moore,Doug Nussmeier,Brandon Staley,Scott Tolzien,Joel Thomas,,,,
2025,NYG,Brian Daboll,Tim Kelly,Shane Bowen,Shea Tierney,Ladell Betts,"Interim defensive coordinator/outside linebackers – Charlie Bullen | fired, and assistant head coach/offensive coordinator Mike Kafka would serve as interim head coach | named outside linebackers coach Charlie Bullen the interim defensive coordinator | relieved of duties; Charlie Bullen named defensive coordinator |url=https://www","fired November 10, 2–8 record",,hand-filled
2025,NYJ,Aaron Glenn,Tanner Engstrand,Steve Wilks,Charles London,Nic McKissic-Luke,Interim defensive coordinator/defensive backs/pass game coordinator – Chris Harris | fired defensive coordinator Steve Wilks the next day,,,hand-filled
2025,PHI,Nick Sirianni,Kevin Patullo,Vic Fangio,Scot Loeffler,Jemal Singleton,Promoted to offensive coordinator,,,
2025,PIT,Mike Tomlin,Arthur Smith,Teryl Austin,Tom Arth,Eddie Faulkner,,,,
2025,SF,Kyle Shanahan,Klay Kubiak,Robert Saleh,Mick Lombardi,Robert Turner Jr,,,,
2025,SEA,Mike Macdonald,Klint Kubiak,Aden Durde,Andrew Janocko,Kennedy Polamalu,,,,
2025,TB,Todd Bowles,Josh Grizzard,Todd Bowles (HC),Thad Lewis,Skip Peete,"fired including first year Offensive coordinator Josh Grizzard, Thomas McGaughey, Thad Lewis, Kevin Ross (Americ",,,hand-filled
2025,TEN,Brian Callahan,Nick Holz,Dennard Wilson,Bo Hardegree,Randy Jordan,,"fired October 13, 1–5 record",,
2025,WAS,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.,Tavita Pritchard,Anthony Lynn,,,,
2026,ARI,Mike LaFleur,Nathaniel Hackett,Nick Rallis,Matt Schaub,Matt Merritt,current staff template,,,
2026,ATL,Kevin Stefanski,Tommy Rees,Jeff Ulbrich,Alex Van Pelt,,current staff template,,,
2026,BAL,Jesse Minter,Declan Doyle,Anthony Weaver,Israel Woolfork,Eddie Faulkner,current staff template,,,
2026,BUF,Joe Brady,Pete Carmichael,Jim Leonhard,Bo Hardegree,Kelly Skipper,current staff template,,,
2026,CAR,Dave Canales,Brad Idzik,Ejiro Evero,Will Harriger,Bernie Parmalee,current staff template,,,
2026,CHI,Ben Johnson,Press Taylor,Dennis Allen,J. T. Barrett,Eric Studesville,current staff template,,,
2026,CIN,Zac Taylor,Dan Pitcher,Al Golden,Brad Kragthorpe,Justin Hill,current staff template,,,
2026,CLE,Todd Monken,Travis Switzer,Mike Rutenberg,Mike Bajakian,Duce Staley,current staff template,,,
2026,DAL,Brian Schottenheimer,Klayton Adams,Christian Parker,Steve Shimko,Derrick Foster,current staff template,,,
