player_id,player_name,position,team,season,week,pass_attempts,pass_yds,pass_tds,carries,rush_yds,rush_tds,targets,receptions,rec_yds,rec_tds
00-0023459,Aaron Rodgers,QB,NYJ,2024,1,21,167,1,1,-1,0,0,0,0,0
00-0026498,Matthew Stafford,QB,LA,2024,1,49,317,1,0,0,0,0,0,0,0
00-0027973,Andy Dalton,QB,CAR,2024,1,1,0,0,0,0,0,0,0,0,0
00-0028118,Tyrod Taylor,QB,NYJ,2024,1,8,36,1,1,7,0,0,0,0,0
00-0029604,Kirk Cousins,QB,ATL,2024,1,26,155,1,1,0,0,0,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,2024,1,0,0,0,0,0,0,3,2,40,0
00-0030035,Adam Thielen,WR,CAR,2024,1,0,0,0,0,0,0,4,3,49,0
00-0030061,Zach Ertz,TE,WAS,2024,1,0,0,0,0,0,0,4,3,28,0
00-0030279,Keenan Allen,WR,CHI,2024,1,0,0,0,0,0,0,11,4,29,0
00-0030506,Travis Kelce,TE,KC,2024,1,0,0,0,0,0,0,4,3,34,0
00-0030564,DeAndre Hopkins,WR,TEN,2024,1,0,0,0,0,0,0,1,1,8,0
00-0030565,Geno Smith,QB,SEA,2024,1,25,171,1,4,30,1,0,0,0,0
00-0030578,Cordarrelle Patterson,RB,PIT,2024,1,0,0,0,4,13,0,0,0,0,0
00-0031236,Brandin Cooks,WR,DAL,2024,1,0,0,0,1,5,0,7,4,40,1
00-0031280,Derek Carr,QB,NO,2024,1,23,200,3,2,13,0,0,0,0,0
00-0031299,Jordan Matthews,TE,CAR,2024,1,0,0,0,0,0,0,1,0,0,0
00-0031381,Davante Adams,WR,LV,2024,1,0,0,0,0,0,0,6,5,59,0
00-0031408,Mike Evans,WR,TB,2024,1,0,0,0,0,0,0,6,5,61,2
00-0031544,Amari Cooper,WR,CLE,2024,1,0,0,0,0,0,0,9,2,16,0
00-0031549,Nelson Agholor,WR,BAL,2024,1,0,0,0,0,0,0,1,1,6,0
00-0031585,MyCole Pruitt,TE,PIT,2024,1,0,0,0,0,0,0,2,1,9,0
00-0031588,Stefon Diggs,WR,HOU,2024,1,0,0,0,1,6,0,6,6,33,2
00-0031595,Michael Burton,FB,DEN,2024,1,0,0,0,0,0,0,1,1,3,0
00-0031687,Raheem Mostert,RB,MIA,2024,1,0,0,0,6,9,0,3,2,10,0
00-0031763,DeAndre Carter,WR,CHI,2024,1,0,0,0,0,0,0,2,1,6,0
00-0031941,Jamison Crowder,WR,WAS,2024,1,0,0,0,0,0,0,1,1,5,0
00-0032211,Tyler Lockett,WR,SEA,2024,1,0,0,0,0,0,0,7,6,77,0
00-0032392,Austin Hooper,TE,NE,2024,1,0,0,0,0,0,0,4,2,31,0
00-0032394,Nick Vannett,TE,TEN,2024,1,0,0,0,0,0,0,2,2,11,0
00-0032434,Brandon Allen,QB,SF,2024,1,0,0,0,1,-1,0,0,0,0,0
00-0032464,Kalif Raymond,WR,DET,2024,1,0,0,0,1,12,0,0,0,0,0
00-0032764,Derrick Henry,RB,BAL,2024,1,0,0,0,13,46,1,2,0,0,0
00-0032775,Demarcus Robinson,WR,LA,2024,1,0,0,0,0,0,0,7,4,42,0
00-0032918,C.J. Ham,FB,MIN,2024,1,0,0,0,0,0,0,2,2,11,0
00-0033009,Tyler Boyd,WR,TEN,2024,1,0,0,0,0,0,0,5,3,18,0
00-0033040,Tyreek Hill,WR,MIA,2024,1,0,0,0,0,0,0,12,7,130,1
00-0033045,Ezekiel Elliott,RB,DAL,2024,1,0,0,0,10,40,1,2,2,9,0
00-0033077,Dak Prescott,QB,DAL,2024,1,32,179,1,1,3,0,0,0,0,0
00-0033090,Hunter Henry,TE,NE,2024,1,0,0,0,0,0,0,3,2,18,0
00-0033106,Jared Goff,QB,DET,2024,1,28,217,1,1,7,0,0,0,0,0
00-0033119,Jacoby Brissett,QB,NE,2024,1,24,121,0,7,32,0,0,0,0,0
00-0033217,Mo Alie-Cox,TE,IND,2024,1,0,0,0,0,0,0,1,0,0,0
00-0033246,Johnny Mundt,TE,MIN,2024,1,0,0,0,0,0,0,3,2,15,0
00-0033282,Curtis Samuel,WR,BUF,2024,1,0,0,0,0,0,0,2,2,15,0
00-0033288,George Kittle,TE,SF,2024,1,0,0,0,0,0,0,5,4,40,0
00-0033293,Aaron Jones,RB,MIN,2024,1,0,0,0,14,94,1,2,2,15,0
00-0033357,Taysom Hill,TE,NO,2024,1,0,0,0,5,35,0,2,1,1,0
00-0033526,Samaje Perine,RB,KC,2024,1,0,0,0,0,0,0,2,1,10,0
00-0033537,Deshaun Watson,QB,CLE,2024,1,45,169,1,5,39,0,0,0,0,0
00-0033553,James Conner,RB,ARI,2024,1,0,0,0,16,50,1,4,3,33,0
00-0033555,Mack Hollins,WR,BUF,2024,1,0,0,0,0,0,0,2,2,25,1
00-0033576,Eric Saubert,TE,SF,2024,1,0,0,0,0,0,0,1,0,0,0
00-0033589,David Moore,WR,CAR,2024,1,0,0,0,0,0,0,3,1,14,0
00-0033662,Cooper Rush,QB,DAL,2024,1,0,0,0,1,-1,0,0,0,0,0
00-0033699,Austin Ekeler,RB,WAS,2024,1,0,0,0,2,10,0,4,4,52,0
00-0033854,Dare Ogunbowale,RB,HOU,2024,1,0,0,0,0,0,0,1,1,3,0
00-0033857,JuJu Smith-Schuster,WR,KC,2024,1,0,0,0,0,0,0,1,0,0,0
00-0033858,Jonnu Smith,TE,MIA,2024,1,0,0,0,0,0,0,2,1,7,0
00-0033873,Patrick Mahomes,QB,KC,2024,1,28,291,1,2,3,0,1,1,2,0
00-0033881,Evan Engram,TE,JAX,2024,1,0,0,0,0,0,0,4,1,5,0
00-0033885,David Njoku,TE,CLE,2024,1,0,0,0,0,0,0,5,4,44,0
00-0033895,Gerald Everett,TE,CHI,2024,1,0,0,0,0,0,0,1,1,-1,0
00-0033897,Joe Mixon,RB,HOU,2024,1,0,0,0,30,159,1,3,3,19,0
00-0033906,Alvin Kamara,RB,NO,2024,1,0,0,0,15,83,1,5,5,27,0
00-0033908,Cooper Kupp,WR,LA,2024,1,0,0,0,2,10,0,21,14,110,1
00-0033921,Chris Godwin Jr.,WR,TB,2024,1,0,0,0,0,0,0,8,8,83,1
00-0033943,Josh Reynolds,WR,DEN,2024,1,0,0,0,0,0,0,8,5,45,0
00-0033948,Jamaal Williams,RB,NO,2024,1,0,0,0,11,38,1,1,1,13,0
00-0034115,Jeff Wilson,RB,MIA,2024,1,0,0,0,5,26,0,0,0,0,0
00-0034159,Will Dissly,TE,LAC,2024,1,0,0,0,0,0,0,1,1,13,0
00-0034184,Gus Edwards,RB,LAC,2024,1,0,0,0,11,26,0,1,1,2,0
00-0034208,Mike Boone,RB,CAR,2024,1,0,0,0,4,7,0,0,0,0,0
00-0034270,Tyler Conklin,TE,NYJ,2024,1,0,0,0,0,0,0,2,1,6,0
00-0034272,Marquez Valdes-Scantling,WR,BUF,2024,1,0,0,0,0,0,0,2,1,19,0
00-0034348,Courtland Sutton,WR,DEN,2024,1,0,0,0,0,0,0,12,4,38,0
00-0034351,Dallas Goedert,TE,PHI,2024,1,0,0,0,0,0,0,5,4,31,0
00-0034364,Jordan Akins,TE,CLE,2024,1,0,0,0,0,0,0,4,3,27,0
00-0034383,Dalton Schultz,TE,HOU,2024,1,0,0,0,0,0,0,3,3,16,0
00-0034386,Justin Watson,WR,KC,2024,1,0,0,0,0,0,0,1,1,25,0
00-0034407,Ray-Ray McCloud,WR,ATL,2024,1,0,0,0,0,0,0,7,4,52,0
00-0034419,Braxton Berrios,WR,MIA,2024,1,0,0,0,0,0,0,2,0,0,0
00-0034521,Allen Lazard,WR,NYJ,2024,1,0,0,0,0,0,0,9,6,89,2
00-0034613,Tanner Hudson,TE,CIN,2024,1,0,0,0,0,0,0,3,2,18,0
00-0034753,Mark Andrews,TE,BAL,2024,1,0,0,0,0,0,0,2,2,14,0
00-0034775,Christian Kirk,WR,JAX,2024,1,0,0,0,0,0,0,4,1,30,0
00-0034796,Lamar Jackson,QB,BAL,2024,1,41,273,1,16,122,0,0,0,0,0
00-0034798,Durham Smythe,TE,MIA,2024,1,0,0,0,0,0,0,3,0,0,0
00-0034827,DJ Moore,WR,CHI,2024,1,0,0,0,1,14,0,8,5,36,0
00-0034829,Mike Gesicki,TE,CIN,2024,1,0,0,0,0,0,0,4,3,18,0
00-0034830,Hayden Hurst,TE,LAC,2024,1,0,0,0,0,0,0,3,2,33,0
00-0034837,Calvin Ridley,WR,TEN,2024,1,0,0,0,0,0,0,7,3,50,0
00-0034844,Saquon Barkley,RB,PHI,2024,1,0,0,0,24,109,2,2,2,23,1
00-0034855,Baker Mayfield,QB,TB,2024,1,30,289,4,3,21,0,0,0,0,0
00-0034857,Josh Allen,QB,BUF,2024,1,23,232,2,9,39,2,0,0,0,0
00-0034869,Sam Darnold,QB,MIN,2024,1,24,208,2,3,3,0,0,0,0,0
00-0034960,Jakobi Meyers,WR,LV,2024,1,0,0,0,1,3,0,3,3,61,0
00-0034972,Alexander Mattison,RB,LV,2024,1,0,0,0,5,19,0,6,4,43,1
00-0034975,Justice Hill,RB,BAL,2024,1,0,0,0,1,3,0,8,6,52,0
00-0034981,Foster Moreau,TE,NO,2024,1,0,0,0,0,0,0,4,4,43,1
00-0035021,Ashton Dulin,WR,IND,2024,1,0,0,0,0,0,0,1,1,54,1
00-0035125,Alec Ingold,FB,MIA,2024,1,0,0,0,2,8,0,1,0,0,0
00-0035208,Olamide Zaccheaus,WR,WAS,2024,1,0,0,0,0,0,0,3,1,15,0
00-0035216,Diontae Johnson,WR,CAR,2024,1,0,0,0,0,0,0,6,2,19,0
00-0035228,Kyler Murray,QB,ARI,2024,1,31,162,1,5,57,0,0,0,0,0
00-0035243,Miles Sanders,RB,CAR,2024,1,0,0,0,5,22,0,2,0,0,0
00-0035249,Josh Oliver,TE,MIN,2024,1,0,0,0,0,0,0,2,2,27,0
00-0035250,Devin Singletary,RB,NYG,2024,1,0,0,0,10,37,0,5,4,15,0
00-0035261,Tony Pollard,RB,TEN,2024,1,0,0,0,16,82,1,4,3,12,0
00-0035289,Gardner Minshew,QB,LV,2024,1,33,257,1,3,5,0,0,0,0,0
