season,team,play_caller,role,note
2022,ARI,Kliff Kingsbury,HC,
2022,ATL,Arthur Smith,HC,
2022,BAL,Greg Roman,OC,
2022,BUF,Ken Dorsey,OC,
2022,CAR,Ben McAdoo,OC,
2022,CHI,Luke Getsy,OC,
2022,CIN,Zac Taylor,HC,
2022,CLE,Kevin Stefanski,HC,
2022,DAL,Kellen Moore,OC,
2022,DEN,Nathaniel Hackett,HC,Justin Outten / Klint Kubiak late
2022,DET,Ben Johnson,OC,
2022,GB,Matt LaFleur,HC,
2022,HOU,Pep Hamilton,OC,
2022,IND,Frank Reich,HC,Parks Frazier after firing
2022,JAX,Doug Pederson,HC,
2022,KC,Andy Reid,HC,
2022,LV,Josh McDaniels,HC,
2022,LAC,Joe Lombardi,OC,
2022,LA,Sean McVay,HC,
2022,MIA,Mike McDaniel,HC,
2022,MIN,Kevin O'Connell,HC,
2022,NE,Matt Patricia,OC,de facto
2022,NO,Pete Carmichael,OC,
2022,NYG,Brian Daboll,HC,Mike Kafka shared
2022,NYJ,Mike LaFleur,OC,
2022,PHI,Shane Steichen,OC,
2022,PIT,Matt Canada,OC,
2022,SF,Kyle Shanahan,HC,
2022,SEA,Shane Waldron,OC,
2022,TB,Byron Leftwich,OC,
2022,TEN,Todd Downing,OC,
2022,WAS,Scott Turner,OC,
2023,ARI,Drew Petzing,OC,
2023,ATL,Arthur Smith,HC,
2023,BAL,Todd Monken,OC,
2023,BUF,Ken Dorsey,OC,Joe Brady from week 11
2023,CAR,Thomas Brown,OC,Frank Reich early then Brown
2023,CHI,Luke Getsy,OC,
2023,CIN,Zac Taylor,HC,
2023,CLE,Kevin Stefanski,HC,
2023,DAL,Mike McCarthy,HC,
2023,DEN,Sean Payton,HC,
2023,DET,Ben Johnson,OC,
2023,GB,Matt LaFleur,HC,
2023,HOU,Bobby Slowik,OC,
2023,IND,Shane Steichen,HC,
2023,JAX,Doug Pederson,HC,
2023,KC,Andy Reid,HC,
2023,LV,Josh McDaniels,HC,Bo Hardegree after week 8
2023,LAC,Kellen Moore,OC,
2023,LA,Sean McVay,HC,
2023,MIA,Mike McDaniel,HC,
2023,MIN,Kevin O'Connell,HC,
2023,NE,Bill O'Brien,OC,
2023,NO,Pete Carmichael,OC,
2023,NYG,Brian Daboll,HC,Mike Kafka shared
2023,NYJ,Nathaniel Hackett,OC,
2023,PHI,Brian Johnson,OC,
2023,PIT,Matt Canada,OC,Eddie Faulkner / Mike Sullivan from week 12
2023,SF,Kyle Shanahan,HC,
2023,SEA,Shane Waldron,OC,
2023,TB,Dave Canales,OC,
2023,TEN,Tim Kelly,OC,
2023,WAS,Eric Bieniemy,OC,
2024,ARI,Drew Petzing,OC,
2024,ATL,Zac Robinson,OC,
2024,BAL,Todd Monken,OC,
2024,BUF,Joe Brady,OC,
2024,CAR,Dave Canales,HC,
2024,CHI,Shane Waldron,OC,Thomas Brown from week 10
2024,CIN,Zac Taylor,HC,
2024,CLE,Kevin Stefanski,HC,Ken Dorsey from week 9
2024,DAL,Mike McCarthy,HC,
2024,DEN,Sean Payton,HC,
2024,DET,Ben Johnson,OC,
2024,GB,Matt LaFleur,HC,
2024,HOU,Bobby Slowik,OC,
2024,IND,Shane Steichen,HC,
2024,JAX,Doug Pederson,HC,Press Taylor shared
2024,KC,Andy Reid,HC,
2024,LV,Luke Getsy,OC,Scott Turner from week 10
2024,LAC,Greg Roman,OC,
2024,LA,Sean McVay,HC,
2024,MIA,Mike McDaniel,HC,
2024,MIN,Kevin O'Connell,HC,
2024,NE,Alex Van Pelt,OC,
2024,NO,Klint Kubiak,OC,
2024,NYG,Brian Daboll,HC,
2024,NYJ,Nathaniel Hackett,OC,Todd Downing from week 11
2024,PHI,Kellen Moore,OC,
2024,PIT,Arthur Smith,OC,
2024,SF,Kyle Shanahan,HC,
2024,SEA,Ryan Grubb,OC,
2024,TB,Liam Coen,OC,
2024,TEN,Brian Callahan,HC,
2024,WAS,Kliff Kingsbury,OC,
2025,ARI,Drew Petzing,OC,
2025,ATL,Zac Robinson,OC,
2025,BAL,Todd Monken,OC,
2025,BUF,Joe Brady,OC,
2025,CAR,Dave Canales,HC,
2025,CHI,Ben Johnson,HC,
2025,CIN,Zac Taylor,HC,
2025,CLE,Kevin Stefanski,HC,Tommy Rees
2025,DAL,Brian Schottenheimer,HC,
2025,DEN,Sean Payton,HC,
2025,DET,John Morton,OC,
2025,GB,Matt LaFleur,HC,
2025,HOU,Nick Caley,OC,
2025,IND,Shane Steichen,HC,
2025,JAX,Liam Coen,HC,
2025,KC,Andy Reid,HC,
2025,LV,Chip Kelly,OC,
2025,LAC,Greg Roman,OC,
2025,LA,Sean McVay,HC,
2025,MIA,Mike McDaniel,HC,
2025,MIN,Kevin O'Connell,HC,
2025,NE,Josh McDaniels,OC,
2025,NO,Kellen Moore,HC,
2025,NYG,Brian Daboll,HC,Mike Kafka interim HC from week 11
2025,NYJ,Tanner Engstrand,OC,
2025,PHI,Kevin Patullo,OC,
2025,PIT,Arthur Smith,OC,
2025,SF,Kyle Shanahan,HC,
2025,SEA,Klint Kubiak,OC,
2025,TB,Josh Grizzard,OC,
2025,TEN,Nick Holz,OC,Brian Callahan early
2025,WAS,Kliff Kingsbury,OC,
2026,ARI,Mike LaFleur,HC,
2026,ATL,Kevin Stefanski,HC,
2026,BAL,Declan Doyle,OC,
2026,BUF,Joe Brady,HC,
2026,CAR,Dave Canales,HC,
2026,CHI,Ben Johnson,HC,
2026,CIN,Zac Taylor,HC,
2026,CLE,Todd Monken,HC,
2026,DAL,Brian Schottenheimer,HC,
2026,DEN,Sean Payton,HC,
2026,DET,Drew Petzing,OC,
2026,GB,Matt LaFleur,HC,
2026,HOU,Nick Caley,OC,
2026,IND,Shane Steichen,HC,
2026,JAX,Liam Coen,HC,
2026,KC,Andy Reid,HC,
2026,LV,Klint Kubiak,HC,
2026,LAC,Mike McDaniel,OC,
2026,LA,Sean McVay,HC,
2026,MIA,Bobby Slowik,OC,
2026,MIN,Kevin O'Connell,HC,
2026,NE,Josh McDaniels,OC,
2026,NO,Kellen Moore,HC,
2026,NYG,Matt Nagy,OC,
2026,NYJ,Frank Reich,OC,
2026,PHI,Sean Mannion,OC,
2026,PIT,Mike McCarthy,HC,
2026,SF,Kyle Shanahan,HC,
