season,name,count
2024,Travis Vokolek,131
2024,Chris Moore,166
2024,Zach Pascal,482
2024,Jalen Thompson,39
2024,Taron Johnson,11
2024,Cole Bishop,21
2024,Rasul Douglas,43
2024,Christian Benford,43
2024,Budda Baker,39
2024,Sean Murphy-Bunting,39
2024,Max Melton,16
2024,Terrel Bernard,20
2024,Taylor Rapp,37
2024,Nicholas Morrow,18
2024,Mike Edwards,25
2024,Garrett Williams,33
2024,Dennis Gardeck,35
2024,Dorian Williams,37
2024,Dante Stills,25
2024,Ed Oliver,35
2024,Austin Johnson,25
2024,Mack Wilson Sr.,39
2024,Kyzir White,39
2024,Starling Thomas V,36
2024,Greg Rousseau,39
2024,Zaven Collins,34
2024,Justin Jones,17
2024,DaQuan Jones,33
2024,AJ Epenesa,38
2024,Kaiir Elam,23
2024,Baylon Spector,25
2024,Cam Lewis,38
2024,Victor Dimukeje,10
2024,Dawuane Smoot,6
2024,Roy Lopez,29
2024,Owen Pappoe,16
2024,DeWayne Carter,10
2024,Von Miller,21
2024,Bilal Nichols,26
2024,Ja'Marcus Ingram,15
2024,Joey Blount,2
2024,Damar Hamlin,37
2024,Deonte Harty,200
2024,Chris Collier,37
2024,Trent McDuffie,50
2024,Brandon Stephens,32
2024,Marcus Williams,32
2024,Kyle Hamilton,32
2024,Justin Reid,50
2024,Joshua Williams,31
2024,Marlon Humphrey,32
2024,Chamarri Conner,50
2024,Roquan Smith,32
2024,Bryan Cook,50
2024,Nick Bolton,50
2024,Jaylen Watson,50
2024,Trenton Simpson,32
2024,Drue Tranquill,50
2024,Leo Chenal,50
2024,Nate Wiggins,24
2024,Kyle Van Noy,30
2024,Justin Madubuike,31
2024,George Karlaftis,50
2024,Chris Jones,50
2024,Tershawn Wharton,44
2024,Mike Danna,43
2024,Felix Anudike-Uzomah,21
2024,Tavius Robinson,24
2024,Malik Harrison,19
2024,Michael Pierce,22
2024,Travis Jones,29
2024,Jalyn Armour-Davis,16
2024,Odafe Oweh,29
2024,Broderick Washington,20
2024,David Ojabo,27
2024,Ar'Darius Washington,25
2024,Eddie Jackson,27
2024,Brent Urban,5
2024,Nazeeh Johnson,36
2024,Derrick Nnadi,5
2024,A.T. Perry,51
2024,Ihmir Smith-Marsette,385
2024,Paulson Adebo,41
2024,Alontae Taylor,41
2024,Nick Scott,22
2024,Xavier Woods,26
2024,Jaycee Horn,26
2024,Marshon Lattimore,37
2024,Jordan Fuller,17
2024,Jordan Howden,30
2024,Shaq Thompson,22
2024,Tyrann Mathieu,39
2024,Troy Hill,26
2024,Pete Werner,34
2024,A'Shawn Robinson,23
2024,Derrick Brown,7
2024,Jadeveon Clowney,26
2024,Josey Jewell,22
2024,Demario Davis,37
2024,Willie Gay,22
2024,Michael Jackson,26
2024,Carl Granderson,41
2024,K'Lavon Chaisson,5
2024,Will Harris,36
2024,Chau Smith-Wade,9
2024,Shy Tuttle,14
2024,Bryan Bresee,37
2024,Kool-Aid McKinstry,18
2024,Cameron Jordan,26
2024,J.T. Gray,7
2024,Chase Young,37
2024,D'Marco Jackson,5
2024,DJ Johnson,25
2024,Eku Leota,6
2024,Anfernee Orji,8
2024,LaBryan Ray,20
2024,Messiah Swinson,14
2024,Khristian Boyd,5
2024,Trevin Wallace,7
2024,Lonnie Johnson Jr.,11
2024,Nathan Shepherd,26
2024,Nick Thurman,15
2024,Isaiah Foskey,5
2024,Payton Turner,10
2024,John Stephens Jr.,62
2024,Jeremiah Owusu-Koramoah,39
2024,Trevon Diggs,38
2024,Denzel Ward,39
2024,Eric Kendricks,38
2024,Greg Newsome II,39
2024,Jourdan Lewis,38
2024,Martin Emerson Jr.,39
2024,Juan Thornhill,5
2024,Markquese Bell,19
2024,Malik Hooker,38
2024,Jordan Hicks,35
2024,Damone Clark,27
2024,Caelen Carson,27
2024,Donovan Wilson,38
2024,Grant Delpit,39
2024,Micah Parsons,26
2024,Ogbo Okoronkwo,26
2024,Andrew Booth Jr.,10
2024,Osa Odighizuwa,35
