feature,bucket,target,n,hit,base,edge,y2024,y2025,ci_lo,ci_hi,both_beat_base,n24,n25
QB pass-att lean,up,team_total_OVER,469,51.6,50.9,0.7,52.4,50.8,47,56,False,229,240
QB pass-att lean,up,team_total_UNDER,469,48.0,48.6,-0.6,46.7,49.2,43,52,False,229,240
QB pass-att lean,up,game_total_OVER,469,53.5,50.1,3.5,55.9,51.2,49,58,True,229,240
QB pass-att lean,up,game_total_UNDER,469,45.8,48.4,-2.6,42.8,48.8,41,50,False,229,240
QB pass-att lean,up,spread_COVER,466,50.4,50.0,0.4,50.7,50.2,46,55,True,227,239
QB pass-att lean,up,moneyline_WIN,468,45.7,50.0,-4.3,45.0,46.4,41,50,False,229,239
QB pass-att lean,up,WR1_recyds_OVER,459,45.5,46.7,-1.2,49.8,41.5,41,50,False,223,236
QB pass-att lean,up,RB1_rushyds_OVER,465,46.9,48.6,-1.7,44.0,49.6,42,51,False,225,240
QB pass-att lean,up,QB_passyds_OVER,465,49.9,50.4,-0.5,50.4,49.4,45,54,False,228,237
QB pass-att lean,down,team_total_OVER,485,54.0,50.9,3.1,53.1,54.7,50,58,True,211,274
QB pass-att lean,down,team_total_UNDER,485,45.2,48.6,-3.4,45.5,44.9,41,50,False,211,274
QB pass-att lean,down,game_total_OVER,485,51.3,50.1,1.3,50.2,52.2,47,56,True,211,274
QB pass-att lean,down,game_total_UNDER,485,46.2,48.4,-2.2,46.4,46.0,42,51,False,211,274
QB pass-att lean,down,spread_COVER,477,50.9,50.0,0.9,51.5,50.5,46,55,True,204,273
QB pass-att lean,down,moneyline_WIN,484,58.5,50.0,8.5,60.2,57.1,54,63,True,211,273
QB pass-att lean,down,WR1_recyds_OVER,474,47.9,46.7,1.1,51.2,45.3,43,52,False,207,267
QB pass-att lean,down,RB1_rushyds_OVER,480,52.9,48.6,4.3,54.5,51.7,48,57,True,209,271
QB pass-att lean,down,QB_passyds_OVER,480,50.8,50.4,0.5,51.2,50.6,46,55,True,209,271
QB pass-att lean,strong_up,team_total_OVER,245,49.8,50.9,-1.1,49.6,50.0,44,56,False,121,124
QB pass-att lean,strong_up,team_total_UNDER,245,50.2,48.6,1.6,50.4,50.0,44,56,True,121,124
QB pass-att lean,strong_up,game_total_OVER,245,53.1,50.1,3.0,53.7,52.4,47,59,True,121,124
QB pass-att lean,strong_up,game_total_UNDER,245,46.5,48.4,-1.9,45.5,47.6,40,53,False,121,124
QB pass-att lean,strong_up,spread_COVER,245,46.1,50.0,-3.9,46.3,46.0,40,52,False,121,124
QB pass-att lean,strong_up,moneyline_WIN,245,38.0,50.0,-12.0,37.2,38.7,32,44,False,121,124
QB pass-att lean,strong_up,WR1_recyds_OVER,241,42.7,46.7,-4.0,49.2,36.6,37,49,False,118,123
QB pass-att lean,strong_up,RB1_rushyds_OVER,242,43.0,48.6,-5.6,38.1,47.6,37,49,False,118,124
QB pass-att lean,strong_up,QB_passyds_OVER,242,46.7,50.4,-3.7,47.1,46.3,41,53,False,121,121
QB pass-att lean,strong_down,team_total_OVER,245,54.7,50.9,3.8,55.4,54.1,48,61,True,112,133
QB pass-att lean,strong_down,team_total_UNDER,245,43.7,48.6,-4.9,42.0,45.1,38,50,False,112,133
QB pass-att lean,strong_down,game_total_OVER,245,52.2,50.1,2.2,52.7,51.9,46,58,True,112,133
QB pass-att lean,strong_down,game_total_UNDER,245,46.5,48.4,-1.9,45.5,47.4,40,53,False,112,133
QB pass-att lean,strong_down,spread_COVER,241,50.6,50.0,0.6,48.1,52.6,44,57,False,108,133
QB pass-att lean,strong_down,moneyline_WIN,244,63.9,50.0,13.9,63.4,64.4,58,70,True,112,132
QB pass-att lean,strong_down,WR1_recyds_OVER,236,48.7,46.7,2.0,50.5,47.2,42,55,True,109,127
QB pass-att lean,strong_down,RB1_rushyds_OVER,241,48.5,48.6,-0.1,50.5,46.9,42,55,False,111,130
QB pass-att lean,strong_down,QB_passyds_OVER,240,54.2,50.4,3.8,54.5,53.8,48,60,True,110,130
QB pass-comp lean,up,team_total_OVER,464,53.0,50.9,2.1,55.5,50.8,48,58,False,218,246
QB pass-comp lean,up,team_total_UNDER,464,46.6,48.6,-2.0,43.6,49.2,42,51,False,218,246
QB pass-comp lean,up,game_total_OVER,464,54.5,50.1,4.5,58.7,50.8,50,59,True,218,246
QB pass-comp lean,up,game_total_UNDER,464,44.6,48.4,-3.8,39.9,48.8,40,49,False,218,246
QB pass-comp lean,up,spread_COVER,461,49.2,50.0,-0.8,49.5,49.0,45,54,False,216,245
QB pass-comp lean,up,moneyline_WIN,463,47.1,50.0,-2.9,46.3,47.8,43,52,False,218,245
QB pass-comp lean,up,WR1_recyds_OVER,458,47.2,46.7,0.4,52.1,42.8,43,52,False,215,243
QB pass-comp lean,up,RB1_rushyds_OVER,460,47.4,48.6,-1.2,46.3,48.4,43,52,False,214,246
QB pass-comp lean,up,QB_passyds_OVER,460,51.5,50.4,1.2,52.1,51.0,47,56,True,217,243
QB pass-comp lean,down,team_total_OVER,480,52.7,50.9,1.8,50.7,54.3,48,57,False,211,269
QB pass-comp lean,down,team_total_UNDER,480,46.5,48.6,-2.1,47.9,45.4,42,51,False,211,269
QB pass-comp lean,down,game_total_OVER,480,51.5,50.1,1.4,49.8,52.8,47,56,False,211,269
QB pass-comp lean,down,game_total_UNDER,480,46.2,48.4,-2.2,47.4,45.4,42,51,False,211,269
QB pass-comp lean,down,spread_COVER,472,51.9,50.0,1.9,52.5,51.5,47,56,True,204,268
QB pass-comp lean,down,moneyline_WIN,479,56.6,50.0,6.6,57.8,55.6,52,61,True,211,268
