TOTAL ATS singles+2-way passers: 104
DISTINCT underlying trends (after collapsing identical game-sets): 100

 dir rule                                              n  pool%  beat  right  per-season cover%
FADE road_fav & letdown                              196  57.1  7/8   8/8   2018:59 2019:56 2020:57 2021:58 2022:57 2023:60 2024:52 2025:60
FADE fav & letdown                                   503  57.1  7/8   7/8   2018:63 2019:61 2020:57 2021:59 2022:59 2023:55 2024:60 2025:46
FADE home_fav & letdown                              307  57.0  7/8   7/8   2018:66 2019:65 2020:57 2021:59 2022:59 2023:52 2024:68 2025:36
BACK fav & pre_bye                                   144  59.7  6/8   7/8   2018:50 2019:53 2020:38 2021:52 2022:84 2023:67 2024:67 2025:68
FADE rest_edge>=3 & blowout_loss_last                 74  59.5  6/8   7/8   2018:67 2019:62 2020:60 2021:55 2022:29 2023:56 2024:82 2025:50
FADE road_fav & cover_streak>=3                      102  58.8  6/8   7/8   2018:58 2019:50 2020:53 2021:45 2022:61 2023:62 2024:82 2025:59
BACK win_streak>=3 & lookahead                       178  58.4  6/8   7/8   2018:47 2019:68 2020:50 2021:58 2022:60 2023:55 2024:65 2025:61
BACK road_dog & win_streak>=3                        146  56.8  6/8   7/8   2018:71 2019:36 2020:73 2021:62 2022:50 2023:54 2024:53 2025:56
BACK off_noncover & lookahead                        462  56.3  6/8   7/8   2018:54 2019:66 2020:49 2021:59 2022:55 2023:58 2024:50 2025:58
BACK pre_bye                                         275  56.0  6/8   7/8   2018:53 2019:63 2020:50 2021:47 2022:69 2023:53 2024:53 2025:58
FADE thursday & pr_better>=3                          81  55.6  6/8   7/8   2018:17 2019:58 2020:60 2021:57 2022:57 2023:50 2024:55 2025:75
FADE blowout_win_last & cover_streak>=2              342  55.3  6/8   7/8   2018:60 2019:55 2020:58 2021:50 2022:53 2023:60 2024:58 2025:46
FADE road_fav & win_streak>=3                        182  53.8  6/8   7/8   2018:58 2019:50 2020:54 2021:56 2022:55 2023:36 2024:60 2025:56
BACK lookahead & div_revenge                          82  53.7  6/7   6/7   2018:58 2019:55 2020:54 2022:29 2023:57 2024:60 2025:73
BACK home_fav & pre_bye                               85  61.2  6/8   6/8   2018:47 2019:60 2020:42 2021:56 2022:78 2023:62 2024:82 2025:78
BACK pre_bye & div_game                               83  60.2  6/8   6/8   2018:62 2019:69 2020:70 2021:27 2022:75 2023:55 2024:40 2025:75
BACK long_rest>=10 & lookahead                       149  59.1  6/8   6/8   2018:60 2019:69 2020:53 2021:54 2022:45 2023:73 2024:48 2025:73
FADE long_rest>=10 & blowout_loss_last                87  58.6  6/8   6/8   2018:64 2019:56 2020:67 2021:55 2022:38 2023:55 2024:82 2025:45
BACK pre_bye & pr_better>=3                           96  58.3  6/8   6/8   2018:54 2019:55 2020:43 2021:46 2022:85 2023:55 2024:64 2025:70
FADE cover_streak>=3 & letdown                       114  57.0  6/8   6/8   2018:42 2019:75 2020:55 2021:53 2022:36 2023:67 2024:64 2025:57
FADE big_dog>=7 & div_revenge                        108  56.5  6/8   6/8   2018:53 2019:69 2020:38 2021:75 2022:42 2023:56 2024:57 2025:56
BACK blowout_win_last & lookahead                    195  55.9  6/8   6/8   2018:55 2019:62 2020:45 2021:58 2022:44 2023:58 2024:56 2025:65
BACK pre_bye & off_cover                             137  55.5  6/8   6/8   2018:47 2019:61 2020:53 2021:39 2022:64 2023:61 2024:58 2025:62
BACK big_dog>=7 & primetime                          123  55.3  6/8   6/8   2018:55 2019:58 2020:65 2021:39 2022:58 2023:65 2024:43 2025:59
FADE big_fav<=-7 & primetime                         123  55.3  6/8   6/8   2018:55 2019:58 2020:65 2021:39 2022:58 2023:65 2024:43 2025:59
BACK lookahead & pr_worse<=-3                        286  54.9  6/8   6/8   2018:44 2019:70 2020:63 2021:33 2022:66 2023:58 2024:56 2025:53
BACK road_dog & off_noncover                         610  53.9  6/8   6/8   2018:59 2019:58 2020:54 2021:55 2022:58 2023:45 2024:46 2025:57
BACK dog & off_noncover                             1034  53.5  6/8   6/8   2018:58 2019:54 2020:58 2021:54 2022:58 2023:46 2024:45 2025:55
BACK pre_bye & lookahead                              74  62.2  5/7   7/7   2018:50 2019:85 2020:50 2021:57 2023:69 2024:60 2025:64
BACK pre_bye & outdoor                               205  58.0  5/8   7/8   2018:48 2019:63 2020:60 2021:52 2022:71 2023:50 2024:54 2025:64
