season,week,leg1,leg2,l1_won,l2_won,l1_score,l2_score,l1_bucket,l2_bucket,l1_sig,l2_sig,l1_sharp,l2_sharp,combo,both
2025,1,DET@GB spread/AWAY/-2.5->-8.5,HOU@LAR spread/AWAY/-2.5->-8.5,0.0,1.0,0.8694736842105264,0.8694736842105264,0.7894736842105263,0.7894736842105263,1,1,1,1,spread+spread,0.0
2025,2,TB@HOU spread/AWAY/-2->-8,SEA@PIT spread/AWAY/-2.5->-8.5,1.0,1.0,0.9688888888888889,0.8694736842105264,0.8888888888888888,0.7894736842105263,1,1,1,1,spread+spread,1.0
2025,3,KC@NYG spread/AWAY/+6->+0,LV@WAS spread/AWAY/-6.5->-12.5,1.0,0.0,0.9310638297872341,0.8736507936507937,0.851063829787234,0.7936507936507936,1,1,1,1,spread+spread,0.0
2025,4,CHI@LV spread/AWAY/-2->-8,NYJ@MIA spread/AWAY/-2.5->-8.5,1.0,1.0,0.9188888888888889,0.8394736842105264,0.8888888888888888,0.7894736842105263,0,1,1,0,spread+spread,1.0
2025,5,DET@CIN spread/AWAY/+7.5->+1.5,TB@SEA spread/AWAY/-2->-8,1.0,1.0,0.9188888888888889,0.9188888888888889,0.8888888888888888,0.8888888888888888,0,0,1,1,spread+spread,1.0
2025,6,SF@TB spread/AWAY/-2->-8,LAR@BAL spread/AWAY/+7.5->+1.5,0.0,1.0,0.9388888888888889,0.9188888888888889,0.8888888888888888,0.8888888888888888,1,0,0,1,spread+spread,0.0
2025,7,NE@TEN spread/AWAY/+6->+0,PHI@MIN total/OVER/+42.5->+36.5,1.0,1.0,0.9310638297872341,0.8687096774193549,0.851063829787234,0.8387096774193549,1,0,1,1,spread+total,1.0
2025,8,NYJ@CIN total/OVER/+42.5->+36.5,NYG@PHI total/OVER/+42.5->+36.5,1.0,1.0,0.8887096774193549,0.8887096774193549,0.8387096774193549,0.8387096774193549,1,1,0,0,total+total,1.0
2025,9,KC@BUF spread/HOME/+1.5->+7.5,DEN@HOU total/OVER/+39->+33,1.0,,0.8431578947368422,0.8395238095238096,0.7631578947368421,0.8095238095238095,1,0,1,1,spread+total,
2025,10,PHI@GB spread/AWAY/-3->-9,BUF@MIA total/UNDER/+50->+56,1.0,1.0,0.8482926829268294,0.8355555555555556,0.7682926829268293,0.8055555555555556,1,0,1,1,spread+total,1.0
2025,11,HOU@TEN spread/AWAY/+7.5->+1.5,NYJ@NE spread/HOME/-10.5->-4.5,1.0,1.0,0.9188888888888889,0.8527272727272728,0.8888888888888888,0.7727272727272727,0,1,1,1,spread+spread,1.0
2025,12,CLE@LV spread/AWAY/-2->-8,SEA@TEN total/OVER/+42.5->+36.5,1.0,1.0,0.9188888888888889,0.8687096774193549,0.8888888888888888,0.8387096774193549,0,0,1,1,spread+total,1.0
2025,13,JAX@TEN total/OVER/+42.5->+36.5,HOU@IND spread/AWAY/-4->-10,0.0,1.0,0.8687096774193549,0.8577777777777779,0.8387096774193549,0.7777777777777778,0,1,1,1,spread+total,0.0
2025,14,SEA@ATL spread/AWAY/+7.5->+1.5,PIT@BAL spread/AWAY/-6.5->-12.5,1.0,1.0,0.9188888888888889,0.8736507936507937,0.8888888888888888,0.7936507936507936,0,1,1,1,spread+spread,1.0
2025,15,ARI@HOU total/OVER/+42.5->+36.5,MIA@PIT total/OVER/+42.5->+36.5,1.0,1.0,0.8687096774193549,0.8687096774193549,0.8387096774193549,0.8387096774193549,0,0,1,1,total+total,1.0
2025,16,PIT@DET spread/AWAY/-6.5->-12.5,MIN@NYG spread/HOME/+1.5->+7.5,1.0,1.0,0.8736507936507937,0.8431578947368422,0.7936507936507936,0.7631578947368421,1,1,1,1,spread+spread,1.0
2025,17,DEN@KC spread/AWAY/+6->+0,SEA@CAR spread/AWAY/+7.5->+1.5,1.0,1.0,0.9310638297872341,0.9188888888888889,0.851063829787234,0.8888888888888888,1,0,1,1,spread+spread,1.0
2025,18,DET@CHI spread/AWAY/-2->-8,ARI@LAR spread/HOME/-9.5->-3.5,1.0,1.0,0.9188888888888889,0.8300000000000001,0.8888888888888888,0.8,0,0,1,1,spread+spread,1.0
2025,19,HOU@PIT total/UNDER/+39.5->+45.5,BUF@JAX spread/HOME/+1->+7,1.0,1.0,0.8137837837837838,0.8,0.7837837837837838,0.75,0,1,1,0,spread+total,1.0
2025,20,LAR@CHI spread/HOME/+4->+10,HOU@NE total/OVER/+41->+35,1.0,1.0,1.025945945945946,0.8766101694915255,0.9459459459459459,0.7966101694915254,1,1,1,1,spread+total,1.0
