pick_id,season,week,home_ab,away_ab,source,pick,bet_line,open_total,close_total,total_move,tier,move_contradicts,won,actual_total,pnl_110
2024-W04-BUF@BAL-S2-UNDER,2024,4,BAL,BUF,S2_form_under_mid,UNDER,45.5,45.5,47.0,1.5,1,True,1,45,0.9090909090909091
2024-W04-CIN@CAR-S2-UNDER,2024,4,CAR,CIN,S2_form_under_mid,UNDER,43.25,43.25,46.75,3.5,1,True,0,58,-1.0
2024-W09-NO@CAR-S2-UNDER,2024,9,CAR,NO,S2_form_under_mid,UNDER,46.0,46.0,43.5,-2.5,2,False,1,45,0.9090909090909091
2024-W09-LV@CIN-S2-UNDER,2024,9,CIN,LV,S2_form_under_mid,UNDER,45.5,45.5,45.0,-0.5,2,False,0,65,-1.0
2024-W03-WAS@CIN-S1-UNDER,2024,3,CIN,WAS,S1_cross_book,UNDER,46.166666666666664,46.0,46.0,-1.5,2,False,0,71,-1.0
2024-W17-MIA@CLE-S1-OVER,2024,17,CLE,MIA,S1_cross_book,OVER,32.5,32.5,32.5,-9.25,1,True,0,23,-1.0
2024-W14-CIN@DAL-S2-UNDER,2024,14,DAL,CIN,S2_form_under_mid,UNDER,45.5,45.5,50.5,5.0,1,True,0,47,-1.0
2024-W18-WAS@DAL-S2-UNDER,2024,18,DAL,WAS,S2_form_under_mid,UNDER,45.0,45.0,43.5,-1.5,2,False,1,42,0.9090909090909091
2024-W14-GB@DET-S1-UNDER,2024,14,DET,GB,S1_cross_book,UNDER,53.5,53.0,53.0,1.5,1,True,0,65,-1.0
2024-W18-JAX@IND-S1-OVER,2024,18,IND,JAX,S1_cross_book,OVER,45.5,45.5,45.5,1.0,2,False,1,49,0.9090909090909091
2024-W05-IND@JAX-S1-UNDER,2024,5,JAX,IND,S1_cross_book,UNDER,45.166666666666664,45.0,45.0,-0.5,2,False,0,71,-1.0
2024-W17-TEN@JAX-S1-OVER,2024,17,JAX,TEN,S1_cross_book,OVER,37.833333333333336,38.0,38.0,-1.5,1,True,0,33,-1.0
2024-W02-CIN@KC-S1-UNDER,2024,2,KC,CIN,S1_cross_book,UNDER,48.0,47.5,47.5,-1.0,2,False,0,51,-1.0
2024-W16-HOU@KC-S1-OVER,2024,16,KC,HOU,S1_cross_book,OVER,41.0,41.5,41.5,-3.0,1,True,1,46,0.9090909090909091
2024-W20-HOU@KC-S1-OVER,2024,20,KC,HOU,S1_cross_book,OVER,41.0,41.5,41.5,-3.0,1,True,0,37,-1.0
2024-W09-TB@KC-S1-UNDER,2024,9,KC,TB,S1_cross_book,UNDER,46.0,46.0,45.5,1.0,1,True,0,54,-1.0
2024-W10-TEN@LAC-S1-OVER,2024,10,LAC,TEN,S1_cross_book,OVER,39.5,39.5,39.75,1.75,2,False,1,44,0.9090909090909091
2024-W14-BUF@LAR-S1-OVER,2024,14,LAR,BUF,S1_cross_book,OVER,49.666666666666664,49.5,49.75,1.25,2,False,1,86,0.9090909090909091
2024-W05-GB@LAR-S2-UNDER,2024,5,LAR,GB,S2_form_under_mid,UNDER,46.0,46.0,49.5,3.5,1,True,1,43,0.9090909090909091
2024-W07-LV@LAR-S2-UNDER,2024,7,LAR,LV,S2_form_under_mid,UNDER,44.0,44.0,43.5,-0.5,2,False,1,35,0.9090909090909091
2024-W08-MIN@LAR-S1-OVER,2024,8,LAR,MIN,S1_cross_book,OVER,47.5,47.5,47.5,1.0,2,False,1,50,0.9090909090909091
2024-W19-MIN@LAR-S1-OVER,2024,19,LAR,MIN,S1_cross_book,OVER,47.5,47.5,47.5,1.0,2,False,0,36,-1.0
2024-W08-KC@LV-S1-OVER,2024,8,LV,KC,S1_cross_book,OVER,42.0,42.0,42.5,-1.0,1,True,1,47,0.9090909090909091
2024-W13-LAR@NO-S1-UNDER,2024,13,NO,LAR,S1_cross_book,UNDER,49.166666666666664,49.0,49.0,2.5,1,True,1,35,0.9090909090909091
2024-W06-TB@NO-S2-UNDER,2024,6,NO,TB,S2_form_under_mid,UNDER,44.5,44.5,42.5,-2.0,2,False,0,78,-1.0
2024-W01-MIN@NYG-S1-UNDER,2024,1,NYG,MIN,S1_cross_book,UNDER,42.166666666666664,42.0,42.0,0.5,1,True,1,34,0.9090909090909091
2024-W07-KC@SF-S1-UNDER,2024,7,SF,KC,S1_cross_book,UNDER,47.666666666666664,47.0,47.0,0.5,1,True,1,46,0.9090909090909091
2024-W11-SEA@SF-S1-OVER,2024,11,SF,SEA,S1_cross_book,OVER,48.5,49.0,49.0,0.0,2,False,0,37,-1.0
2024-W08-ATL@TB-S1-OVER,2024,8,TB,ATL,S1_cross_book,OVER,46.5,47.0,46.75,-1.75,1,True,1,57,0.9090909090909091
2024-W14-LV@TB-S2-UNDER,2024,14,TB,LV,S2_form_under_mid,UNDER,45.0,45.0,47.0,2.0,1,True,1,41,0.9090909090909091
2024-W18-NO@TB-S1-UNDER,2024,18,TB,NO,S1_cross_book,UNDER,44.666666666666664,45.0,44.5,1.0,1,True,0,46,-1.0
2024-W19-WAS@TB-S2-UNDER,2024,19,TB,WAS,S2_form_under_mid,UNDER,43.5,43.5,51.5,8.0,1,True,1,43,0.9090909090909091
2024-W02-NYJ@TEN-S1-UNDER,2024,2,TEN,NYJ,S1_cross_book,UNDER,41.5,41.5,41.5,-2.0,2,False,1,41,0.9090909090909091
2024-W07-CAR@WAS-S1-UNDER,2024,7,WAS,CAR,S1_cross_book,UNDER,51.333333333333336,51.5,51.0,2.5,1,True,1,47,0.9090909090909091
2024-W12-DAL@WAS-S2-UNDER,2024,12,WAS,DAL,S2_form_under_mid,UNDER,44.75,44.75,44.5,-0.25,2,False,0,60,-1.0
