pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,pt_b15,pt_b55,edge_b15,edge_b55,away_ab,home_ab,actual_total,win,clv_pts,roi_u
2025-W04-NO@BUF-CT,2025,4,NO@BUF,consensus_totals,total,UNDER 47.5,-2,47.5,48.5,2.34,45.16,41.8,-2.34,-5.7,NO,BUF,50,0.0,-1.0,-1.0
2025-W04-TEN@HOU-CTHC,2025,4,TEN@HOU,consensus_totals_HC,total,OVER 40.5,-1,40.5,39.5,5.49,47.16,45.99,6.66,5.49,TEN,HOU,26,0.0,-1.0,-1.0
2025-W04-CHI@LV-CT,2025,4,CHI@LV,consensus_totals,total,UNDER 46.5,-2,46.5,47.5,2.12,44.05,44.38,-2.45,-2.12,CHI,LV,49,0.0,-1.0,-1.0
2025-W05-HOU@BAL-CT,2025,5,HOU@BAL,consensus_totals,total,UNDER 46,-2,46.0,41.0,2.16,43.84,38.45,-2.16,-7.55,HOU,BAL,54,0.0,5.0,-1.0
2025-W05-MIA@CAR-CTHC,2025,5,MIA@CAR,consensus_totals_HC,total,UNDER 46,-2,46.0,44.0,3.64,42.0,42.36,-4.0,-3.64,MIA,CAR,51,0.0,2.0,-1.0
2025-W05-LV@IND-CT,2025,5,LV@IND,consensus_totals,total,UNDER 48.5,-2,48.5,46.5,2.95,45.55,45.44,-2.95,-3.06,LV,IND,46,1.0,2.0,0.9090909090909091
2025-W05-WAS@LAC-CTHC,2025,5,WAS@LAC,consensus_totals_HC,total,UNDER 48.5,-2,48.5,47.5,4.96,43.54,43.54,-4.96,-4.96,WAS,LAC,37,1.0,1.0,0.9090909090909091
2025-W05-DEN@PHI-CT,2025,5,DEN@PHI,consensus_totals,total,OVER 43.5,-1,43.5,44.0,2.55,46.48,46.05,2.98,2.55,DEN,PHI,38,0.0,0.5,-1.0
2025-W05-TB@SEA-CTHC,2025,5,TB@SEA,consensus_totals_HC,total,OVER 44.5,-1,44.5,44.5,5.35,49.85,52.26,5.35,7.76,TB,SEA,73,1.0,0.0,0.9090909090909091
2025-W06-BUF@ATL-CTHC,2025,6,BUF@ATL,consensus_totals_HC,total,UNDER 50,-2,50.0,49.5,5.45,43.56,44.55,-6.44,-5.45,BUF,ATL,38,1.0,0.5,0.9090909090909091
2025-W06-CIN@GB-CTHC,2025,6,CIN@GB,consensus_totals_HC,total,OVER 44.5,-1,44.5,44.5,3.13,49.37,47.63,4.87,3.13,CIN,GB,45,1.0,0.0,0.9090909090909091
2025-W06-NE@NO-CT,2025,6,NE@NO,consensus_totals,total,UNDER 45,-2,45.0,46.0,2.7,41.51,42.3,-3.49,-2.7,NE,NO,44,1.0,-1.0,0.9090909090909091
2025-W06-CHI@WAS-CT,2025,6,CHI@WAS,consensus_totals,total,UNDER 50.5,-2,50.5,49.0,2.65,47.85,44.18,-2.65,-6.32,CHI,WAS,49,1.0,1.5,0.9090909090909091
2025-W07-NO@CHI-CT,2025,7,NO@CHI,consensus_totals,total,UNDER 45.5,-2,45.5,43.5,2.93,36.39,42.57,-9.11,-2.93,NO,CHI,40,1.0,2.0,0.9090909090909091
2025-W07-MIA@CLE-CTHC,2025,7,MIA@CLE,consensus_totals_HC,total,UNDER 41.5,-2,41.5,34.5,4.52,36.98,35.88,-4.52,-5.62,MIA,CLE,37,1.0,7.0,0.9090909090909091
2025-W07-LAR@JAX-CTHC,2025,7,LAR@JAX,consensus_totals_HC,total,UNDER 46.5,-2,46.5,44.5,3.18,42.82,43.32,-3.68,-3.18,LAR,JAX,42,1.0,2.0,0.9090909090909091
2025-W07-IND@LAC-CTHC,2025,7,IND@LAC,consensus_totals_HC,total,OVER 48,-1,48.0,48.5,3.09,51.09,52.81,3.09,4.81,IND,LAC,62,1.0,0.5,0.9090909090909091
2025-W07-CAR@NYJ-CT,2025,7,CAR@NYJ,consensus_totals,total,UNDER 44.5,-2,44.5,40.0,2.61,38.87,41.89,-5.63,-2.61,CAR,NYJ,19,1.0,4.5,0.9090909090909091
