pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,pt_b15,pt_b55,edge_b15,edge_b55,away_ab,home_ab,actual_total,win,clv_pts,roi_u
2025-W04-TEN@HOU-CT,2025,4,TEN@HOU,consensus_totals,total,OVER 40.5,-1,40.5,39.5,2.59,46.68,43.09,6.18,2.59,TEN,HOU,26,0.0,-1.0,-1.0
2025-W05-HOU@BAL-CT,2025,5,HOU@BAL,consensus_totals,total,UNDER 46,-2,46.0,41.0,2.99,43.01,36.53,-2.99,-9.47,HOU,BAL,54,0.0,5.0,-1.0
2025-W05-NE@BUF-CTHC,2025,5,NE@BUF,consensus_totals_HC,total,UNDER 49,-2,49.0,49.0,3.47,44.85,45.53,-4.15,-3.47,NE,BUF,43,1.0,0.0,0.9090909090909091
2025-W05-MIA@CAR-CTHC,2025,5,MIA@CAR,consensus_totals_HC,total,UNDER 46,-2,46.0,44.0,4.01,41.99,37.66,-4.01,-8.34,MIA,CAR,51,0.0,2.0,-1.0
2025-W05-LV@IND-CTHC,2025,5,LV@IND,consensus_totals_HC,total,UNDER 48.5,-2,48.5,46.5,3.27,45.23,44.72,-3.27,-3.78,LV,IND,46,1.0,2.0,0.9090909090909091
2025-W05-WAS@LAC-CTHC,2025,5,WAS@LAC,consensus_totals_HC,total,UNDER 48.5,-2,48.5,47.5,3.64,44.86,44.15,-3.64,-4.35,WAS,LAC,37,1.0,1.0,0.9090909090909091
2025-W05-SF@LAR-CTHC,2025,5,SF@LAR,consensus_totals_HC,total,UNDER 47,-2,47.0,43.5,3.68,43.01,43.32,-3.99,-3.68,SF,LAR,49,0.0,3.5,-1.0
2025-W05-DEN@PHI-CT,2025,5,DEN@PHI,consensus_totals,total,OVER 43.5,-1,43.5,44.0,2.47,47.1,45.97,3.6,2.47,DEN,PHI,38,0.0,0.5,-1.0
2025-W06-BUF@ATL-CT,2025,6,BUF@ATL,consensus_totals,total,UNDER 50,-2,50.0,49.5,2.4,44.74,47.6,-5.26,-2.4,BUF,ATL,38,1.0,0.5,0.9090909090909091
2025-W06-CIN@GB-CTHC,2025,6,CIN@GB,consensus_totals_HC,total,OVER 44.5,-1,44.5,44.5,5.84,51.38,50.34,6.88,5.84,CIN,GB,45,1.0,0.0,0.9090909090909091
