unique_id,season,week,away_team,home_team,market_spread,fair_spread,spread_disc,market_total,fair_total,total_disc,confidence,abstain_spread,abstain_total,abstain_reason,totals_lean,home_score,away_score
AtlantaWashington20214,2021,4,Washington,Atlanta,2.0,0.78,1.22,47.0,51.67,4.67,HIGH,False,True,total-divergence +4.7,,30,34
BuffaloHouston20214,2021,4,Houston,Buffalo,-18.5,-13.6,-4.9,47.5,48.48,0.98,ABSTAIN(blindspot),True,True,QB-out/doubtful; spread-divergence -4.9,,40,0
ChicagoDetroit20214,2021,4,Detroit,Chicago,-3.0,-3.17,0.17,41.5,48.77,7.27,HIGH,False,True,total-divergence +7.3,,24,14
CincinnatiJacksonville20214,2021,4,Jacksonville,Cincinnati,-7.5,-7.1,-0.4,46.0,47.46,1.46,HIGH,False,False,,UNDER (primetime),24,21
DallasCarolina20214,2021,4,Carolina,Dallas,-4.5,-3.12,-1.38,51.5,53.14,1.64,HIGH,False,False,,,36,28
DenverBaltimore20214,2021,4,Baltimore,Denver,-1.0,-2.4,1.4,44.0,46.38,2.38,HIGH,False,False,,,7,23
Green BayPittsburgh20214,2021,4,Pittsburgh,Green Bay,-6.0,-3.91,-2.09,45.0,49.0,4.0,MEDIUM,False,True,total-divergence +4.0,,27,17
LA ChargersLas Vegas20214,2021,4,Las Vegas,LA Chargers,-3.0,-2.77,-0.23,51.5,51.99,0.49,HIGH,False,False,,UNDER (primetime),28,14
LA RamsArizona20214,2021,4,Arizona,LA Rams,-3.5,-3.0,-0.5,54.0,46.66,-7.34,HIGH,False,True,total-divergence -7.3,,20,37
MiamiIndianapolis20214,2021,4,Indianapolis,Miami,-2.5,1.82,-4.32,42.0,46.41,4.41,ABSTAIN(blindspot),True,True,backup-QB; spread-divergence -4.3; total-divergence +4.4,,17,27
MinnesotaCleveland20214,2021,4,Cleveland,Minnesota,1.0,-0.82,1.82,51.5,52.09,0.59,MEDIUM,False,False,,,7,14
