pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2024-W01-PIT@ATL-S,2024,1,PIT@ATL,sides_model,spread,PIT +3,0,-3.0,-4.0,-0.036,PIT,ATL,-8,28,1.0,-1.0,0.9090909090909091
2024-W01-PIT@ATL-W1U,2024,1,PIT@ATL,week1_def_under,total,UNDER 41,-2,41.0,42.5,-3.6,PIT,ATL,-8,28,1.0,-1.5,0.9090909090909091
2024-W01-ARI@BUF-S,2024,1,ARI@BUF,sides_model,spread,ARI +6,0,-6.0,-6.5,-0.086,ARI,BUF,6,62,,-0.5,0.0
2024-W01-ARI@BUF-U,2024,1,ARI@BUF,wind_under,total,UNDER 48,-2,48.0,45.5,16.8,ARI,BUF,6,62,0.0,2.5,-1.0
2024-W01-TEN@CHI-S,2024,1,TEN@CHI,sides_model,spread,TEN +4.5,0,-4.5,-4.0,-0.048,TEN,CHI,7,41,0.0,0.5,-1.0
2024-W01-NE@CIN-S,2024,1,NE@CIN,sides_model,spread,NE +8.5,0,-8.5,-7.5,-0.138,NE,CIN,-6,26,1.0,1.0,0.9090909090909091
2024-W01-NE@CIN-W1U,2024,1,NE@CIN,week1_def_under,total,UNDER 40.5,-2,40.5,41.0,-1.9,NE,CIN,-6,26,1.0,-0.5,0.9090909090909091
2024-W01-DAL@CLE-U,2024,1,DAL@CLE,wind_under,total,UNDER 42,-2,42.0,42.0,17.1,DAL,CLE,-16,50,0.0,0.0,-1.0
2024-W01-LAR@DET-S,2024,1,LAR@DET,sides_model,spread,DET -3.5,1,-3.5,-5.5,0.119,LAR,DET,6,46,1.0,2.0,0.9090909090909091
2024-W01-HOU@IND-S,2024,1,HOU@IND,sides_model,spread,IND +2.5,1,2.5,3.0,0.105,HOU,IND,-2,56,1.0,-0.5,0.9090909090909091
2024-W01-BAL@KC-S,2024,1,BAL@KC,sides_model,spread,BAL +3,0,-3.0,-2.75,-0.118,BAL,KC,7,47,0.0,0.25,-1.0
2024-W01-BAL@KC-PTF,2024,1,BAL@KC,primetime_tight_favorite,spread,KC -3,1,-3.0,-2.75,3.0,BAL,KC,7,47,1.0,-0.25,0.9090909090909091
2024-W01-BAL@KC-PTU,2024,1,BAL@KC,primetime_tight_under,total,UNDER 46.5,-2,46.5,46.0,46.5,BAL,KC,7,47,0.0,0.5,-1.0
2024-W01-BAL@KC-TTH,2024,1,BAL@KC,top_vs_top_pt_home,spread,KC -3,1,-3.0,-2.75,0.0,BAL,KC,7,47,1.0,-0.25,0.9090909090909091
2024-W01-LV@LAC-S,2024,1,LV@LAC,sides_model,spread,LV +3.5,0,-3.5,-3.0,-0.188,LV,LAC,12,32,0.0,0.5,-1.0
2024-W01-LV@LAC-W1U,2024,1,LV@LAC,week1_def_under,total,UNDER 41.5,-2,41.5,40.5,-1.5,LV,LAC,12,32,1.0,1.0,0.9090909090909091
2024-W01-JAX@MIA-S,2024,1,JAX@MIA,sides_model,spread,JAX +3,0,-3.0,-3.5,-0.098,JAX,MIA,3,37,,-0.5,0.0
2024-W01-JAX@MIA-U,2024,1,JAX@MIA,wind_under,total,UNDER 49.5,-2,49.5,49.5,15.0,JAX,MIA,3,37,1.0,0.0,0.9090909090909091
2024-W01-CAR@NO-S,2024,1,CAR@NO,sides_model,spread,NO -4.25,1,-4.25,-3.5,0.048,CAR,NO,37,57,1.0,-0.75,0.9090909090909091
2024-W01-CAR@NO-W1U,2024,1,CAR@NO,week1_def_under,total,UNDER 40,-2,40.0,41.5,-3.5,CAR,NO,37,57,0.0,-1.5,-1.0
2024-W01-MIN@NYG-TSML,2024,1,MIN@NYG,tight_soft_ml_fade_home,spread,MIN -1,0,1.0,1.0,7.5,MIN,NYG,-22,34,1.0,0.0,0.9090909090909091
2024-W01-MIN@NYG-BBU,2024,1,MIN@NYG,bot_vs_bot_under,total,UNDER 41.5,-2,41.5,42.0,41.5,MIN,NYG,-22,34,1.0,-0.5,0.9090909090909091
2024-W01-GB@PHI-S,2024,1,GB@PHI,sides_model,spread,GB +2.5,0,-2.5,-5.5,-0.153,GB,PHI,5,63,0.0,-3.0,-1.0
2024-W01-GB@PHI-S,2024,1,GB@PHI,sides_model,spread,GB +2.5,0,-2.5,-5.5,-0.153,GB,PHI,12,32,0.0,-3.0,-1.0
2024-W01-GB@PHI-PTF,2024,1,GB@PHI,primetime_tight_favorite,spread,PHI -2.5,1,-2.5,-5.5,2.5,GB,PHI,5,63,1.0,3.0,0.9090909090909091
2024-W01-GB@PHI-PTF,2024,1,GB@PHI,primetime_tight_favorite,spread,PHI -2.5,1,-2.5,-5.5,2.5,GB,PHI,12,32,1.0,3.0,0.9090909090909091
2024-W01-GB@PHI-PTU,2024,1,GB@PHI,primetime_tight_under,total,UNDER 49,-2,49.0,46.0,49.0,GB,PHI,5,63,0.0,3.0,-1.0
2024-W01-GB@PHI-PTU,2024,1,GB@PHI,primetime_tight_under,total,UNDER 49,-2,49.0,46.0,49.0,GB,PHI,12,32,1.0,3.0,0.9090909090909091
2024-W01-GB@PHI-TTH,2024,1,GB@PHI,top_vs_top_pt_home,spread,PHI -2.5,1,-2.5,-5.5,0.0,GB,PHI,5,63,1.0,3.0,0.9090909090909091
2024-W01-GB@PHI-TTH,2024,1,GB@PHI,top_vs_top_pt_home,spread,PHI -2.5,1,-2.5,-5.5,0.0,GB,PHI,12,32,1.0,3.0,0.9090909090909091
2024-W01-NYJ@SF-S,2024,1,NYJ@SF,sides_model,spread,NYJ +3.5,0,-3.5,-3.5,-0.076,NYJ,SF,13,51,0.0,0.0,-1.0
2024-W01-DEN@SEA-S,2024,1,DEN@SEA,sides_model,spread,SEA -5.5,1,-5.5,-6.5,0.09,DEN,SEA,6,46,1.0,1.0,0.9090909090909091
2024-W01-WAS@TB-S,2024,1,WAS@TB,sides_model,spread,WAS +3.5,0,-3.5,-3.0,-0.126,WAS,TB,17,57,0.0,0.5,-1.0
2024-W01-WAS@TB-S,2024,1,WAS@TB,sides_model,spread,WAS +3.5,0,-3.5,-3.0,-0.126,WAS,TB,-3,43,1.0,0.5,0.9090909090909091
2024-W01-WAS@TB-W1U,2024,1,WAS@TB,week1_def_under,total,UNDER 43.5,-2,43.5,51.5,-1.2,WAS,TB,17,57,0.0,-8.0,-1.0
2024-W01-WAS@TB-W1U,2024,1,WAS@TB,week1_def_under,total,UNDER 43.5,-2,43.5,51.5,-1.2,WAS,TB,-3,43,1.0,-8.0,0.9090909090909091
2024-W02-LAR@ARI-S,2024,2,LAR@ARI,sides_model,spread,ARI +2.5,1,2.5,0.0,0.135,LAR,ARI,31,51,1.0,2.5,0.9090909090909091
2024-W02-LV@BAL-S,2024,2,LV@BAL,sides_model,spread,LV +7.5,0,-7.5,-8.75,-0.053,LV,BAL,-3,49,1.0,-1.25,0.9090909090909091
2024-W02-LAC@CAR-S,2024,2,LAC@CAR,sides_model,spread,CAR +3.5,1,3.5,4.5,0.1,LAC,CAR,-23,29,0.0,-1.0,-1.0
2024-W02-LAC@CAR-U,2024,2,LAC@CAR,wind_under,total,UNDER 41.5,-2,41.5,38.5,16.6,LAC,CAR,-23,29,1.0,3.0,0.9090909090909091
2024-W02-NO@DAL-S,2024,2,NO@DAL,sides_model,spread,DAL -6.5,1,-6.5,-6.5,0.25,NO,DAL,-25,63,0.0,0.0,-1.0
2024-W02-TB@DET-S,2024,2,TB@DET,sides_model,spread,DET -6.5,1,-6.5,-7.5,0.041,TB,DET,-4,36,0.0,1.0,-1.0
2024-W02-IND@GB-S,2024,2,IND@GB,sides_model,spread,IND +4.25,0,-4.25,2.5,-0.09,IND,GB,6,26,0.0,6.75,-1.0
2024-W02-CHI@HOU-S,2024,2,CHI@HOU,sides_model,spread,CHI +3.5,0,-3.5,-6.0,-0.156,CHI,HOU,6,32,0.0,-2.5,-1.0
2024-W02-CLE@JAX-S,2024,2,CLE@JAX,sides_model,spread,CLE +2,0,-2.0,-3.0,-0.09,CLE,JAX,-5,31,1.0,-1.0,0.9090909090909091
2024-W02-CIN@KC-S,2024,2,CIN@KC,sides_model,spread,KC -3.5,1,-3.5,-6.5,0.173,CIN,KC,1,51,0.0,3.0,-1.0
2024-W02-CIN@KC-LLO,2024,2,CIN@KC,total_low_line_over,total,OVER 48.5,-1,48.5,47.5,-11.25,CIN,KC,1,51,1.0,-1.0,0.9090909090909091
2024-W02-BUF@MIA-S,2024,2,BUF@MIA,sides_model,spread,BUF +1.25,0,-1.25,-2.5,-0.115,BUF,MIA,-21,41,1.0,-1.25,0.9090909090909091
2024-W02-BUF@MIA-PTF,2024,2,BUF@MIA,primetime_tight_favorite,spread,MIA -1.25,1,-1.25,-2.5,1.25,BUF,MIA,-21,41,0.0,1.25,-1.0
2024-W02-BUF@MIA-PTU,2024,2,BUF@MIA,primetime_tight_under,total,UNDER 51,-2,51.0,49.0,51.0,BUF,MIA,-21,41,1.0,2.0,0.9090909090909091
2024-W02-BUF@MIA-TTH,2024,2,BUF@MIA,top_vs_top_pt_home,spread,MIA -1.25,1,-1.25,-2.5,0.0,BUF,MIA,-21,41,0.0,1.25,-1.0
2024-W02-SF@MIN-S,2024,2,SF@MIN,sides_model,spread,MIN +6.5,1,6.5,4.5,0.107,SF,MIN,6,40,1.0,2.0,0.9090909090909091
2024-W02-SEA@NE-S,2024,2,SEA@NE,sides_model,spread,NE +3,1,3.0,3.0,0.046,SEA,NE,-3,43,,0.0,0.0
2024-W02-ATL@PHI-S,2024,2,ATL@PHI,sides_model,spread,ATL +4,0,-4.0,-5.5,-0.034,ATL,PHI,-1,43,1.0,-1.5,0.9090909090909091
2024-W02-NYJ@TEN-S,2024,2,NYJ@TEN,sides_model,spread,NYJ -4,0,4.0,4.0,-0.044,NYJ,TEN,-7,41,1.0,0.0,0.9090909090909091
2024-W02-NYG@WAS-S,2024,2,NYG@WAS,sides_model,spread,NYG +2.5,0,-2.5,-1.5,-0.254,NYG,WAS,3,39,0.0,1.0,-1.0
2024-W02-NYG@WAS-BBU,2024,2,NYG@WAS,bot_vs_bot_under,total,UNDER 41.75,-2,41.75,42.75,41.8,NYG,WAS,3,39,1.0,-1.0,0.9090909090909091
2024-W03-DET@ARI-S,2024,3,DET@ARI,sides_model,spread,ARI +4.5,1,4.5,3.0,0.04,DET,ARI,-7,33,0.0,1.5,-1.0
2024-W03-DET@ARI-SDFA,2024,3,DET@ARI,spread_dog_cover_fade_away,spread,DET -4.5,0,4.5,3.0,21.5,DET,ARI,-7,33,1.0,-1.5,0.9090909090909091
2024-W03-KC@ATL-S,2024,3,KC@ATL,sides_model,spread,KC -4.5,0,4.5,3.0,-0.108,KC,ATL,-5,39,1.0,-1.5,0.9090909090909091
2024-W03-JAX@BUF-S,2024,3,JAX@BUF,sides_model,spread,JAX +5,0,-5.0,-4.0,-0.099,JAX,BUF,37,57,0.0,1.0,-1.0
2024-W03-WAS@CIN-S,2024,3,WAS@CIN,sides_model,spread,WAS +7,0,-7.0,-7.5,-0.136,WAS,CIN,-5,71,1.0,-0.5,0.9090909090909091
2024-W03-NYG@CLE-S,2024,3,NYG@CLE,sides_model,spread,NYG +6.5,0,-6.5,-6.5,-0.075,NYG,CLE,-6,36,1.0,0.0,0.9090909090909091
2024-W03-BAL@DAL-S,2024,3,BAL@DAL,sides_model,spread,BAL +0.25,0,-0.25,1.5,-0.095,BAL,DAL,-3,53,1.0,1.75,0.9090909090909091
2024-W03-CHI@IND-S,2024,3,CHI@IND,sides_model,spread,IND -1.5,1,-1.5,-1.5,0.061,CHI,IND,5,37,1.0,0.0,0.9090909090909091
2024-W03-SF@LAR-O,2024,3,SF@LAR,receiver_over_HC,total,OVER 46,-1,46.0,44.5,53.3,SF,LAR,3,51,1.0,-1.5,0.9090909090909091
