pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,confluence,reg_edge,mammoth,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2025-W01-TB@ATL-S,2025,1,TB@ATL,sides_model,spread,TB -2.5,0,2.5,0.0,-0.182,1.0,-2.87,0,TB,ATL,-3,43,1.0,-2.5,0.9090909090909091
2025-W01-BAL@BUF-S,2025,1,BAL@BUF,sides_model,spread,BAL -0,0,0.0,1.5,-0.057,1.0,-2.21,0,BAL,BUF,1,81,0.0,1.5,-1.0
2025-W01-BAL@BUF-PTU,2025,1,BAL@BUF,primetime_tight_under,total,UNDER 51.5,-2,51.5,51.0,51.5,,,0,BAL,BUF,1,81,0.0,0.5,-1.0
2025-W01-BAL@BUF-TTH,2025,1,BAL@BUF,top_vs_top_pt_home,spread,BUF +0,1,0.0,1.5,0.0,,,0,BAL,BUF,1,81,1.0,-1.5,0.9090909090909091
2025-W01-MIN@CHI-S,2025,1,MIN@CHI,sides_model,spread,CHI +1.5,1,1.5,0.0,0.201,1.0,3.73,0,MIN,CHI,-3,51,0.0,1.5,-1.0
2025-W01-MIN@CHI-PTF,2025,1,MIN@CHI,primetime_tight_favorite,spread,MIN -1.5,0,1.5,0.0,1.5,,,0,MIN,CHI,-3,51,1.0,-1.5,0.9090909090909091
2025-W01-MIN@CHI-PTU,2025,1,MIN@CHI,primetime_tight_under,total,UNDER 43.5,-2,43.5,43.5,43.5,,,0,MIN,CHI,-3,51,0.0,0.0,-1.0
2025-W01-CIN@CLE-S,2025,1,CIN@CLE,sides_model,spread,CIN -5.5,0,5.5,4.5,-0.185,1.0,-1.98,0,CIN,CLE,-1,33,0.0,-1.0,-1.0
2025-W01-TEN@DEN-S,2025,1,TEN@DEN,sides_model,spread,DEN -8,1,-8.0,-9.0,0.149,0.0,-0.69,0,TEN,DEN,8,32,,1.0,0.0
2025-W01-TEN@DEN-W1U,2025,1,TEN@DEN,week1_def_under,total,UNDER 41.5,-2,41.5,42.5,-2.0,,,0,TEN,DEN,8,32,1.0,-1.0,0.9090909090909091
