season,week,home_team,away_team,total_line,tot,h_keyrec,a_keyrec,h_def,a_def,off_trigger,def_trigger,over_play,over
2018,1,PHI,ATL,44.5,30.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,1,BAL,BUF,39.0,50.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,GB,CHI,45.0,47.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,IND,CIN,47.5,57.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,CAR,DAL,42.5,24.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,1,NE,HOU,49.5,47.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,1,NYG,JAX,43.0,35.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,1,LAC,KC,48.0,66.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,CLE,PIT,41.0,42.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,DEN,SEA,42.5,51.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,MIN,SF,46.5,40.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,1,NO,TB,50.0,88.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,MIA,TEN,43.5,47.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,1,ARI,WAS,43.5,30.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,1,OAK,LA,47.5,46.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,1,DET,NYJ,44.0,65.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,CIN,BAL,43.0,57.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,LA,ARI,43.5,34.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,2,ATL,CAR,44.0,55.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,NO,CLE,51.0,39.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,2,SF,DET,48.5,57.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,TEN,HOU,41.0,37.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,2,WAS,IND,48.0,30.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,2,PIT,KC,52.0,79.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,BUF,LAC,41.5,51.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,NYJ,MIA,43.0,32.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,2,GB,MIN,45.0,58.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,JAX,NE,44.5,51.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,2,DAL,NYG,42.0,33.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,2,DEN,OAK,44.5,39.0,0.0,0.0,0.0,0.0,0,0,0,0.0
