teaser_id,season,week,leg1_game,leg1_market,leg1_side,leg1_open,leg1_teased,leg1_bucket,leg1_signal,leg1_sharp,leg1_score,leg2_game,leg2_market,leg2_side,leg2_open,leg2_teased,leg2_bucket,leg2_signal,leg2_sharp,leg2_score,combo,leg1_win,leg1_outcome,leg2_win,leg2_outcome,status,pnl_120,both,pnl_110
2023-W01-T2,2023,1,TB@MIN,spread,TB +6,-6.0,-12.0,0.875,1,1,0.955,DET@KC,spread,DET +6.5,-6.5,-12.5,0.83,1,0,0.8798,spread+spread,1,-3,1,-1,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W02-T2,2023,2,BAL@CIN,spread,BAL +3,-3.0,-9.0,0.783,1,1,0.8633,GB@ATL,total,UNDER 41.5,41.5,47.5,0.829,0,1,0.8593,spread+total,1,-3,0,49,graded,-1.0,0.0,-1.0
2023-W03-T2,2023,3,DEN@MIA,spread,DEN +6,-6.0,-12.0,0.875,0,1,0.905,NO@GB,spread,NO +2.25,-2.0,-8.25,0.864,0,1,0.8936,spread+spread,0,50,1,1,graded,-1.0,0.0,-1.0
2023-W04-T2,2023,4,PIT@HOU,spread,HOU +4,4.0,10.0,0.963,0,1,0.993,SEA@NYG,spread,NYG +1.5,1.5,7.5,0.826,1,1,0.9061,spread+spread,1,24,0,-21,graded,-1.0,0.0,-1.0
2023-W05-T2,2023,5,HOU@ATL,total,UNDER 41.5,41.5,47.5,0.829,0,1,0.8593,BAL@PIT,total,UNDER 41.5,41.5,47.5,0.829,0,1,0.8593,total+total,1,40,1,27,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W06-T2,2023,6,MIN@CHI,spread,CHI +4.25,4.0,10.25,0.963,1,1,1.043,SF@CLE,total,UNDER 41.5,41.5,47.5,0.829,0,1,0.8593,spread+total,1,-6,1,36,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W07-T2,2023,7,GB@DEN,spread,DEN +1.5,1.5,7.5,0.826,1,1,0.9061,LAC@KC,spread,LAC +6,-6.0,-12.0,0.875,0,1,0.905,spread+spread,1,2,0,14,graded,-1.0,0.0,-1.0
2023-W08-T2,2023,8,BAL@ARI,spread,BAL -7.5,7.5,1.5,0.875,0,1,0.905,CLE@SEA,spread,CLE +2,-2.0,-8.0,0.864,0,1,0.8936,spread+spread,1,-7,1,4,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W09-T2,2023,9,LAC@NYJ,spread,NYJ +1.5,1.5,7.5,0.826,1,1,0.9061,MIA@KC,spread,MIA +2.5,-2.5,-8.5,0.8,1,1,0.88,spread+spread,0,-21,1,7,graded,-1.0,0.0,-1.0
2023-W10-T2,2023,10,GB@PIT,spread,GB +3,-3.0,-9.0,0.783,1,1,0.8633,WAS@SEA,spread,WAS +6.5,-6.5,-12.5,0.83,0,1,0.8598,spread+spread,1,4,1,3,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W11-T2,2023,11,TEN@JAX,spread,TEN +6,-6.0,-12.0,0.875,1,0,0.925,NYJ@BUF,spread,NYJ +6.5,-6.5,-12.5,0.83,1,0,0.8798,spread+spread,0,20,0,26,graded,-1.0,0.0,-1.0
2023-W12-T2,2023,12,MIA@NYJ,spread,MIA -6.5,6.5,0.5,0.833,0,1,0.8633,PIT@CIN,total,UNDER 41.5,41.5,47.5,0.829,0,1,0.8593,spread+total,1,-21,1,26,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W13-T2,2023,13,ATL@NYJ,spread,NYJ +1.5,1.5,7.5,0.826,1,1,0.9061,DEN@HOU,spread,DEN +3,-3.0,-9.0,0.783,0,1,0.8133,spread+spread,1,-5,1,5,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W14-T2,2023,14,TB@ATL,spread,TB +2,-2.0,-8.0,0.864,0,1,0.8936,CAR@NO,spread,CAR +6.5,-6.5,-12.5,0.83,1,0,0.8798,spread+spread,1,-4,0,22,graded,-1.0,0.0,-1.0
2023-W15-T2,2023,15,PHI@SEA,spread,SEA +4,4.0,10.0,0.963,1,1,1.043,LAC@LV,total,OVER 42.5,42.5,36.5,0.812,1,1,0.8925,spread+total,1,3,1,84,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W16-T2,2023,16,CLE@HOU,total,UNDER 41.5,41.5,47.5,0.829,0,1,0.8593,SEA@TEN,spread,TEN +2,2.0,8.0,0.765,1,1,0.8447,spread+total,0,58,1,-3,graded,-1.0,0.0,-1.0
2023-W17-T2,2023,17,GB@MIN,spread,GB +2,-2.0,-8.0,0.864,0,1,0.8936,LAC@DEN,spread,LAC +6.5,-6.5,-12.5,0.83,0,1,0.8598,spread+spread,1,-23,1,7,graded,0.8333333333333334,1.0,0.9090909090909091
2023-W18-T2,2023,18,DEN@LV,spread,DEN +2.5,-2.5,-8.5,0.8,0,1,0.83,BUF@MIA,spread,MIA +2.25,2.0,8.25,0.765,1,0,0.8147,spread+spread,0,13,1,-7,graded,-1.0,0.0,-1.0
2023-W19-T2,2023,19,PIT@BUF,spread,BUF -9.5,-9.5,-3.5,0.824,1,0,0.8735,CLE@HOU,total,UNDER 41.5,41.5,47.5,0.829,0,1,0.8593,spread+total,1,14,0,59,graded,-1.0,0.0,-1.0
2023-W20-T2,2023,20,TB@DET,spread,TB +6,-6.0,-12.0,0.875,1,0,0.925,HOU@BAL,spread,HOU +10,-10.0,-16.0,0.784,1,1,0.8638,spread+spread,1,8,0,24,graded,-1.0,0.0,-1.0
