teaser_id,season,week,leg1_pick_id,leg1_rule,leg1_game,leg1_market,leg1_side,leg1_open,leg1_teased,leg1_sharp,leg2_pick_id,leg2_rule,leg2_game,leg2_market,leg2_side,leg2_open,leg2_teased,leg2_sharp,combo,leg1_win,leg1_outcome,leg2_win,leg2_outcome,status,pnl_120,both,pnl_110
2024-W01-T2,2024,1,2024-W01-LAR@DET-S,sides_model,LAR@DET,spread,DET -3.5,-3.5,2.5,9.17,2024-W01-DEN@SEA-S,sides_model,DEN@SEA,spread,SEA -5.5,-5.5,0.5,8.55,spread+spread,0,-14,1.0,1.0,graded,-1.0,0.0,-1.0
2024-W02-T2,2024,2,2024-W02-CIN@KC-S,sides_model,CIN@KC,spread,KC -3.5,-3.5,2.5,7.98,2024-W02-LAR@ARI-S,sides_model,LAR@ARI,spread,ARI +2.5,2.5,8.5,8.76,spread+spread,1,35,0.0,-22.0,graded,-1.0,0.0,-1.0
2024-W03-T2,2024,3,2024-W03-SF@LAR-O,receiver_over_HC,SF@LAR,total,OVER 46,46.0,40.0,9.36,2024-W03-MIA@SEA-S,sides_model,MIA@SEA,spread,MIA +2.5,-2.5,-8.5,9.11,spread+total,1,80,0.0,21.0,graded,-1.0,0.0,-1.0
2024-W04-T2,2024,4,2024-W04-LAR@CHI-O,receiver_over_HC,LAR@CHI,total,OVER 41.75,41.75,35.75,9.12,2024-W04-PIT@IND-FPR,fade_pr_in_tight_game,PIT@IND,spread,IND -1,-1.0,5.0,9.19,spread+total,0,21,0.0,-7.0,graded,-1.0,0.0,-1.0
2024-W05-T2,2024,5,2024-W05-GB@LAR-O,receiver_over_HC,GB@LAR,total,OVER 46,46.0,40.0,9.83,2024-W05-BAL@CIN-S,sides_model,BAL@CIN,spread,BAL -1,1.0,-5.0,8.92,spread+total,1,56,0.0,11.0,graded,-1.0,0.0,-1.0
2024-W06-T2,2024,6,2024-W06-PIT@LV-O,receiver_over_HC,PIT@LV,total,OVER 37.5,37.5,31.5,8.77,2024-W06-LAC@DEN-S,sides_model,LAC@DEN,spread,LAC -2.5,2.5,-3.5,8.33,spread+total,1,41,1.0,-14.0,graded,0.8333333333333334,1.0,0.9090909090909091
2024-W07-T2,2024,7,2024-W07-LAC@ARI-FPR,fade_pr_in_tight_game,LAC@ARI,spread,ARI -0.25,-0.25,5.75,8.09,2024-W07-DET@MIN-S,sides_model,DET@MIN,spread,MIN -1.5,-1.5,4.5,8.33,spread+spread,1,-1,1.0,15.0,graded,0.8333333333333334,1.0,0.9090909090909091
2024-W08-T2,2024,8,2024-W08-ATL@TB-O,receiver_over_HC,ATL@TB,total,OVER 48.5,48.5,42.5,9.69,2024-W08-CAR@DEN-S,sides_model,CAR@DEN,spread,DEN -4.5,-4.5,1.5,8.83,spread+total,1,66,1.0,14.0,graded,0.8333333333333334,1.0,0.9090909090909091
2024-W09-T2,2024,9,2024-W09-TB@KC-O,receiver_over_HC,TB@KC,total,OVER 44.5,44.5,38.5,9.52,2024-W09-LV@CIN-O,receiver_over_HC,LV@CIN,total,OVER 45.5,45.5,39.5,9.51,total+total,1,54,1.0,45.0,graded,0.8333333333333334,1.0,0.9090909090909091
2024-W10-T2,2024,10,2024-W10-SF@TB-O,receiver_over_HC,SF@TB,total,OVER 48,48.0,42.0,9.53,2024-W10-CIN@BAL-S,sides_model,CIN@BAL,spread,BAL -5.5,-5.5,0.5,8.92,spread+total,0,36,1.0,3.0,graded,-1.0,0.0,-1.0
2024-W11-T2,2024,11,2024-W11-BAL@PIT-S,sides_model,BAL@PIT,spread,BAL -3.5,3.5,-2.5,8.92,2024-W11-CIN@LAC-S,sides_model,CIN@LAC,spread,CIN +1.5,-1.5,-7.5,8.17,spread+spread,1,-12,1.0,5.0,graded,0.8333333333333334,1.0,0.9090909090909091
2024-W12-T2,2024,12,2024-W12-KC@CAR-S,sides_model,KC@CAR,spread,CAR +11.25,11.25,17.25,7.74,2024-W12-BAL@LAC-S,sides_model,BAL@LAC,spread,BAL -3,3.0,-3.0,8.19,spread+spread,1,-3,1.0,-12.0,graded,0.8333333333333334,1.0,0.9090909090909091
2024-W13-T2,2024,13,2024-W13-LAC@ATL-FPR,fade_pr_in_tight_game,LAC@ATL,spread,ATL +1.5,1.5,7.5,7.31,2024-W13-TEN@WAS-S,sides_model,TEN@WAS,spread,WAS -7,-7.0,-1.0,9.21,spread+spread,1,-3,0.0,-4.0,graded,-1.0,0.0,-1.0
2024-W14-T2,2024,14,2024-W14-CAR@PHI-S,sides_model,CAR@PHI,spread,PHI -13,-13.0,-7.0,8.96,2024-W14-LAC@KC-S,sides_model,LAC@KC,spread,LAC +4.25,-4.25,-10.25,7.24,spread+spread,0,-4,1.0,-1.0,graded,-1.0,0.0,-1.0
2024-W15-T2,2024,15,2024-W15-PIT@PHI-O,receiver_over_HC,PIT@PHI,total,OVER 45.5,45.5,39.5,9.5,2024-W15-TB@LAC-S,sides_model,TB@LAC,spread,TB +3,-3.0,-9.0,8.25,spread+total,1,48,1.0,-23.0,graded,0.8333333333333334,1.0,0.9090909090909091
